framework,algorithm,phase,mode,tier,n,setting_kind,setting,error_type,message
julia,tsit5,performance,fixed,fixed,8,dt,0.078125,ErrorException,non-finite result: 0/8 trajectories valid
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,ErrorException,non-finite result: 3/8 trajectories valid
julia,tsit5,performance,fixed,fixed,32,dt,0.078125,ErrorException,non-finite result: 0/32 trajectories valid
julia,tsit5,performance,fixed,fixed,128,dt,0.078125,ErrorException,non-finite result: 0/128 trajectories valid
julia,tsit5,performance,fixed,fixed,512,dt,0.078125,ErrorException,non-finite result: 0/512 trajectories valid
julia,tsit5,performance,fixed,fixed,2048,dt,0.078125,ErrorException,non-finite result: 0/2048 trajectories valid
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,ErrorException,non-finite result: 3/2048 trajectories valid
julia,tsit5,performance,fixed,fixed,8192,dt,0.078125,ErrorException,non-finite result: 0/8192 trajectories valid
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,ErrorException,non-finite result: 3/8192 trajectories valid
julia,tsit5,performance,fixed,fixed,32768,dt,0.078125,ErrorException,non-finite result: 0/32768 trajectories valid
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,ErrorException,non-finite result: 0/32768 trajectories valid
julia,tsit5,performance,fixed,fixed,131072,dt,0.078125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,ErrorException,non-finite result: 8660/131072 trajectories valid
julia,tsit5,performance,fixed,fixed,524288,dt,0.078125,ErrorException,non-finite result: 0/524288 trajectories valid
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,ErrorException,non-finite result: 401876/524288 trajectories valid
julia,tsit5,performance,fixed,fixed,2097152,dt,0.078125,ErrorException,watchdog: run exceeded 120.0 s
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,ErrorException,non-finite result: 2070065/2097152 trajectories valid
julia,tsit5,performance,fixed,fixed,8388608,dt,0.078125,OutOfGPUMemoryError,Out of GPU memory trying to allocate 15.906 GiB Effective GPU memory usage: 48.06% (5.764 GiB/11.994 GiB) Memory pool usage: 3.978 GiB (4.031 GiB reserved) 
julia,tsit5,performance,adaptive,julia,8388608,tol,1.0e-8,OutOfGPUMemoryError,Out of GPU memory trying to allocate 15.906 GiB Effective GPU memory usage: 48.06% (5.764 GiB/11.994 GiB) Memory pool usage: 3.978 GiB (4.031 GiB reserved) 
julia,tsit5,work_precision,fixed,fixed,131072,dt,5.0,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,2.5,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.25,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.3125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.15625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.078125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0390625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.01953125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.009765625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.001,ErrorException,non-finite result: 130560/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.0001,ErrorException,non-finite result: 130560/131072 trajectories valid
julia,vern7,performance,fixed,fixed,8,dt,0.078125,ErrorException,non-finite result: 0/8 trajectories valid
julia,vern7,performance,fixed,fixed,32,dt,0.078125,ErrorException,non-finite result: 0/32 trajectories valid
julia,vern7,performance,fixed,fixed,128,dt,0.078125,ErrorException,non-finite result: 0/128 trajectories valid
julia,vern7,performance,fixed,fixed,512,dt,0.078125,ErrorException,non-finite result: 0/512 trajectories valid
julia,vern7,performance,fixed,fixed,2048,dt,0.078125,ErrorException,non-finite result: 0/2048 trajectories valid
julia,vern7,performance,fixed,fixed,8192,dt,0.078125,ErrorException,non-finite result: 0/8192 trajectories valid
julia,vern7,performance,fixed,fixed,32768,dt,0.078125,ErrorException,non-finite result: 0/32768 trajectories valid
julia,vern7,performance,fixed,fixed,131072,dt,0.078125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,ErrorException,non-finite result: 96809/131072 trajectories valid
julia,vern7,performance,fixed,fixed,524288,dt,0.078125,ErrorException,non-finite result: 0/524288 trajectories valid
julia,vern7,performance,fixed,fixed,2097152,dt,0.078125,ErrorException,non-finite result: 0/2097152 trajectories valid
