framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,0.078125,,0,8,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,3,5,
julia,tsit5,performance,fixed,fixed,32,dt,0.078125,,0,32,
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,tsit5,performance,fixed,fixed,128,dt,0.078125,,0,128,
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,tsit5,performance,fixed,fixed,512,dt,0.078125,,0,512,
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,tsit5,performance,fixed,fixed,2048,dt,0.078125,,0,2048,
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,,3,2045,
julia,tsit5,performance,fixed,fixed,8192,dt,0.078125,,0,8192,
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,,3,8189,
julia,tsit5,performance,fixed,fixed,32768,dt,0.078125,,0,32768,
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,,0,32768,
julia,tsit5,performance,fixed,fixed,131072,dt,0.078125,,0,131072,
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,,8660,122412,
julia,tsit5,performance,fixed,fixed,524288,dt,0.078125,,0,524288,
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,,401876,122412,
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,,2070065,27087,
julia,tsit5,numerical,adaptive,julia,1024,tol,0.010000000000000002,3.1406565044958543,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p01.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.001,NaN,0,1024,finals/julia/tsit5/adaptive_julia_tol_0p001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.0001,3.1406565044958543,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p0001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-5,3.1406565044958543,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em05.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-6,3.1406565044958543,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em06.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,3.1406565044958543,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em07.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-8,NaN,0,1024,finals/julia/tsit5/adaptive_julia_tol_1em08.csv
julia,tsit5,work_precision,fixed,fixed,131072,dt,5.0,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,2.5,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.25,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.625,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.3125,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.15625,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.078125,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0390625,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.01953125,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.009765625,,0,131072,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.010000000000000002,351.2363094354908,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.001,,130560,512,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.0001,,130560,512,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-5,814.8170190230798,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-6,339.1364654596296,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,206.80095123010943,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-8,322.7693010866393,131072,0,
julia,vern7,performance,fixed,fixed,8,dt,0.078125,,0,8,
julia,vern7,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,vern7,performance,fixed,fixed,32,dt,0.078125,,0,32,
julia,vern7,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,vern7,performance,fixed,fixed,128,dt,0.078125,,0,128,
julia,vern7,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,vern7,performance,fixed,fixed,512,dt,0.078125,,0,512,
julia,vern7,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,vern7,performance,fixed,fixed,2048,dt,0.078125,,0,2048,
julia,vern7,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,vern7,performance,fixed,fixed,8192,dt,0.078125,,0,8192,
julia,vern7,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,vern7,performance,fixed,fixed,32768,dt,0.078125,,0,32768,
julia,vern7,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,vern7,performance,fixed,fixed,131072,dt,0.078125,,0,131072,
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,,96809,34263,
julia,vern7,performance,fixed,fixed,524288,dt,0.078125,,0,524288,
julia,vern7,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,vern7,performance,fixed,fixed,2097152,dt,0.078125,,0,2097152,
julia,vern7,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,vern7,numerical,adaptive,julia,1024,tol,0.010000000000000002,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_0p01.csv
julia,vern7,numerical,adaptive,julia,1024,tol,0.001,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_0p001.csv
julia,vern7,numerical,adaptive,julia,1024,tol,0.0001,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_0p0001.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-5,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_1em05.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-6,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_1em06.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_1em07.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-8,3.1406565044958543,1024,0,finals/julia/vern7/adaptive_julia_tol_1em08.csv
julia,vern7,work_precision,fixed,fixed,131072,dt,5.0,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,2.5,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,1.25,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.625,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.3125,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.15625,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.078125,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0390625,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.01953125,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.009765625,,0,131072,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.010000000000000002,,3,131069,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.001,,3,131069,
julia,vern7,work_precision,adaptive,julia,131072,tol,0.0001,127.66892204520128,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-5,354.15268491491634,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-6,339.1502390905075,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,71.46344110969973,131072,0,
julia,vern7,work_precision,adaptive,julia,131072,tol,1.0e-8,117.55476861581609,131072,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,8,dt,0.078125,,8,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,32,dt,0.078125,,32,0,
