framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,performance,adaptive,julia,both,32,tol,1.0e-8,20,0.3517,0.35322,0.39425,0.6763600000000001,0.8599
julia,tsit5,performance,adaptive,julia,none,32,tol,1.0e-8,20,0.1811,0.1811,0.2331,0.33363500000000007,0.3837
julia,tsit5,performance,adaptive,julia,both,128,tol,1.0e-8,20,0.3575,0.357975,0.4022,0.5879800000000001,0.5971
julia,tsit5,performance,adaptive,julia,none,128,tol,1.0e-8,20,0.1829,0.18993000000000002,0.22445,0.24127000000000004,0.273
julia,tsit5,performance,adaptive,julia,both,512,tol,1.0e-8,20,0.4315,0.434065,0.47155,0.9090750000000012,2.4647
julia,tsit5,performance,adaptive,julia,none,512,tol,1.0e-8,20,0.1644,0.164495,0.1653,0.16933,0.1775
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,0.010000000000000002,20,35.2944,36.112635000000004,37.4925,49.16109000000001,49.8981
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,10.0229,10.04152,10.1313,10.51711,10.5857
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0e-5,20,35.0499,35.11165,37.607699999999994,63.11453500000024,386.1209
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0e-5,20,10.2521,10.275945,10.3859,10.951545000000001,10.9752
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0e-6,20,34.7571,35.282735,37.03845,66.8711650000003,483.2061
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0e-6,20,10.5765,10.576690000000001,10.62965,11.310205,11.3122
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0000000000000001e-7,20,35.038,35.75543999999999,38.234750000000005,47.42663,48.7078
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0000000000000001e-7,20,10.5498,10.57621,10.7559,11.349985,11.4333
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0e-8,20,36.0178,36.035565,41.3129,52.22688,53.4368
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0e-8,20,6.4833,6.5243400000000005,11.08685,11.279995000000001,11.2989
julia,vern7,performance,adaptive,julia,both,8,tol,1.0e-8,20,1.9767,2.04776,2.41005,2.84946,2.9646
julia,vern7,performance,adaptive,julia,none,8,tol,1.0e-8,20,1.7289,1.7480900000000001,1.80285,2.1249900000000004,2.4307
julia,vern7,performance,adaptive,julia,both,32,tol,1.0e-8,20,0.4808,0.49922999999999995,0.6743,0.8649700000000001,0.948
julia,vern7,performance,adaptive,julia,none,32,tol,1.0e-8,20,0.2294,0.23168,0.27,0.33223,0.3518
julia,vern7,performance,adaptive,julia,both,128,tol,1.0e-8,20,0.5024,0.5282399999999999,0.5949,0.67425,0.7018
julia,vern7,performance,adaptive,julia,none,128,tol,1.0e-8,20,0.2268,0.23839,0.28455,0.439275,0.4483
julia,vern7,performance,adaptive,julia,both,512,tol,1.0e-8,20,0.5336,0.54006,0.6195999999999999,0.8741300000000001,0.9602
julia,vern7,performance,adaptive,julia,none,512,tol,1.0e-8,20,0.2441,0.24552500000000002,0.2751,0.43267,0.4397
julia,vern7,performance,adaptive,julia,both,2048,tol,1.0e-8,20,0.8181,0.82931,0.95805,1.2045500000000005,1.9883
julia,vern7,performance,adaptive,julia,none,2048,tol,1.0e-8,20,0.3251,0.327,0.36160000000000003,0.45433,0.4701
julia,vern7,performance,adaptive,julia,both,8192,tol,1.0e-8,20,2.6679,2.687565,3.10895,4.44319,4.5399
