traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52621531,-3.29055119,-2.23262453,-0.794974327,-1.34282029,0.411157638,5.43902254,-2.46487355,2.12330985,3.19088888,6.00221157,-1.56475067,-1.0126313,1.64748156,5.77584791,-1.59298408,0.281735599,1.17579293,2.85428929,4.08822107
1,1.47976673,-3.30667496,-2.21521354,-0.802640617,-1.33986425,0.431031853,5.43367195,-2.47948194,2.13536572,3.25229645,5.99068022,-1.62322438,-0.985606194,1.65650225,5.78387403,-1.60805655,0.29784891,1.18901598,2.88081193,4.10585785
2,1.43288338,-3.32214236,-2.1980679,-0.810210168,-1.33692718,0.450993121,5.4279933,-2.49438763,2.14693642,3.31365728,5.97814417,-1.68178606,-0.958253264,1.66594493,5.79168558,-1.62315226,0.314051479,1.20241427,2.90741777,4.1230545
3,1.38548899,-3.33696198,-2.18113613,-0.817704737,-1.33399475,0.471126288,5.42192554,-2.50968432,2.15801167,3.3749826,5.9645896,-1.74040484,-0.930587828,1.67583656,5.79926014,-1.63827717,0.330335289,1.21598852,2.93414044,4.13984251
4,1.33759177,-3.35109639,-2.16445971,-0.825116813,-1.33109426,0.491309315,5.41555023,-2.52525854,2.16859937,3.43617797,5.95004702,-1.79903376,-0.90267992,1.68611526,5.80663395,-1.65343535,0.346694261,1.22973406,2.96099329,4.15620899
5,1.28930783,-3.36456776,-2.14805651,-0.832424581,-1.32819426,0.511693776,5.40877008,-2.54126382,2.17864895,3.49735975,5.93448973,-1.85771585,-0.874406517,1.69698822,5.81371164,-1.6686461,0.363171339,1.24370384,2.98794079,4.17210627
6,1.24051261,-3.37736964,-2.13188362,-0.83965975,-1.32531559,0.532179773,5.40163755,-2.55760837,2.18819642,3.55840516,5.91792345,-1.9163872,-0.84591043,1.70827234,5.82057333,-1.68391097,0.379723579,1.25784564,3.01501918,4.18758392
7,1.19132531,-3.38950753,-2.11599231,-0.846794188,-1.3224473,0.552812815,5.39411974,-2.57434273,2.19721484,3.61933565,5.90035295,-1.97504115,-0.81717509,1.72003293,5.8271966,-1.69919932,0.396336257,1.27216542,3.04218197,4.20259428
8,1.14168823,-3.40096641,-2.10036922,-0.853840947,-1.31960154,0.573542655,5.3862524,-2.59141922,2.20571041,3.68010807,5.88178921,-2.0336442,-0.78823626,1.73226726,5.83357191,-1.71455824,0.413041353,1.28668284,3.06946707,4.21714354
9,1.09163177,-3.41173387,-2.08502722,-0.860791266,-1.31677115,0.594414711,5.3780036,-2.6088922,2.21365929,3.74073362,5.86222553,-2.0922091,-0.759063363,1.74502218,5.83968592,-1.72997642,0.429832071,1.30141163,3.09688067,4.2312212
10,1.04119217,-3.42183733,-2.06997538,-0.867643714,-1.31395888,0.615391314,5.36938381,-2.62672496,2.2210784,3.8011713,5.84167814,-2.1506691,-0.729762673,1.75823236,5.8455615,-1.74543321,0.4466919,1.31633353,3.12438273,4.24480295
11,0.990394294,-3.43126416,-2.05523133,-0.874391735,-1.31116426,0.636490285,5.36039114,-2.64493752,2.22793007,3.86142612,5.82012653,-2.20908928,-0.700237334,1.77197754,5.851161,-1.76097095,0.463626862,1.33145034,3.15197635,4.25788546
12,0.939162612,-3.44001245,-2.04074502,-0.881055593,-1.30838764,0.657714486,5.35100126,-2.66354322,2.23423433,3.92147565,5.79759407,-2.26738214,-0.670614064,1.78619087,5.85651636,-1.77654684,0.480618507,1.34676683,3.17969513,4.2704792
13,0.887576282,-3.44807053,-2.02657461,-0.887614846,-1.30563021,0.679064155,5.3412261,-2.68254662,2.23996949,3.98130155,5.77408457,-2.32555556,-0.64084971,1.80094111,5.86158371,-1.79223657,0.497706801,1.36229777,3.20752454,4.28256321
14,0.835669875,-3.45545125,-2.01271844,-0.894065797,-1.30288434,0.700559378,5.33104181,-2.70197034,2.24512076,4.04091644,5.74958897,-2.38361907,-0.610951245,1.81624687,5.86636305,-1.80798554,0.514869094,1.37805867,3.23544931,4.29410315
15,0.783392727,-3.46217179,-1.99914384,-0.900428236,-1.30016136,0.722155929,5.32047415,-2.72177005,2.24970579,4.10025263,5.72413683,-2.44150448,-0.581020474,1.83200312,5.87089348,-1.82380283,0.532069564,1.39398801,3.26346064,4.30513811
16,0.730815411,-3.46819639,-1.98590815,-0.906677902,-1.29745734,0.743888795,5.30949068,-2.74199414,2.25369,4.1593399,5.69771814,-2.49925375,-0.55098629,1.84833169,5.87512207,-1.83972454,0.54936707,1.41016686,3.29158878,4.31561565
17,0.677888572,-3.47352839,-1.97297502,-0.912830055,-1.29477489,0.765736818,5.29810953,-2.76262069,2.25707912,4.21813726,5.67035103,-2.55682755,-0.520913899,1.86516869,5.87907314,-1.85571754,0.566712141,1.42655492,3.31983042,4.3255558
18,0.624704719,-3.47820234,-1.96036673,-0.918876231,-1.29211187,0.787707508,5.28632593,-2.78365946,2.25986576,4.27662992,5.64204741,-2.61420012,-0.490818888,1.88254333,5.88273096,-1.87181854,0.584118724,1.44314706,3.34814024,4.334939
19,0.571198702,-3.48218608,-1.94806063,-0.924822628,-1.28945851,0.809849381,5.27407789,-2.8051672,2.26203156,4.3348341,5.61280727,-2.6713624,-0.460730076,1.90046537,5.88607216,-1.88800085,0.601596355,1.45998943,3.3765738,4.34374952
20,0.517451644,-3.48549914,-1.93610764,-0.93065685,-1.28683484,0.832059622,5.26145887,-2.82703686,2.26358509,4.39268064,5.58265829,-2.72830415,-0.430662364,1.91890073,5.88913631,-1.90427589,0.619126797,1.4770509,3.40508747,4.35197306
21,0.463401496,-3.48814702,-1.92445004,-0.93639797,-1.28422749,0.854429483,5.24837685,-2.84937239,2.26449943,4.45022345,5.55155611,-2.78505874,-0.400599092,1.93788946,5.89187002,-1.9206953,0.636719346,1.49431646,3.43368721,4.35963631
22,0.409145057,-3.4901011,-1.91314459,-0.942024827,-1.28164315,0.876893938,5.23489904,-2.87209964,2.2647934,4.50734568,5.51961517,-2.84150815,-0.370654702,1.95735765,5.89433622,-1.93716502,0.654342532,1.51182234,3.46239042,4.36669064
23,0.354665995,-3.49139738,-1.90216899,-0.947545648,-1.27908206,0.899488151,5.22098589,-2.89526963,2.26442909,4.56412506,5.486763,-2.89773107,-0.340745687,1.97742581,5.89644861,-1.9537878,0.672042251,1.52956772,3.49117184,4.37314367
24,0.299927443,-3.49202323,-1.89149904,-0.952970684,-1.27653706,0.922236979,5.20660114,-2.9189086,2.26340961,4.62053156,5.45305061,-2.95367432,-0.310966969,1.99801385,5.89823532,-1.9705056,0.68977946,1.54754186,3.52004957,4.37899494
25,0.244975626,-3.49195313,-1.88119113,-0.958283007,-1.27402091,0.945055723,5.19181538,-2.94291973,2.26174307,4.67649031,5.4184804,-3.00933218,-0.281308562,2.01911283,5.89970589,-1.98735869,0.707583189,1.56576955,3.54902983,4.38420677
26,0.189893872,-3.49125004,-1.87120962,-0.963488281,-1.27151966,0.968032241,5.17656374,-2.96741009,2.25939751,4.73204422,5.38309669,-3.0646708,-0.251816392,2.04075933,5.90085554,-2.00429511,0.725401878,1.58422554,3.57806802,4.38879585
27,0.134582922,-3.48986936,-1.86155105,-0.968593657,-1.26904142,0.991138041,5.16084194,-2.99234772,2.25636888,4.78716469,5.34686899,-3.11973739,-0.222460672,2.06294441,5.90165186,-2.02139401,0.743287325,1.60293007,3.60720634,4.39275312
28,0.0791237801,-3.48780966,-1.85223663,-0.973590076,-1.26659143,1.01434338,5.14469814,-3.01770377,2.25266647,4.84181309,5.30986452,-3.17445064,-0.193324715,2.08563852,5.90212393,-2.03859878,0.761195958,1.62187779,3.63643479,4.39606524
29,0.0235398319,-3.48512268,-1.84325564,-0.978480697,-1.26415575,1.03769851,5.1280632,-3.04353166,2.24825597,4.89601278,5.27206993,-3.22883129,-0.164386675,2.10890698,5.90221119,-2.05596209,0.779167652,1.64108944,3.66571712,4.39870787
30,-0.0321858227,-3.48177767,-1.83459663,-0.983270466,-1.26174974,1.06113696,5.11100149,-3.06975484,2.24317098,4.949687,5.23353815,-3.28286529,-0.135719836,2.1325841,5.90202665,-2.07340407,0.797125518,1.6605041,3.69507289,4.40071487
31,-0.0880387574,-3.4777863,-1.82628429,-0.987953007,-1.25936651,1.08471406,5.09344196,-3.09644747,2.23735023,5.00291681,5.1942091,-3.33658481,-0.10725572,2.15687466,5.90141773,-2.09103179,0.815159917,1.68021441,3.72450757,4.40202332
32,-0.144003049,-3.4731245,-1.81830049,-0.992528915,-1.25700378,1.10844052,5.07538795,-3.12362146,2.23080564,5.05563498,5.15416193,-3.38993549,-0.079075709,2.1816659,5.90046263,-2.10878825,0.833211243,1.7001822,3.75403571,4.4026556
33,-0.20004274,-3.46783257,-1.81064713,-0.997001767,-1.25466716,1.13226974,5.05686903,-3.15121865,2.22354388,5.1077981,5.1134243,-3.44291258,-0.0511956997,2.20692492,5.89916754,-2.12667727,0.851270795,1.72037423,3.78361225,4.40261745
34,-0.256156385,-3.46191716,-1.80331683,-1.00137246,-1.25235164,1.15622437,5.03787374,-3.17926478,2.21554422,5.15942335,5.07203388,-3.49546504,-0.0236447919,2.2327435,5.89745474,-2.14473319,0.869380355,1.74085891,3.81325221,4.40186691
35,-0.312304288,-3.45536208,-1.7963326,-1.00563312,-1.2500658,1.18026829,5.01840878,-3.20771861,2.20681095,5.21048784,5.02996969,-3.54765654,0.00357883144,2.25902295,5.895401,-2.16290832,0.887500763,1.76161075,3.8429606,4.40039968
36,-0.368523926,-3.44817495,-1.78965366,-1.00979495,-1.24779618,1.20449495,4.99839449,-3.23669672,2.19729757,5.26099825,4.98724794,-3.59946322,0.030474456,2.28582573,5.89294529,-2.18126631,0.905634046,1.78260517,3.87272692,4.39824343
37,-0.424734503,-3.44038773,-1.78331494,-1.01385105,-1.24555683,1.22880161,4.97791624,-3.26607323,2.18704414,5.31092215,4.94392824,-3.65085721,0.0569662973,2.31306434,5.89013863,-2.19973493,0.92377001,1.8038702,3.90253711,4.39535189
38,-0.481031001,-3.43192887,-1.77728748,-1.01780546,-1.24334252,1.25323772,4.95692444,-3.29590178,2.17601919,5.36022997,4.90002823,-3.70182252,0.0830683112,2.34078979,5.88692284,-2.21837735,0.941928983,1.82542193,3.93244815,4.39173079
39,-0.537224174,-3.42291784,-1.77159977,-1.0216527,-1.24115562,1.27776122,4.9354701,-3.32613373,2.1642313,5.40892744,4.85558081,-3.75235963,0.108763926,2.36901236,5.88330555,-2.23719096,0.960106313,1.84724927,3.96236181,4.38737154
