traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52621186,-3.29053903,-2.23261642,-0.794984221,-1.34282243,0.411130905,5.43904161,-2.4648447,2.12327957,3.19080567,6.0022521,-1.56467426,-1.01265216,1.64749789,5.77584553,-1.59298027,0.281736076,1.17579961,2.85430074,4.08822918
1,1.47979665,-3.30667758,-2.21522403,-0.802639365,-1.33986986,0.430977464,5.43370199,-2.47942162,2.13534021,3.25222945,5.99070454,-1.62318647,-0.98561132,1.65650415,5.78387547,-1.60804927,0.297846168,1.18901467,2.88079405,4.10584259
2,1.43286097,-3.32215333,-2.19804549,-0.810222685,-1.3369261,0.450975627,5.42799616,-2.49436045,2.14690804,3.3136127,5.97815752,-1.68175459,-0.958245754,1.66596186,5.7916708,-1.62316179,0.314052135,1.20240772,2.90741301,4.12305832
3,1.38546276,-3.33695531,-2.18112445,-0.817715287,-1.33400023,0.471096635,5.42193079,-2.5096488,2.15798712,3.37494469,5.96459866,-1.74039197,-0.930582941,1.67583823,5.79925394,-1.63827765,0.330337882,1.21599138,2.93415236,4.13984537
4,1.33758581,-3.35109591,-2.16445065,-0.825123608,-1.33109403,0.491318852,5.41553164,-2.52526498,2.16855741,3.43617654,5.95004606,-1.79904926,-0.902615964,1.68618536,5.80659723,-1.65345502,0.346714646,1.22975314,2.9610033,4.15620708
5,1.2892741,-3.36456466,-2.14803243,-0.832438886,-1.32819331,0.511679411,5.40877056,-2.54124188,2.17862248,3.49731731,5.93449831,-1.85769558,-0.874397159,1.69699728,5.81370258,-1.66865361,0.363176167,1.2437067,2.98795366,4.17211533
6,1.24050093,-3.37735868,-2.13187623,-0.839666367,-1.32531619,0.532170296,5.40162897,-2.55759478,2.18816829,3.55836916,5.91793489,-1.91636825,-0.845902264,1.70828474,5.82056618,-1.68391085,0.379723996,1.25784993,3.01502991,4.18758678
7,1.19129622,-3.38949203,-2.11598516,-0.846804321,-1.32245386,0.552777827,5.39413786,-2.57430243,2.19718838,3.61928177,5.90037584,-1.97500861,-0.817168593,1.72005391,5.82718325,-1.699211,0.396349162,1.27218127,3.04220605,4.20259714
8,1.14167511,-3.40094709,-2.10036945,-0.853848755,-1.31960845,0.573496163,5.38628435,-2.59136653,2.20568466,3.68002963,5.88182735,-2.03359079,-0.788245201,1.73227549,5.8335681,-1.71455848,0.413045615,1.28669214,3.06948376,4.21714544
9,1.09162891,-3.41171694,-2.08503318,-0.860795379,-1.31677806,0.59436661,5.37802792,-2.60883665,2.21363997,3.74066687,5.86225653,-2.09215927,-0.759084702,1.74501884,5.83968496,-1.72995925,0.429835945,1.30142951,3.09689307,4.23120832
10,1.04118705,-3.42183447,-2.06997085,-0.867649734,-1.31396806,0.615329623,5.36942101,-2.62665486,2.22104526,3.80110359,5.84170866,-2.15063429,-0.729742289,1.75826991,5.84553814,-1.74544597,0.446702778,1.31634128,3.12438416,4.24479961
11,0.990353942,-3.43125701,-2.05520868,-0.87440753,-1.3111701,0.636455238,5.36040497,-2.64489722,2.22790766,3.86136389,5.820158,-2.20904183,-0.700253367,1.77197862,5.85115528,-1.7609694,0.463626802,1.3314544,3.15199494,4.25789356
12,0.939164042,-3.43998766,-2.04075336,-0.881058097,-1.30839431,0.657673717,5.35102987,-2.66349626,2.23421049,3.92140317,5.79763603,-2.26732039,-0.670615852,1.78622413,5.85649347,-1.77656603,0.480638564,1.34678662,3.17971134,4.27047253
13,0.88758105,-3.4480691,-2.02657127,-0.887620628,-1.30563366,0.679037333,5.34123993,-2.68251395,2.23993897,3.98125792,5.7741046,-2.32553601,-0.640828311,1.80097628,5.86156511,-1.79224443,0.497713089,1.36230528,3.20752287,4.28255701
14,0.835661054,-3.4554491,-2.01271367,-0.894078434,-1.30289721,0.700501919,5.33107615,-2.70190573,2.24510288,4.04084158,5.74962902,-2.38356161,-0.610971391,1.81623936,5.86636353,-1.80798829,0.514866471,1.37805355,3.2354517,4.29410887
15,0.783382297,-3.4621489,-1.99914896,-0.90043354,-1.3001703,0.722123325,5.32048988,-2.72173357,2.24967861,4.10020113,5.72416735,-2.44148064,-0.581003189,1.83203244,5.87088013,-1.82380688,0.53208214,1.39401186,3.26348782,4.3051343
16,0.730810523,-3.46818018,-1.98590708,-0.906684935,-1.2974658,0.743850231,5.30951691,-2.74195027,2.25366855,4.15928173,5.69775438,-2.4992125,-0.550984383,1.84835434,5.8751092,-1.83972776,0.549371421,1.41017771,3.2916007,4.3156147
17,0.677894175,-3.47353911,-1.97296548,-0.91284138,-1.29478288,0.765698135,5.29813385,-2.7625742,2.25706053,4.21808147,5.67038298,-2.55678678,-0.520919025,1.86517239,5.87906981,-1.8557142,0.56670475,1.42654598,3.31981874,4.32555819
18,0.624671817,-3.47818422,-1.96035254,-0.918887079,-1.2921145,0.787706375,5.28630781,-2.78365541,2.25983834,4.2766118,5.64205551,-2.61418724,-0.490805238,1.88257277,5.8827095,-1.87181449,0.584130943,1.44317257,3.34816623,4.33493185
19,0.571204424,-3.48218846,-1.94806075,-0.924827814,-1.2894634,0.809808969,5.27409983,-2.80511594,2.26201129,4.33478117,5.61282444,-2.67134619,-0.460719764,1.90046191,5.88607836,-1.88799453,0.601588666,1.45998335,3.37656665,4.34374428
20,0.517430604,-3.48549032,-1.93610179,-0.930668056,-1.28684318,0.832019329,5.26148462,-2.82698774,2.26356602,4.39262724,5.58268642,-2.72827125,-0.430653423,1.91892791,5.88911247,-1.90429664,0.619141877,1.4770602,3.40509748,4.35197449
21,0.463402182,-3.48813915,-1.92444491,-0.936406314,-1.28423965,0.854373097,5.24841833,-2.84930849,2.26449084,4.45014524,5.55160856,-2.7850008,-0.400623292,1.93786812,5.89188337,-1.9206723,0.636701286,1.49430954,3.43369079,4.35963774
22,0.409138352,-3.49009132,-1.91314411,-0.942032218,-1.28165913,0.876824856,5.23494864,-2.87202072,2.26477528,4.50727654,5.51965761,-2.84146428,-0.370650291,1.95737863,5.8943181,-1.9371736,0.654351175,1.51183295,3.46239948,4.36668777
