traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52606261,-3.29054642,-2.23221278,-0.795239925,-1.34256279,0.408747226,5.44076252,-2.46218681,2.12203217,3.18705869,6.00343132,-1.5614264,-1.01333773,1.64780998,5.77574682,-1.5930382,0.281743407,1.17578673,2.85431337,4.08827877
1,1.47964108,-3.30667806,-2.21482062,-0.802903056,-1.33961964,0.428601563,5.4354372,-2.47673726,2.13408756,3.24840069,5.99198151,-1.61988163,-0.986309052,1.65683222,5.78376484,-1.60811031,0.297866374,1.18901289,2.88081789,4.1058979
2,1.43271887,-3.32216859,-2.1976583,-0.810508251,-1.3367368,0.44865787,5.42963219,-2.49167752,2.1455102,3.30962276,5.9795785,-1.67847085,-0.958832085,1.66636419,5.79151964,-1.62324595,0.314083159,1.20242047,2.907444,4.12312031
3,1.38533342,-3.33693576,-2.18073297,-0.817953348,-1.33373559,0.468668938,5.42379332,-2.50689507,2.1569469,3.37127304,5.96588564,-1.73710454,-0.931363821,1.67608213,5.79918575,-1.63831246,0.330335647,1.21597779,2.93416238,4.13988161
4,1.33746171,-3.35109687,-2.16406274,-0.825375795,-1.33085454,0.488837898,5.41745806,-2.52239847,2.16745925,3.4323144,5.95149994,-1.79562652,-0.903411448,1.68648136,5.80649853,-1.65349638,0.346731335,1.22975647,2.9610076,4.15623522
5,1.28913665,-3.36456251,-2.14765215,-0.832702577,-1.32798839,0.50923723,5.41065788,-2.53838539,2.17748976,3.49342537,5.93602514,-1.85432947,-0.875118196,1.69733047,5.81357861,-1.66873991,0.36320582,1.24370813,2.98797178,4.17216253
6,1.24034941,-3.37736082,-2.13149333,-0.839946449,-1.3251425,0.529667735,5.40357685,-2.55462956,2.18701053,3.55431366,5.91959667,-1.91291451,-0.846642077,1.70860851,5.82044125,-1.68399394,0.379745513,1.25784743,3.01504922,4.18763542
7,1.19116998,-3.38948965,-2.11560297,-0.847068012,-1.32225847,0.550233841,5.39618349,-2.57128048,2.19615579,3.61530042,5.90205288,-1.97152901,-0.817975581,1.72033226,5.82708073,-1.69927871,0.39636746,1.27217448,3.04220653,4.20262957
8,1.14152682,-3.4009378,-2.09997511,-0.854109585,-1.31940711,0.570937157,5.38838482,-2.58830523,2.20473886,3.6761272,5.8835144,-2.03012753,-0.789069772,1.73253405,5.83347416,-1.71461284,0.413061619,1.28669548,3.06950068,4.2171793
9,1.09148228,-3.41172361,-2.08465099,-0.861073494,-1.31662476,0.591804862,5.38012505,-2.60573554,2.21262765,3.73660183,5.86410284,-2.08865929,-0.759859681,1.74532676,5.83955765,-1.73005259,0.429863185,1.30142593,3.09690309,4.23125362
10,1.04105222,-3.42182732,-2.06960368,-0.86791724,-1.31380677,0.612749577,5.37158632,-2.62351227,2.22014189,3.79710078,5.84357405,-2.14712453,-0.730580509,1.7585088,5.84544516,-1.74550498,0.446714431,1.31633747,3.12439823,4.24483633
11,0.990192771,-3.43123531,-2.05482173,-0.874668717,-1.31099081,0.633801222,5.36269331,-2.64165449,2.22712731,3.85742998,5.82203054,-2.20550418,-0.701148152,1.77217138,5.85108376,-1.76101053,0.463634014,1.3314501,3.15201521,4.2579236
12,0.939013958,-3.43998003,-2.04036117,-0.881309032,-1.30819643,0.655029297,5.35335493,-2.66026378,2.23357201,3.91764212,5.79946423,-2.2638464,-0.671565175,1.78634036,5.85645485,-1.77658463,0.480630457,1.34676492,3.17971444,4.27050495
