traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52621281,-3.29055142,-2.23261595,-0.794978321,-1.34281862,0.411165208,5.43902397,-2.46488261,2.12331247,3.19087839,6.00221968,-1.56473005,-1.01265013,1.64747071,5.77585697,-1.59296775,0.281721562,1.17578721,2.8542912,4.08823013
1,1.47977412,-3.30667996,-2.21521044,-0.802639902,-1.33986163,0.431036621,5.43367052,-2.47948503,2.13536572,3.2523005,5.99068213,-1.62321889,-0.985605597,1.65651023,5.7838707,-1.6080519,0.29784894,1.18901634,2.88080478,4.10585451
2,1.43288136,-3.32215238,-2.19806075,-0.810210764,-1.33692253,0.451004446,5.42797995,-2.49439549,2.14693952,3.31366968,5.97813177,-1.68180227,-0.958254099,1.6659261,5.79169035,-1.6231395,0.31403923,1.20240331,2.90740657,4.1230526
3,1.38545644,-3.33695412,-2.18112183,-0.817708433,-1.33399296,0.471144706,5.42190599,-2.50970292,2.15801024,3.37501478,5.96457052,-1.74044096,-0.930566132,1.67583835,5.79925537,-1.63827205,0.330334067,1.21599305,2.93415856,4.13984871
4,1.33760095,-3.35109591,-2.16445994,-0.825113177,-1.3310889,0.491341472,5.41552639,-2.52528954,2.16858482,3.4362216,5.95003366,-1.79906237,-0.90262872,1.68617976,5.80659819,-1.65344894,0.346715599,1.22975373,2.96099472,4.15619898
5,1.28927815,-3.36457467,-2.14803386,-0.832432628,-1.32819104,0.511716485,5.40874863,-2.54128718,2.17864823,3.49738693,5.9344697,-1.85773838,-0.874389827,1.69699526,5.81370401,-1.6686573,0.363175482,1.24370098,2.98794746,4.17211914
6,1.24049377,-3.37736821,-2.13186884,-0.839663148,-1.32530999,0.532217324,5.40160656,-2.55764866,2.18818784,3.55843425,5.91790485,-1.91641307,-0.845883191,1.70829082,5.82056427,-1.68391514,0.379722655,1.25784516,3.01502705,4.18759298
7,1.19131804,-3.38949919,-2.11599636,-0.846793354,-1.32244897,0.552803576,5.39412594,-2.574332,2.19721675,3.61932993,5.90035772,-1.97502887,-0.817183316,1.72003818,5.82719088,-1.69920707,0.396350384,1.27217913,3.0421927,4.20259047
8,1.14167893,-3.40095735,-2.10036731,-0.853840113,-1.31960034,0.573552907,5.38624334,-2.59142971,2.20570493,3.68012309,5.88177824,-2.03366756,-0.788211644,1.73228288,5.83356476,-1.71456826,0.413050681,1.28669178,3.06947803,4.21714401
9,1.09167087,-3.41174126,-2.08504558,-0.860783219,-1.31677103,0.59440279,5.37801552,-2.60887718,2.21365905,3.74073124,5.8622303,-2.09220099,-0.759066284,1.74502897,5.83968401,-1.72996819,0.429833561,1.30141521,3.09686089,4.23120403
10,1.04120219,-3.42182446,-2.0699904,-0.867635965,-1.31395853,0.615388274,5.36938572,-2.626719,2.221071,3.80118489,5.84166765,-2.15068746,-0.729731143,1.75826752,5.845541,-1.74544287,0.446708173,1.31635284,3.12438869,4.24478722
11,0.99037838,-3.43125939,-2.05522108,-0.87439394,-1.31116307,0.636493683,5.3603816,-2.64494061,2.22793007,3.8614347,5.82012033,-2.20909119,-0.700238645,1.7719785,5.85116005,-1.76096714,0.46363017,1.33145797,3.15198565,4.2578845
12,0.939159989,-3.4400034,-2.0407474,-0.881053984,-1.30838716,0.657715082,5.35100222,-2.66354394,2.23423386,3.92147279,5.79759741,-2.26737404,-0.670614123,1.78619981,5.85650682,-1.77656269,0.48063001,1.34677207,3.17970109,4.2704792
13,0.887594223,-3.44806266,-2.02658105,-0.887607694,-1.30562425,0.679090858,5.3412056,-2.68257475,2.23995972,3.98132944,5.77407217,-2.32557082,-0.640821815,1.80098557,5.86156178,-1.79224253,0.497721255,1.36231875,3.20752764,4.28254986
14,0.835657537,-3.45545053,-2.01270843,-0.894069016,-1.3028847,0.700564086,5.33103371,-2.70197511,2.24512076,4.04091406,5.74958754,-2.38362145,-0.610959888,1.81622398,5.86637306,-1.80797923,0.514857471,1.3780458,3.23545027,4.29411364
15,0.783404887,-3.46216249,-1.99915123,-0.900423169,-1.30015922,0.722176552,5.3204546,-2.72179413,2.2496984,4.1002717,5.72412348,-2.44153023,-0.580998421,1.83201361,5.87089586,-1.82379878,0.53206861,1.39399433,3.26346612,4.30513287
16,0.730819166,-3.46820116,-1.98590374,-0.906679511,-1.2974577,0.743883669,5.30949497,-2.74198747,2.25369477,4.1593318,5.697721,-2.49925661,-0.551003277,1.84829247,5.87514877,-1.83969963,0.549341619,1.41014564,3.29157853,4.31562328
17,0.677895308,-3.4735291,-1.97297227,-0.912829041,-1.29477251,0.76575315,5.29809237,-2.76263809,2.25707793,4.21815157,5.67033195,-2.55685067,-0.52090615,1.86515224,5.87908697,-1.85570753,0.566696227,1.42654061,3.31982327,4.32555914
18,0.624707043,-3.47821093,-1.96035814,-0.918878078,-1.29210734,0.787719488,5.28631306,-2.78366971,2.25986719,4.27663183,5.64204741,-2.6141932,-0.490834445,1.88252544,5.88274002,-1.87180054,0.584108353,1.44314098,3.34813261,4.33493853
19,0.571208537,-3.48219013,-1.94807112,-0.924818814,-1.28945863,0.809847176,5.27407503,-2.80516434,2.26203275,4.33484554,5.61279154,-2.67138004,-0.460726619,1.90045226,5.8860836,-1.88798892,0.601590812,1.459988,3.37656879,4.34374237
20,0.517451167,-3.4855082,-1.93610239,-0.930658638,-1.28683388,0.832067609,5.26144886,-2.82704425,2.26358151,4.39269733,5.58264017,-2.7283268,-0.430649191,1.91889966,5.88913631,-1.9042753,0.6191203,1.47704101,3.40507936,4.35197639
21,0.463438988,-3.48813963,-1.92446589,-0.936389804,-1.28422701,0.854422569,5.24838924,-2.84936213,2.26450086,4.45020962,5.55157423,-2.7850399,-0.400611371,1.93788707,5.8918767,-1.92066967,0.63671124,1.49432695,3.43368745,4.35962391
22,0.409153283,-3.49010634,-1.9131496,-0.942023456,-1.28164601,0.876888812,5.23490286,-2.87209511,2.26478767,4.50735235,5.51960659,-2.84151745,-0.370640278,1.95737803,5.89432144,-1.93717444,0.654350221,1.51182663,3.46238685,4.36668682
23,0.354628325,-3.49138618,-1.90215421,-0.947550297,-1.27907884,0.899511933,5.22095823,-2.895298,2.2644248,4.56414413,5.48675108,-2.89774585,-0.340750098,1.97741067,5.896451,-1.95377386,0.672031403,1.52956283,3.49118638,4.3731513
