framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,9.765625463842298e-7,,0,8,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,4,4,
julia,tsit5,performance,fixed,fixed,32,dt,9.765625463842298e-7,,0,32,
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,tsit5,performance,fixed,fixed,128,dt,9.765625463842298e-7,,0,128,
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,tsit5,performance,fixed,fixed,512,dt,9.765625463842298e-7,,0,512,
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,,384,128,
julia,tsit5,performance,fixed,fixed,2048,dt,9.765625463842298e-7,,0,2048,
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,tsit5,performance,fixed,fixed,8192,dt,9.765625463842298e-7,,0,8192,
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,tsit5,performance,fixed,fixed,32768,dt,9.765625463842298e-7,,0,32768,
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,tsit5,performance,fixed,fixed,131072,dt,9.765625463842298e-7,,0,131072,
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,,66364,64708,
julia,tsit5,performance,fixed,fixed,524288,dt,9.765625463842298e-7,,0,524288,
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,tsit5,performance,fixed,fixed,2097152,dt,9.765625463842298e-7,,0,2097152,
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
