tol,traj,s1,s2,s3,naccept,nreject,converged
0.01,0,6.26563924e-05,0,0,10,0,1
0.01,1,0.00102323783,0.000852739962,1.03421071e-05,10,0,1
0.01,2,0.00198366656,0.00173585885,2.16770004e-05,10,0,1
0.01,3,0.00300506339,0.00264978129,3.40525003e-05,9,0,1
0.01,4,0.00403776532,0.00359539525,4.75250527e-05,10,0,1
0.01,5,0.00507469429,0.0045735715,6.21612635e-05,10,0,1
0.01,6,0.00619039405,0.0055841594,7.79953407e-05,10,0,1
0.01,7,0.00729152188,0.00662898552,9.51210095e-05,10,0,1
0.01,8,0.00844878703,0.00770779513,0.000113574279,10,0,1
0.01,9,0.00965149049,0.00882135332,0.000133422494,10,0,1
0.01,10,0.0108831329,0.00997066032,0.000154742142,10,0,1
0.01,11,0.0121213831,0.0111570368,0.000177623908,10,0,1
0.01,12,0.0134145282,0.0123801073,0.00020210653,10,0,1
0.01,13,0.0147361271,0.013641268,0.000228286328,10,0,1
0.01,14,0.0160972904,0.0149409799,0.000256234605,10,0,1
0.01,15,0.0174960252,0.0162800755,0.000286034716,10,0,1
0.01,16,0.0189296026,0.0176594276,0.000317775848,10,0,1
0.01,17,0.0204031449,0.0190796629,0.000351540861,10,0,1
0.01,18,0.0219147503,0.0205416828,0.000387425331,10,0,1
0.01,19,0.0234722793,0.0220459718,0.000425511564,10,0,1
0.01,20,0.0250735395,0.0235934388,0.00046589956,10,0,1
0.01,21,0.0266787112,0.0251867399,0.00050876732,10,0,1
0.01,22,0.0283474289,0.0268241093,0.000554115919,10,0,1
0.01,23,0.0300601292,0.0285072774,0.000602089334,10,0,1
0.01,24,0.0318262763,0.0302366391,0.000652779941,10,0,1
0.01,25,0.0336087346,0.0320150442,0.000706390827,10,0,1
0.01,26,0.0354458541,0.033841446,0.000762959477,10,0,1
0.01,27,0.037359219,0.0357154384,0.000822549802,10,0,1
0.01,28,0.039256949,0.0376433171,0.000885545858,10,0,1
0.01,29,0.0412317514,0.0396206714,0.000951829308,10,0,1
0.01,30,0.0432532467,0.0416502431,0.00102162524,10,0,1
0.01,31,0.0453183427,0.0437332205,0.00109508715,10,0,1
0.01,32,0.0474333875,0.0458702371,0.0011723527,10,0,1
0.01,33,0.0496035703,0.0480619073,0.00125355728,10,0,1
0.01,34,0.0518131442,0.0503104106,0.00133891613,10,0,1
0.01,35,0.0540755503,0.0526158623,0.00142855302,10,0,1
0.01,36,0.0563882627,0.0549795106,0.0015226478,10,0,1
0.01,37,0.0587541834,0.0574022233,0.00162137102,10,0,1
0.01,38,0.061173398,0.0598851144,0.00172490964,10,0,1
0.01,39,0.0636493266,0.0624289662,0.00183343503,10,0,1
0.01,40,0.0661789402,0.0650352463,0.00194715837,10,0,1
0.01,41,0.0687547922,0.0677056611,0.0020663247,10,0,1
0.01,42,0.0713900551,0.0704403371,0.00219107606,10,0,1
0.01,43,0.0740945041,0.0732395276,0.00232158834,10,0,1
0.01,44,0.0768418536,0.076106824,0.00245822011,10,0,1
0.01,45,0.0796461403,0.0790421888,0.00260112644,10,0,1
0.01,46,0.0825157613,0.0820460692,0.00275051384,10,0,1
0.01,47,0.0854461268,0.085120149,0.00290664728,10,0,1
0.01,48,0.0884431154,0.0882651359,0.00306974491,10,0,1
0.01,49,0.0914898068,0.0914839134,0.00324017531,10,0,1
0.01,50,0.0946062654,0.0947759226,0.00341809238,10,0,1
0.01,51,0.0977863818,0.0981429666,0.00360381324,10,0,1
0.01,52,0.101032928,0.1015862,0.00379761914,10,0,1
0.01,53,0.104342744,0.105107278,0.00399981113,10,0,1
0.01,54,0.107720464,0.108707078,0.00421068817,10,0,1
0.01,55,0.111166388,0.112386912,0.00443054829,10,0,1
0.01,56,0.114680909,0.116148278,0.00465972116,10,0,1
0.01,57,0.118265003,0.11999242,0.00489855278,10,0,1
0.01,58,0.121919885,0.123920634,0.00514737517,10,0,1
0.01,59,0.125647277,0.127934247,0.00540652964,10,0,1
0.01,60,0.12945433,0.132033825,0.00567631191,10,0,1
0.01,61,0.133320123,0.136223435,0.0059573208,10,0,1
0.01,62,0.137273788,0.140501007,0.00624966715,10,0,1
