tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.66412735,4.0138526,-2.50078821,-2.5,4.67053032,3.62385011,4.6818676,-2.5,-2.50078821,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,1,4.66756201,4.02988768,-2.50120592,-2.5,4.67334747,3.62385011,4.69815826,-2.5,-2.50120592,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,2,4.66240597,4.01125956,-2.50073171,-2.5,4.66911602,3.62385011,4.67403173,-2.5,-2.50073171,3.62385011,0,3.62385011,-2.5,-2.5,6,3,0
0.01,3,4.6636138,4.01388693,-2.50073218,-2.5,4.67027044,3.62385011,4.67586184,-2.5,-2.50073218,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,4,4.66668701,4.02129126,-2.50077724,-2.5,4.67304516,3.62385011,4.68402958,-2.5,-2.50077724,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,5,4.6673584,4.02325439,-2.50077581,-2.5,4.67369986,3.62385011,4.68469715,-2.5,-2.50077581,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,6,4.66804981,4.02528858,-2.50077558,-2.5,4.67437172,3.62385011,4.68545151,-2.5,-2.50077558,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,7,4.6687541,4.02736664,-2.50077605,-2.5,4.67505455,3.62385011,4.68626022,-2.5,-2.50077605,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,8,4.66937685,4.02916527,-2.50077248,-2.5,4.67566919,3.62385011,4.68672657,-2.5,-2.50077248,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,9,4.66762114,4.02553558,-2.50072193,-2.5,4.67418575,3.62385011,4.67972851,-2.5,-2.50072217,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,10,4.67065573,4.03288412,-2.50076675,-2.5,4.67692566,3.62385011,4.68780565,-2.5,-2.50076675,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,11,4.67133045,4.0348587,-2.5007658,-2.5,4.67758322,3.62385011,4.68848801,-2.5,-2.5007658,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,12,4.67481899,4.05125475,-2.50119853,-2.5,4.68044376,3.62385011,4.70515966,-2.5,-2.50119805,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,13,4.67269516,4.03886843,-2.50076437,-2.5,4.67891216,3.62385011,4.68992424,-2.5,-2.50076437,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,14,4.67335796,4.04080582,-2.5007627,-2.5,4.67955971,3.62385011,4.69055986,-2.5,-2.5007627,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,15,4.67680502,4.05712795,-2.50119853,-2.5,4.68238401,3.62385011,4.70711708,-2.5,-2.50119853,3.62385011,0,3.62385011,-2.5,-2.5,4,3,0
0.01,16,4.67460537,4.04441357,-2.50075579,-2.5,4.68078995,3.62385011,4.691504,-2.5,-2.50075555,3.62385011,0,3.62385011,-2.5,-2.5,5,3,0
0.01,17,4.66821384,4.03810549,-2.50070286,-2.5,4.67481089,3.62385011,4.67733955,-2.5,-2.50070286,3.62385011,0,3.62385011,-2.5,-2.5,8,3,0
