tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.00003767,3.99995065,-2.50009418,-2.5,4.00004435,3.62387848,3.99984121,-2.49999762,-2.50009441,3.62385178,0,3.62384939,-2.5,-2.49999762,17,66,0
0.01,1,4.00195169,4.00209951,-2.49998164,-2.5,4.00194883,3.62388277,4.0021801,-2.4999969,-2.49998164,3.62385225,0,3.62384915,-2.5,-2.4999969,17,66,0
0.01,2,4.0039835,4.00423145,-2.50018573,-2.5,4.00398636,3.62388325,4.00405502,-2.4999969,-2.50018573,3.62385225,0,3.62384915,-2.5,-2.4999969,17,65,0
0.01,3,4.00567865,4.00499868,-2.49961829,-2.5,4.00568151,3.62387657,4.00537491,-2.49999809,-2.49961829,3.6238513,0,3.62384939,-2.5,-2.49999809,16,64,0
0.01,4,4.00779533,4.00770855,-2.49985051,-2.5,4.00778866,3.62388206,4.00789881,-2.49999714,-2.49985051,3.62385201,0,3.62384939,-2.5,-2.49999714,16,62,0
0.01,5,4.0096879,4.00930452,-2.49974465,-2.5,4.00968599,3.62388229,4.0096097,-2.49999714,-2.49974465,3.62385225,0,3.62384939,-2.5,-2.49999714,16,62,0
0.01,6,4.01169014,4.0114522,-2.49987268,-2.5,4.01169205,3.62387919,4.01148796,-2.49999738,-2.49987268,3.62385178,0,3.62384939,-2.5,-2.49999738,16,63,0
0.01,7,4.01373625,4.01370811,-2.50013113,-2.5,4.0137434,3.62387681,4.01358843,-2.49999809,-2.50013137,3.62385154,0,3.62384939,-2.5,-2.49999809,17,66,0
0.01,8,4.01570272,4.01700354,-2.50025535,-2.5,4.01567888,3.62388277,4.01673126,-2.4999969,-2.50025535,3.62385225,0,3.62384915,-2.5,-2.4999969,15,59,0
0.01,9,4.01763821,4.0177412,-2.50009918,-2.5,4.01764107,3.62388325,4.01766777,-2.4999969,-2.50009918,3.62385225,0,3.62384915,-2.5,-2.4999969,17,66,0
0.01,10,4.01900053,4.01788187,-2.49933195,-2.5,4.01900053,3.62387776,4.01901484,-2.49999762,-2.499331,3.62385154,0,3.62384939,-2.5,-2.49999762,15,61,0
0.01,11,4.02129745,4.02131224,-2.49968243,-2.5,4.02128267,3.62388086,4.02184343,-2.49999714,-2.49968338,3.62385201,0,3.62384939,-2.5,-2.49999714,15,60,0
0.01,12,4.02316904,4.02297163,-2.49963021,-2.5,4.02315426,3.62387896,4.02369308,-2.49999738,-2.49963093,3.62385178,0,3.62384939,-2.5,-2.49999738,15,60,0
0.01,13,4.02545071,4.02613115,-2.50036097,-2.5,4.0254488,3.62387705,4.02578402,-2.49999785,-2.50036097,3.62385154,0,3.62384939,-2.5,-2.49999785,15,59,0
0.01,14,4.02694893,4.02601671,-2.49938202,-2.5,4.02694511,3.62387872,4.02707243,-2.49999738,-2.49938345,3.62385154,0,3.62384939,-2.5,-2.49999738,15,60,0
0.01,15,4.02926731,4.0296483,-2.50012398,-2.5,4.02926588,3.62388062,4.02956057,-2.49999714,-2.50012422,3.62385201,0,3.62384939,-2.5,-2.49999714,15,58,0
0.01,16,4.03151417,4.03180361,-2.5002687,-2.5,4.03152084,3.623878,4.03126192,-2.49999762,-2.50026941,3.62385154,0,3.62384939,-2.5,-2.49999762,16,64,0
0.01,17,4.03314447,4.0327239,-2.49983287,-2.5,4.03314924,3.62388039,4.03281832,-2.49999738,-2.49983287,3.62385201,0,3.62384939,-2.5,-2.49999738,16,64,0
0.01,18,4.03529453,4.03528261,-2.50011134,-2.5,4.03530025,3.62387943,4.03500605,-2.49999738,-2.50011134,3.62385178,0,3.62384939,-2.5,-2.49999738,16,63,0
0.01,19,4.03719473,4.03824329,-2.50029087,-2.5,4.03717613,3.62387848,4.03807783,-2.49999762,-2.50029087,3.62385154,0,3.62384939,-2.5,-2.49999762,15,60,0
0.01,20,4.03841639,4.03576183,-2.49892712,-2.5,4.03844166,3.62387753,4.03750467,-2.49999762,-2.49892783,3.62385154,0,3.62384939,-2.5,-2.49999762,15,61,0
0.01,21,4.04097414,4.04040766,-2.49982738,-2.5,4.04098177,3.62388206,4.04057074,-2.49999714,-2.49982715,3.62385201,0,3.62384939,-2.5,-2.49999714,16,63,0
0.01,22,4.04292107,4.0424552,-2.49972177,-2.5,4.04292202,3.62387729,4.04273224,-2.49999762,-2.49972177,3.6238513,0,3.62384939,-2.5,-2.49999762,16,63,0
0.01,23,4.0449791,4.04539347,-2.50019407,-2.5,4.04497862,3.62388015,4.04525852,-2.49999738,-2.50019407,3.62385178,0,3.62384939,-2.5,-2.49999738,15,59,0
0.01,24,4.04695749,4.04688501,-2.50006843,-2.5,4.04696178,3.62388253,4.04684782,-2.4999969,-2.50006843,3.62385225,0,3.62384915,-2.5,-2.4999969,17,66,0
0.01,25,4.04851341,4.0476737,-2.49941158,-2.5,4.04850912,3.62387967,4.04862881,-2.49999738,-2.49941158,3.62385201,0,3.62384939,-2.5,-2.49999738,15,60,0
0.01,26,4.05174732,4.05523634,-2.50142241,-2.5,4.05171537,3.62387776,4.05299139,-2.49999762,-2.5014236,3.62385154,0,3.62384939,-2.5,-2.49999762,14,57,0
0.01,27,4.05275488,4.05203056,-2.49988389,-2.5,4.05277109,3.62388158,4.05213118,-2.49999714,-2.49988389,3.62385225,0,3.62384915,-2.5,-2.49999714,16,63,0
0.01,28,4.05479097,4.05477381,-2.50012016,-2.5,4.05479717,3.62387681,4.05465603,-2.49999809,-2.50012016,3.62385154,0,3.62384939,-2.5,-2.49999809,17,66,0
0.01,29,4.05655527,4.05587244,-2.49968696,-2.5,4.05656099,3.62388206,4.05621672,-2.49999714,-2.49968743,3.62385201,0,3.62384939,-2.5,-2.49999714,16,63,0
0.01,30,4.05852985,4.05876875,-2.49994159,-2.5,4.05852365,3.62388062,4.05894852,-2.49999714,-2.49994183,3.62385201,0,3.62384939,-2.5,-2.49999714,15,60,0
0.01,31,4.06062698,4.06028175,-2.49998546,-2.5,4.06063604,3.62388039,4.06021452,-2.49999738,-2.49998593,3.62385201,0,3.62384939,-2.5,-2.49999738,16,63,0
