traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.0399999991,0,0,0.100000001,0.300000012
