tol,traj,x,y,z,naccept,nreject,converged
0.01,0,7.81625276e-05,0,0,14,0,1
0.01,1,0.00102542061,0.000852738624,1.03351913e-05,14,0,1
0.01,2,0.00199313113,0.00173582276,2.16620265e-05,14,0,1
0.01,3,0.00300921476,0.00264976267,3.40306215e-05,14,0,1
0.01,4,0.0040344866,0.00359543855,4.74991248e-05,14,0,1
0.01,5,0.00510164164,0.00457328605,6.21197032e-05,14,0,1
0.01,6,0.0061881966,0.0055842069,7.79558104e-05,14,0,1
0.01,7,0.0073174173,0.00662860088,9.5062438e-05,14,0,1
0.01,8,0.00846828148,0.00770747149,0.000113509719,14,0,1
0.01,9,0.00966220349,0.00882116519,0.000133355556,14,0,1
0.01,10,0.0108804405,0.00997075345,0.0001546766,14,0,1
0.01,11,0.012139556,0.011156626,0.00017753584,14,0,1
0.01,12,0.0134352027,0.012379596,0.000202008363,14,0,1
0.01,13,0.0147656538,0.0136404578,0.000228171775,14,0,1
0.01,14,0.0161200911,0.0149403168,0.0002561172,14,0,1
0.01,15,0.0175163317,0.0162794478,0.00028591117,14,0,1
0.01,16,0.0189505871,0.0176587366,0.000317642902,14,0,1
0.01,17,0.0204269793,0.019078834,0.000351395749,14,0,1
0.01,18,0.0219421461,0.0205406565,0.000387264881,14,0,1
0.01,19,0.0234844331,0.0220455285,0.000425366015,14,0,1
0.01,20,0.0250775907,0.0235933308,0.000465761055,14,0,1
0.01,21,0.0266996995,0.0251858402,0.000508590485,14,0,1
0.01,22,0.0283859279,0.0268223397,0.000553892518,14,0,1
0.01,23,0.0300809592,0.0285063107,0.000601894339,14,0,1
0.01,24,0.0318335183,0.0302363429,0.000652606657,14,0,1
0.01,25,0.033629939,0.0320139863,0.000706177147,14,0,1
0.01,26,0.035477668,0.0338397548,0.000762707961,14,0,1
0.01,27,0.0373539068,0.0357158408,0.000822391361,14,0,1
0.01,28,0.039286077,0.0376416668,0.000885280431,14,0,1
0.01,29,0.0412654057,0.0396186933,0.000951536698,14,0,1
0.01,30,0.0432913899,0.0416479036,0.00102130196,14,0,1
0.01,31,0.0453498214,0.0437312573,0.00109478098,14,0,1
0.01,32,0.0474701636,0.0458678491,0.00117201207,14,0,1
0.01,33,0.0496258065,0.0480604917,0.00125326146,14,0,1
0.01,34,0.0518448688,0.0503082685,0.00133856991,14,0,1
0.01,35,0.0540994368,0.0526142307,0.00142823323,14,0,1
0.01,36,0.0564322546,0.0549763143,0.00152221799,15,0,1
0.01,37,0.0587904975,0.0573995486,0.00162096927,14,0,1
0.01,38,0.0612151399,0.0598819293,0.00172446086,14,0,1
0.01,39,0.0636786073,0.0624267422,0.00183303992,14,0,1
0.01,40,0.0662001222,0.0650336295,0.00194679771,14,0,1
0.01,41,0.0687824413,0.0677034706,0.00206592004,14,0,1
0.01,42,0.0714255795,0.0704374164,0.00219061505,14,0,1
0.01,43,0.0741273016,0.0732368007,0.00232111407,14,0,1
0.01,44,0.07686802,0.076104641,0.00245778845,14,0,1
0.01,45,0.0796854943,0.0790387392,0.00260059978,14,0,1
0.01,46,0.0825492069,0.0820431188,0.00275001768,14,0,1
0.01,47,0.0854863897,0.0851164758,0.00290608034,15,0,1
0.01,48,0.0884777457,0.0882619321,0.00306919659,14,0,1
0.01,49,0.0915320963,0.0914799124,0.00323956669,15,0,1
0.01,50,0.0946440697,0.0947722718,0.00341751031,14,0,1
0.01,51,0.0978302732,0.0981386527,0.00360316248,14,0,1
0.01,52,0.101066396,0.101582952,0.00379704894,14,0,1
0.01,53,0.104380697,0.105103448,0.00399919366,15,0,1
0.01,54,0.107762732,0.108702719,0.00421000645,15,0,1
0.01,55,0.111205675,0.112382852,0.00442988845,15,0,1
0.01,56,0.114717454,0.116144441,0.00465908833,15,0,1
0.01,57,0.118306048,0.119987994,0.00489785289,15,0,1
0.01,58,0.121959485,0.123916343,0.00514667481,14,0,1
0.01,59,0.125689074,0.127929613,0.00540578784,15,0,1
0.01,60,0.12948586,0.132030353,0.00567567442,15,0,1
0.01,61,0.133363217,0.136218458,0.0059565464,14,0,1
0.01,62,0.137309521,0.140496925,0.00624896353,15,0,1
0.01,63,0.141331166,0.144866496,0.00655324943,15,0,1
0.01,64,0.145430699,0.149328426,0.0068697934,15,0,1
0.01,65,0.149614349,0.153883472,0.0071989391,15,0,1
0.01,66,0.153870597,0.158534706,0.0075412998,15,0,1
0.01,67,0.158214673,0.163281769,0.00789711252,15,0,1
0.01,68,0.162632301,0.168128252,0.00826707389,15,0,1
0.01,69,0.167133287,0.173074409,0.00865151826,15,0,1
0.01,70,0.171724692,0.178121105,0.00905084889,15,0,1
0.01,71,0.176393688,0.183271676,0.00946577732,15,0,1
0.01,72,0.181149751,0.188526616,0.00989669096,15,0,1
0.01,73,0.185992733,0.193887606,0.0103441346,15,0,1
0.01,74,0.190929577,0.199355483,0.0108085694,15,0,1
0.01,75,0.195957914,0.204932332,0.011290607,15,0,1
0.01,76,0.201068506,0.210621282,0.0117909946,15,0,1
0.01,77,0.20627223,0.216422677,0.012310179,15,0,1
0.01,78,0.211576059,0.222337142,0.0128486603,15,0,1
0.01,79,0.216961667,0.228369415,0.0134073915,15,0,1
0.01,80,0.222453684,0.234517634,0.0139866415,15,0,1
0.01,81,0.228037983,0.240785852,0.0145873204,15,0,1
0.01,82,0.233721793,0.247174859,0.0152100082,15,0,1
0.01,83,0.239515588,0.253684968,0.0158552788,15,0,1
0.01,84,0.245397717,0.260321498,0.0165241901,15,0,1
0.01,85,0.251387089,0.267083526,0.0172172245,15,0,1
0.01,86,0.257470578,0.273975074,0.0179353394,15,0,1
0.01,87,0.263669908,0.280994743,0.0186790414,15,0,1
0.01,88,0.269964784,0.288147807,0.0194494128,15,0,1
0.01,89,0.276375681,0.295433134,0.0202470552,15,0,1
0.01,90,0.282892287,0.30285421,0.0210729297,15,0,1
0.01,91,0.289522946,0.31041199,0.0219278503,15,0,1
0.01,92,0.296267062,0.318108588,0.0228127278,15,0,1
0.01,93,0.303116977,0.325947493,0.0237285662,15,0,1
0.01,94,0.310081184,0.3339293,0.0246762168,15,0,1
0.01,95,0.317162424,0.342055947,0.0256566592,15,0,1
0.01,96,0.324365735,0.350328594,0.0266708713,15,0,1
0.01,97,0.331681997,0.358751088,0.0277199149,15,0,1
0.01,98,0.339118958,0.367324144,0.0288047772,15,0,1
0.01,99,0.346678674,0.376050025,0.0299265832,15,0,1
0.01,100,0.354363471,0.384930253,0.0310864039,15,0,1
0.01,101,0.362175345,0.393966824,0.032285396,15,0,1
0.01,102,0.370106786,0.403163433,0.0335246548,15,0,1
0.01,103,0.378172189,0.412519813,0.0348054618,15,0,1
0.01,104,0.386355251,0.422041535,0.0361288786,15,0,1
0.01,105,0.394678205,0.431726426,0.0374963433,15,0,1
0.01,106,0.403127491,0.441579521,0.0389089361,15,0,1
0.01,107,0.411715031,0.451601177,0.0403681844,15,0,1
0.01,108,0.420438707,0.4617939,0.0418753438,15,0,1
0.01,109,0.429294944,0.472161114,0.0434316844,15,0,1
0.01,110,0.438294977,0.482702702,0.0450388491,15,0,1
0.01,111,0.447429031,0.493423432,0.0466979779,15,0,1
