dt,traj,x,y,z
0.5,0,0.0941146314,0,0
0.5,1,0.095268175,0.000630242517,8.80530661e-06
0.5,2,0.096449621,0.00129135139,1.82637705e-05
0.5,3,0.0976594165,0.00198390079,2.84216985e-05
0.5,4,0.098898083,0.00270847091,3.93274022e-05
0.5,5,0.100166038,0.00346565759,5.10306418e-05
0.5,6,0.101463825,0.00425606314,6.35839897e-05
0.5,7,0.102791905,0.00508029899,7.70412371e-05
0.5,8,0.104150876,0.00593899097,9.14588527e-05
0.5,9,0.105541117,0.00683277287,0.000106895342
0.5,10,0.106963225,0.00776229054,0.00012341133
0.5,11,0.108417757,0.00872819871,0.000141070093
0.5,12,0.109905198,0.00973117258,0.000159937175
0.5,13,0.1114261,0.0107718818,0.000180080679
0.5,14,0.112981021,0.0118510034,0.000201571282
0.5,15,0.114570618,0.0129692666,0.000224482559
0.5,16,0.116195343,0.0141273662,0.000248890894
0.5,17,0.117855854,0.0153260259,0.000274875318
0.5,18,0.119552642,0.0165659972,0.000302518485
0.5,19,0.121286452,0.0178480055,0.000331905641
0.5,20,0.12305776,0.0191728398,0.00036312532
0.5,21,0.12486729,0.0205412451,0.000396269548
0.5,22,0.1267156,0.0219540223,0.00043143396
0.5,23,0.128603309,0.023411952,0.000468718237
0.5,24,0.130531177,0.024915861,0.000508224999
0.5,25,0.132499695,0.0264665652,0.000550060184
0.5,26,0.134509668,0.0280648936,0.000594335666
0.5,27,0.136561677,0.0297116973,0.000641166349
0.5,28,0.138656408,0.0314078331,0.000690670917
0.5,29,0.14079465,0.0331541821,0.000742973411
0.5,30,0.142976984,0.0349516235,0.000798202236
0.5,31,0.145204142,0.03680107,0.000856491562
0.5,32,0.147476882,0.0387034044,0.00091797841
0.5,33,0.14979592,0.0406595804,0.000982807949
0.5,34,0.152162001,0.0426705107,0.00105112558
0.5,35,0.154575795,0.0447371677,0.00112308958
0.5,36,0.157038137,0.04686049,0.00119885651
0.5,37,0.159549803,0.0490414798,0.00127859425
0.5,38,0.162111491,0.0512811057,0.00136247324
0.5,39,0.164724007,0.0535803996,0.00145067566
0.5,40,0.167388171,0.0559403338,0.00154338218
0.5,41,0.170104712,0.0583619475,0.0016407863
0.5,42,0.172874451,0.0608462803,0.0017430865
0.5,43,0.175698251,0.0633943751,0.00185048836
0.5,44,0.178576887,0.0660073459,0.00196320936
0.5,45,0.181511164,0.0686861873,0.00208146754
0.5,46,0.184502006,0.0714320168,0.00220549223
0.5,47,0.187550157,0.0742459595,0.00233552395
0.5,48,0.190656483,0.0771290958,0.00247180858
0.5,49,0.193821833,0.0800825059,0.00261460128
0.5,50,0.197047114,0.0831073746,0.0027641682
0.5,51,0.200333044,0.0862047523,0.00292078103
0.5,52,0.203680664,0.0893759131,0.00308473175
0.5,53,0.207090706,0.092621848,0.00325630629
0.5,54,0.210564077,0.0959438682,0.00343581731
0.5,55,0.214101732,0.0993430316,0.0036235787
0.5,56,0.21770446,0.102820583,0.00381992129
0.5,57,0.221373066,0.106377602,0.0040251785
0.5,58,0.225108579,0.110015377,0.00423971284
0.5,59,0.228911772,0.113735013,0.00446388172
0.5,60,0.232783526,0.117537722,0.00469806464
0.5,61,0.23672469,0.1214246,0.00494264858
0.5,62,0.240736216,0.125397041,0.00519805262
0.5,63,0.244818881,0.129456028,0.00546468422
0.5,64,0.248973519,0.133602798,0.0057429811
0.5,65,0.253201008,0.137838557,0.00603339495
0.5,66,0.257502168,0.142164409,0.00633638911
0.5,67,0.261877716,0.146581501,0.0066524432
0.5,68,0.266328692,0.151091069,0.00698206713
0.5,69,0.270855665,0.155694216,0.00732577359
0.5,70,0.275459528,0.160391986,0.00768408645
0.5,71,0.280140966,0.165185601,0.00805757567
0.5,72,0.284900755,0.170076028,0.00844680425
0.5,73,0.289739609,0.17506437,0.0088523617
0.5,74,0.294658035,0.180151567,0.00927486178
0.5,75,0.299656987,0.185338825,0.00971494894
0.5,76,0.304736793,0.190626875,0.0101732602
0.5,77,0.309898227,0.196016848,0.0106504913
0.5,78,0.315141737,0.201509535,0.0111473259
0.5,79,0.320467919,0.207105786,0.0116645014
0.5,80,0.32587713,0.212806404,0.0122027509
0.5,81,0.331369728,0.218612149,0.0127628548
0.5,82,0.33694616,0.224523693,0.0133456122
0.5,83,0.342606694,0.230541706,0.0139518445
0.5,84,0.348351568,0.236666635,0.0145824011
0.5,85,0.354180872,0.24289912,0.0152381584
0.5,86,0.360094815,0.249239445,0.0159200262
0.5,87,0.366093397,0.255688012,0.0166289434
0.5,88,0.372176379,0.26224485,0.0173658524
0.5,89,0.37834385,0.268910408,0.0181317776
0.5,90,0.384595186,0.275684267,0.0189277064
0.5,91,0.390930444,0.282566726,0.0197547395
0.5,92,0.397348702,0.289557219,0.0206139125
0.5,93,0.403849661,0.296655536,0.0215063784
0.5,94,0.410432547,0.303861201,0.0224332809
0.5,95,0.417096466,0.311173499,0.0233958047
0.5,96,0.423840433,0.318591535,0.0243951641
0.5,97,0.430663109,0.326114267,0.0254326053
0.5,98,0.437563419,0.333740532,0.0265094172
0.5,99,0.444539666,0.341468871,0.0276269112
0.5,100,0.451590359,0.349297822,0.0287864711
0.5,101,0.458713442,0.357225209,0.0299894344
0.5,102,0.465906858,0.365249217,0.0312372632
0.5,103,0.473168194,0.37336722,0.0325313769
0.5,104,0.480495095,0.381576866,0.0338733084
0.5,105,0.487884641,0.389874876,0.035264533
0.5,106,0.495333552,0.39825803,0.0367065892
0.5,107,0.50283879,0.406722963,0.0382011123
0.5,108,0.5103966,0.415265441,0.0397496708
0.5,109,0.518003106,0.423881471,0.0413539298
0.5,110,0.525653601,0.432565987,0.0430155173
0.5,111,0.533343911,0.441314042,0.0447361581
0.5,112,0.541068554,0.450119734,0.0465175025
0.5,113,0.548822403,0.458977401,0.0483613275
0.5,114,0.556599438,0.467880189,0.0502693281
0.5,115,0.564393342,0.476820856,0.05224327
0.5,116,0.572197735,0.485792339,0.0542849638
0.5,117,0.580004871,0.494785726,0.0563960373
0.5,118,0.587807238,0.503792346,0.0585783049
