tol,traj,x,y,z,naccept,nreject,converged
0.01,0,-3.36047633e-05,0,0,8,0,1
0.01,1,0.00090561033,0.000845767441,2.13879885e-05,8,0,1
0.01,2,0.00187389262,0.00172215526,4.26265906e-05,8,0,1
0.01,3,0.0028717923,0.00262980582,6.3788335e-05,8,0,1
0.01,4,0.00389985368,0.00356937037,8.49470816e-05,8,0,1
0.01,5,0.00495859515,0.00454150932,0.000106185267,8,0,1
0.01,6,0.00604853872,0.00554688415,0.000127591615,8,0,1
0.01,7,0.00717027392,0.00658618286,0.000149245665,8,0,1
0.01,8,0.00832437631,0.00766009605,0.000171230422,8,0,1
0.01,9,0.00951135717,0.00876931474,0.000193656175,8,0,1
0.01,10,0.0107318442,0.00991455559,0.000216601722,8,0,1
0.01,11,0.0119863786,0.0110965315,0.000240180147,8,0,1
0.01,12,0.0132755851,0.0123159783,0.000264486414,8,0,1
0.01,13,0.0146000329,0.0135736298,0.000289633492,8,0,1
0.01,14,0.0159603078,0.0148702245,0.000315734884,8,0,1
0.01,15,0.0173570532,0.016206542,0.000342902989,8,0,1
0.01,16,0.0187908914,0.0175833497,0.000371252419,8,0,1
0.01,17,0.0202623848,0.0190014075,0.00040092424,8,0,1
0.01,18,0.0217722375,0.0204615314,0.000432028668,8,0,1
0.01,19,0.0233210642,0.0219645146,0.000464703771,8,0,1
0.01,20,0.0249094907,0.0235111658,0.000499090937,8,0,1
0.01,21,0.0265381876,0.025102308,0.000535328116,8,0,1
0.01,22,0.028207805,0.0267387722,0.000573562982,8,0,1
0.01,23,0.0299190246,0.0284214169,0.000613945478,8,0,1
0.01,24,0.0316725187,0.0301510841,0.000656631601,8,0,1
0.01,25,0.0334689654,0.0319286473,0.000701782468,8,0,1
0.01,26,0.0353090614,0.0337549895,0.000749563973,8,0,1
0.01,27,0.0371934921,0.0356309898,0.000800142123,8,0,1
0.01,28,0.0391230062,0.037557561,0.00085370685,8,0,1
0.01,29,0.0410982594,0.0395356044,0.000910419505,8,0,1
0.01,30,0.0431200266,0.0415660441,0.000970486435,8,0,1
0.01,31,0.0451889969,0.0436498187,0.00103408599,8,0,1
0.01,32,0.047305949,0.0457878932,0.00110142014,8,0,1
0.01,33,0.0494715795,0.0479811877,0.00117269135,8,0,1
0.01,34,0.0516867004,0.0502307117,0.00124811463,8,0,1
0.01,35,0.0539520085,0.0525374152,0.00132789102,8,0,1
0.01,36,0.0562683456,0.0549023263,0.00141226256,8,0,1
0.01,37,0.0586364232,0.0573264025,0.00150143472,8,0,1
0.01,38,0.0610570572,0.0598107018,0.00159565767,8,0,1
0.01,39,0.0635310635,0.0623562448,0.00169516867,8,0,1
0.01,40,0.0660592467,0.0649641082,0.00180018821,8,0,1
0.01,41,0.0686423406,0.0676352456,0.00191101106,8,0,1
0.01,42,0.0712812617,0.0703708455,0.00202786364,8,0,1
0.01,43,0.0739767998,0.0731719136,0.00215101289,8,0,1
0.01,44,0.0767297894,0.0760395527,0.00228076824,8,0,1
0.01,45,0.0795410797,0.0789749175,0.00241733482,8,0,1
0.01,46,0.0824114978,0.0819790363,0.00256108656,8,0,1
0.01,47,0.0853419304,0.0850531161,0.00271223392,8,0,1
0.01,48,0.0883332863,0.0881982818,0.00287114526,8,0,1
0.01,49,0.0912787169,0.0913043171,0.00312873651,8,0,1
0.01,50,0.0943918079,0.0945921615,0.00330531294,8,0,1
0.01,51,0.0975684971,0.0979546681,0.00349047338,8,0,1
0.01,52,0.100809805,0.101393089,0.00368454377,8,0,1
0.01,53,0.104116619,0.104908653,0.00388784893,8,0,1
0.01,54,0.107489817,0.108502515,0.0041007367,8,0,1
0.01,55,0.110930435,0.112176001,0.00432354817,8,0,1
0.01,56,0.114439406,0.115930378,0.00455663772,8,0,1
0.01,57,0.118017651,0.119766869,0.00480038719,8,0,1
0.01,58,0.121666186,0.123686813,0.00505515188,8,0,1
0.01,59,0.125385985,0.127691492,0.00532132993,8,0,1
0.01,60,0.129178032,0.131782234,0.00559928128,8,0,1
0.01,61,0.133043289,0.13596034,0.00588942086,8,0,1
0.01,62,0.136982799,0.140227154,0.00619213004,8,0,1
0.01,63,0.140997663,0.144584194,0.00650785584,8,0,1
0.01,64,0.145088807,0.149032623,0.00683699688,8,0,1
0.01,65,0.149257302,0.15357396,0.00717998575,8,0,1
0.01,66,0.153504193,0.158209607,0.00753725879,8,0,1
0.01,67,0.157830581,0.162940949,0.00790926348,8,0,1
0.01,68,0.162237495,0.167769417,0.00829645246,8,0,1
0.01,69,0.166726068,0.172696531,0.00869928859,8,0,1
0.01,70,0.171297356,0.177723721,0.00911824685,8,0,1
0.01,71,0.175952554,0.182852566,0.00955380965,8,0,1
0.01,72,0.180692539,0.188084319,0.0100064436,8,0,1
0.01,73,0.185518757,0.193420827,0.0104766684,8,0,1
0.01,74,0.190432161,0.198863447,0.0109649822,8,0,1
0.01,75,0.195433885,0.204413727,0.0114719002,8,0,1
0.01,76,0.20052515,0.210073248,0.0119979382,8,0,1
0.01,77,0.205707178,0.215843737,0.0125436233,8,0,1
