dt,traj,x,y,z,converged
0.5,0,100.901039,0,0,1
0.5,1,-8826.83008,-75634.3438,210653.938,1
0.5,2,-42150.8516,1035957.75,1602195.5,1
0.5,3,-800848.938,43675424,96373848,1
0.5,4,-8074309,717781504,2.41832371e+09,1
0.5,5,-46688232,4.91821619e+09,2.65229148e+10,1
0.5,6,-188624624,1.68940349e+10,1.63375088e+11,1
0.5,7,-596849856,3.06154353e+10,6.60689256e+11,1
0.5,8,-1.57949594e+09,2.38911734e+10,1.97960715e+12,1
0.5,9,-3.63798349e+09,-1.59289472e+09,5.25839054e+12,1
0.5,10,-7.47794534e+09,1.49341159e+11,1.62446851e+13,1
0.5,11,-1.39301038e+10,2.46669456e+12,6.2458442e+13,1
0.5,12,-2.37215908e+10,2.20692742e+13,2.41899739e+14,1
0.5,13,-3.70284052e+10,1.38724919e+14,8.1786445e+14,1
0.5,14,-5.27962808e+10,6.62738418e+14,2.32154283e+15,1
0.5,15,-6.79221166e+10,2.53061084e+15,5.47733904e+15,1
0.5,16,-7.6599255e+10,7.98042075e+15,1.05369249e+16,1
0.5,17,-7.0553813e+10,2.11514598e+16,1.55321265e+16,1
0.5,18,-4.14505165e+10,4.72209192e+16,1.37549463e+16,1
0.5,19,1.24573194e+10,8.70443413e+16,-6.23765778e+15,1
0.5,20,7.27631135e+10,1.23225721e+17,-4.84668978e+16,1
0.5,21,7.79208704e+10,9.65066267e+16,-6.79172627e+16,1
0.5,22,-1.09926007e+11,-1.16844602e+17,1.1645833e+17,1
0.5,23,-7.41095244e+11,-6.90174375e+17,9.31508931e+17,1
0.5,24,-2.19351089e+12,-1.73675764e+18,3.04868956e+18,1
0.5,25,-4.90298357e+12,-3.07317541e+18,6.95866066e+18,1
0.5,26,-9.07027258e+12,-3.98837865e+18,1.17835849e+19,1
0.5,27,-1.38552394e+13,-3.46634455e+18,1.38197089e+19,1
0.5,28,-1.55059833e+13,-1.39973878e+18,8.12406547e+18,1
0.5,29,-3.38267262e+12,4.18206844e+15,-7.95251506e+16,1
0.5,30,4.79479999e+13,-1.05532184e+18,1.84421701e+19,1
0.5,31,1.93814526e+14,2.04600173e+16,4.91956522e+18,1
0.5,32,5.47367678e+14,-6.43723024e+19,-1.11112655e+21,1
0.5,33,1.32950256e+15,-1.0700526e+21,-9.89371483e+21,1
0.5,34,2.95602359e+15,-8.6732382e+21,-5.58596144e+22,1
0.5,35,6.18815237e+15,-5.01850068e+22,-2.51226117e+23,1
0.5,36,1.23843095e+16,-2.3646784e+23,-9.77386035e+23,1
0.5,37,2.39214259e+16,-9.67139157e+23,-3.42899262e+24,1
0.5,38,4.48796981e+16,-3.55964515e+24,-1.11147755e+25,1
0.5,39,8.21487657e+16,-1.20615131e+25,-3.38121279e+25,1
0.5,40,1.47219024e+17,-3.82263207e+25,-9.76248367e+25,1
0.5,41,2.58940486e+17,-1.14535917e+26,-2.69579297e+26,1
0.5,42,4.47964264e+17,-3.27204878e+26,-7.16393842e+26,1
0.5,43,7.63459162e+17,-8.96752012e+26,-1.84047667e+27,1
0.5,44,1.28364148e+18,-2.3697812e+27,-4.58866242e+27,1
0.5,45,2.13169837e+18,-6.06301504e+27,-1.11367758e+28,1
0.5,46,3.49993463e+18,-1.50677445e+28,-2.63786717e+28,1
0.5,47,5.68598584e+18,-3.64721444e+28,-6.11048817e+28,1
0.5,48,9.14712695e+18,-8.61866451e+28,-1.38682294e+29,1
0.5,49,1.45798452e+19,-1.99203491e+29,-3.08833153e+29,1
0.5,50,2.30408225e+19,-4.51185283e+29,-6.75846579e+29,1
0.5,51,3.61174594e+19,-1.00279868e+30,-1.4550208e+30,1
0.5,52,5.61817281e+19,-2.18985639e+30,-3.0847598e+30,1
0.5,53,8.67633158e+19,-4.70451035e+30,-6.44703094e+30,1
0.5,54,1.33074957e+20,-9.95284811e+30,-1.32935164e+31,1
0.5,55,2.02768187e+20,-2.07524424e+31,-2.70613064e+31,1
0.5,56,3.07039695e+20,-4.26842596e+31,-5.44262998e+31,1
0.5,57,4.62175262e+20,-8.66711223e+31,-1.08216975e+32,1
0.5,58,6.91749103e+20,-1.73853765e+32,-2.12840172e+32,1
0.5,59,1.02967776e+21,-3.44683939e+32,-4.14254351e+32,1
0.5,60,1.52466466e+21,-6.75857233e+32,-7.98297317e+32,1
0.5,61,2.24626123e+21,-1.31135545e+33,-1.52385668e+33,1
0.5,62,3.29334448e+21,-2.51891366e+33,-2.8825081e+33,1
0.5,63,4.80607207e+21,-4.79225375e+33,-5.40530734e+33,1
0.5,64,6.98217257e+21,-9.03391448e+33,-1.00517797e+34,1
0.5,65,1.00990047e+22,-1.68785325e+34,-1.85408941e+34,1
0.5,66,1.45464714e+22,-3.1271071e+34,-3.39378266e+34,1
0.5,67,2.08669853e+22,-5.74634435e+34,-6.1656282e+34,1
0.5,68,2.98157548e+22,-1.04766737e+35,-1.11207412e+35,1
0.5,69,4.24395945e+22,-1.89568908e+35,-1.99188831e+35,1
0.5,70,6.01869836e+22,-3.40540073e+35,-3.54405199e+35,1
0.5,71,8.50477318e+22,-6.07426001e+35,-6.26459497e+35,1
0.5,72,1.19753822e+23,-1.07605163e+36,-1.10032595e+36,1
0.5,73,1.6806189e+23,-1.89392561e+36,-1.92107822e+36,1
0.5,74,2.35070823e+23,-3.31204365e+36,-3.33402883e+36,1
0.5,75,3.27742834e+23,-5.75637666e+36,-5.75306365e+36,1
0.5,76,4.55521196e+23,-9.94497312e+36,-9.87200906e+36,1
0.5,77,6.31196421e+23,-1.70822827e+37,-1.68486598e+37,1
0.5,78,8.72018305e+23,-2.91764566e+37,-2.86040744e+37,1
0.5,79,1.20124643e+24,-4.95621468e+37,-4.83137037e+37,1
0.5,80,1.65005131e+24,-8.37405423e+37,-8.1193888e+37,1
0.5,81,2.26039182e+24,-1.40769455e+38,-1.35799281e+38,1
0.5,82,3.08809103e+24,-Inf,-Inf,1
0.5,83,4.20778216e+24,-Inf,-Inf,1
0.5,84,5.71867917e+24,-Inf,-Inf,1
0.5,85,7.75266905e+24,-Inf,-Inf,1
0.5,86,1.04841816e+25,-Inf,-Inf,1
0.5,87,1.4144139e+25,-Inf,-Inf,1
0.5,88,1.90362743e+25,-Inf,-Inf,1
0.5,89,2.55620522e+25,-Inf,-Inf,1
0.5,90,3.42472243e+25,-Inf,-Inf,1
0.5,91,4.57817659e+25,-Inf,-Inf,1
0.5,92,6.10679094e+25,-Inf,-Inf,1
0.5,93,8.12857715e+25,-Inf,-Inf,1
0.5,94,1.07970868e+26,-Inf,-Inf,1
0.5,95,1.43124063e+26,-Inf,-Inf,1
0.5,96,1.89340167e+26,-Inf,-Inf,1
0.5,97,2.49985443e+26,-Inf,-Inf,1
0.5,98,3.29421882e+26,-Inf,-Inf,1
0.5,99,4.33269008e+26,-Inf,-Inf,1
0.5,100,5.68796536e+26,-Inf,-Inf,1
0.5,101,7.45352795e+26,-Inf,-Inf,1
0.5,102,9.74953147e+26,-Inf,-Inf,1
0.5,103,1.27300671e+27,-Inf,-Inf,1
0.5,104,1.65932418e+27,-Inf,-Inf,1
0.5,105,2.15913753e+27,-Inf,-Inf,1
0.5,106,2.80479674e+27,-Inf,-Inf,1
0.5,107,3.63751317e+27,-Inf,-Inf,1
0.5,108,4.70972176e+27,-Inf,-Inf,1
0.5,109,6.08827203e+27,-Inf,-Inf,1
0.5,110,7.857898e+27,-Inf,-Inf,1
0.5,111,1.01261291e+28,-Inf,-Inf,1
0.5,112,1.30293161e+28,-Inf,-Inf,1
0.5,113,1.6739435e+28,-Inf,-Inf,1
0.5,114,2.14741729e+28,-Inf,-Inf,1
0.5,115,2.75079123e+28,-Inf,-Inf,1
0.5,116,3.51866384e+28,-Inf,-Inf,1
0.5,117,4.49450097e+28,-Inf,-Inf,1
0.5,118,5.73293733e+28,-Inf,-Inf,1
0.5,119,7.30253955e+28,-Inf,-Inf,1
0.5,120,9.28933689e+28,-Inf,-Inf,1
0.5,121,1.18007698e+29,-Inf,-Inf,1
0.5,122,1.49715045e+29,-Inf,-Inf,1
0.5,123,1.89695308e+29,-Inf,-Inf,1
0.5,124,2.40042252e+29,-Inf,-Inf,1
0.5,125,3.03369092e+29,-Inf,-Inf,1
0.5,126,3.82922153e+29,-Inf,-Inf,1
0.5,127,4.82742516e+29,-Inf,-Inf,1
0.5,128,6.07843633e+29,-Inf,-Inf,1
0.5,129,7.64446561e+29,-Inf,-Inf,1
0.5,130,9.60255596e+29,-Inf,-Inf,1
0.5,131,1.2048259e+30,-Inf,-Inf,1
0.5,132,1.50993475e+30,-Inf,-Inf,1
0.5,133,1.89014827e+30,-Inf,-Inf,1
0.5,134,2.36344167e+30,-Inf,-Inf,1
0.5,135,2.95194993e+30,-Inf,-Inf,1
0.5,136,3.68294143e+30,-Inf,-Inf,1
0.5,137,4.59002749e+30,-Inf,-Inf,1
0.5,138,5.71441826e+30,-Inf,-Inf,1
0.5,139,7.10657553e+30,-Inf,-Inf,1
0.5,140,8.82878889e+30,-Inf,-Inf,1
0.5,141,1.09570508e+31,-Inf,-Inf,1
0.5,142,1.35842896e+31,-Inf,-Inf,1
0.5,143,1.68247814e+31,-Inf,-Inf,1
0.5,144,2.08172771e+31,-Inf,-Inf,1
0.5,145,2.57316137e+31,-Inf,-Inf,1
0.5,146,3.17755078e+31,-Inf,-Inf,1
0.5,147,3.92009575e+31,-Inf,-Inf,1
0.5,148,4.83156779e+31,-Inf,-Inf,1
0.5,149,5.9493053e+31,-Inf,-Inf,1
0.5,150,7.31887608e+31,-Inf,-Inf,1
0.5,151,8.99538298e+31,-Inf,-Inf,1
0.5,152,1.10458894e+32,-Inf,-Inf,1
0.5,153,1.35515594e+32,-Inf,-Inf,1
0.5,154,1.66106814e+32,-Inf,-Inf,1
0.5,155,2.03423975e+32,-Inf,-Inf,1
0.5,156,2.48907652e+32,-Inf,-Inf,1
0.5,157,3.04298157e+32,-Inf,-Inf,1
0.5,158,3.71697222e+32,-Inf,-Inf,1
0.5,159,4.53640226e+32,-Inf,-Inf,1
0.5,160,5.53179348e+32,-Inf,-Inf,1
0.5,161,6.74005429e+32,-Inf,-Inf,1
0.5,162,8.20547742e+32,-Inf,-Inf,1
0.5,163,9.98141228e+32,-Inf,-Inf,1
0.5,164,1.21318967e+33,-Inf,-Inf,1
0.5,165,1.47339747e+33,-Inf,-Inf,1
0.5,166,1.78801653e+33,-Inf,-Inf,1
0.5,167,2.16810095e+33,-Inf,-Inf,1
0.5,168,2.62696076e+33,-Inf,-Inf,1
0.5,169,3.18048646e+33,-Inf,-Inf,1
0.5,170,3.84773707e+33,-Inf,-Inf,1
0.5,171,4.65144612e+33,-Inf,-Inf,1
0.5,172,5.61884891e+33,-Inf,-Inf,1
0.5,173,6.78249459e+33,-Inf,-Inf,1
0.5,174,8.18110873e+33,-Inf,-Inf,1
0.5,175,9.86103854e+33,-Inf,-Inf,1
0.5,176,1.18772857e+34,-Inf,-Inf,1
0.5,177,1.42958764e+34,-Inf,-Inf,1
0.5,178,1.71946343e+34,-Inf,-Inf,1
0.5,179,2.0666712e+34,-Inf,-Inf,1
0.5,180,2.48229682e+34,-Inf,-Inf,1
0.5,181,2.97942704e+34,-Inf,-Inf,1
0.5,182,3.57372269e+34,-Inf,-Inf,1
0.5,183,4.28367016e+34,-Inf,-Inf,1
0.5,184,5.13120848e+34,-Inf,-Inf,1
0.5,185,6.14242772e+34,-Inf,-Inf,1
0.5,186,7.34802138e+34,-Inf,-Inf,1
0.5,187,8.7846087e+34,-Inf,-Inf,1
0.5,188,1.04952497e+35,-Inf,-Inf,1
0.5,189,1.25311223e+35,-Inf,-Inf,1
0.5,190,1.49521884e+35,-Inf,-Inf,1
0.5,191,1.78300524e+35,-Inf,-Inf,1
0.5,192,2.12485515e+35,-Inf,-Inf,1
0.5,193,2.53065486e+35,-Inf,-Inf,1
0.5,194,3.01214164e+35,-Inf,-Inf,1
0.5,195,3.58305285e+35,-Inf,-Inf,1
0.5,196,4.25961659e+35,-Inf,-Inf,1
0.5,197,5.06087794e+35,-Inf,-Inf,1
0.5,198,6.00932857e+35,-Inf,-Inf,1
0.5,199,7.13128809e+35,-Inf,-Inf,1
0.5,200,8.45785037e+35,-Inf,-Inf,1
0.5,201,1.00253431e+36,-Inf,-Inf,1
0.5,202,1.18765614e+36,-Inf,-Inf,1
0.5,203,1.40615094e+36,-Inf,-Inf,1
0.5,204,1.66391691e+36,-Inf,-Inf,1
0.5,205,1.96782632e+36,-Inf,-Inf,1
0.5,206,2.32595821e+36,-Inf,-Inf,1
0.5,207,2.74773155e+36,-Inf,-Inf,1
0.5,208,3.24422371e+36,-Inf,-Inf,1
0.5,209,3.82835837e+36,-Inf,-Inf,1
0.5,210,4.51521076e+36,-Inf,-Inf,1
0.5,211,5.32248838e+36,-Inf,-Inf,1
0.5,212,6.27071765e+36,-Inf,-Inf,1
0.5,213,7.38402672e+36,-Inf,-Inf,1
0.5,214,8.69042686e+36,-Inf,-Inf,1
0.5,215,1.02226558e+37,-Inf,-Inf,1
0.5,216,1.20188679e+37,-Inf,-Inf,1
0.5,217,1.41234011e+37,-Inf,-Inf,1
0.5,218,1.65881119e+37,-Inf,-Inf,1
0.5,219,1.94731212e+37,NaN,-Inf,1
0.5,220,2.28484488e+37,NaN,-Inf,1
0.5,221,2.67955274e+37,NaN,-Inf,1
0.5,222,3.14088958e+37,NaN,-Inf,1
0.5,223,3.67986242e+37,NaN,-Inf,1
0.5,224,4.30923472e+37,NaN,-Inf,1
0.5,225,5.04381289e+37,NaN,-Inf,1
0.5,226,Inf,NaN,-Inf,1
0.5,227,Inf,NaN,NaN,1
0.5,228,Inf,NaN,NaN,1
0.5,229,Inf,NaN,NaN,1
0.5,230,Inf,NaN,NaN,1
0.5,231,Inf,NaN,NaN,1
0.5,232,Inf,NaN,NaN,1
0.5,233,Inf,NaN,NaN,1
0.5,234,Inf,NaN,NaN,1
0.5,235,Inf,NaN,NaN,1
0.5,236,Inf,NaN,NaN,1
0.5,237,Inf,NaN,NaN,1
0.5,238,Inf,NaN,NaN,1
0.5,239,Inf,NaN,NaN,1
0.5,240,Inf,NaN,NaN,1
0.5,241,Inf,NaN,NaN,1
0.5,242,Inf,NaN,NaN,1
0.5,243,Inf,NaN,NaN,1
0.5,244,Inf,NaN,NaN,1
0.5,245,Inf,NaN,NaN,1
0.5,246,Inf,NaN,NaN,1
0.5,247,Inf,NaN,NaN,1
0.5,248,Inf,NaN,NaN,1
0.5,249,Inf,NaN,NaN,1
0.5,250,Inf,NaN,NaN,1
0.5,251,Inf,NaN,NaN,1
0.5,252,Inf,NaN,NaN,1
0.5,253,Inf,NaN,NaN,1
0.5,254,Inf,NaN,NaN,1
0.5,255,Inf,NaN,NaN,1
0.5,256,Inf,NaN,NaN,1
0.5,257,Inf,NaN,NaN,1
0.5,258,Inf,NaN,NaN,1
0.5,259,Inf,NaN,NaN,1
0.5,260,Inf,NaN,NaN,1
0.5,261,Inf,NaN,NaN,1
0.5,262,Inf,NaN,NaN,1
0.5,263,Inf,NaN,NaN,1
0.5,264,Inf,NaN,NaN,1
0.5,265,Inf,NaN,NaN,1
0.5,266,Inf,NaN,NaN,1
0.5,267,Inf,NaN,NaN,1
0.5,268,Inf,NaN,NaN,1
0.5,269,Inf,NaN,NaN,1
0.5,270,Inf,NaN,NaN,1
0.5,271,Inf,NaN,NaN,1
0.5,272,Inf,NaN,NaN,1
0.5,273,Inf,NaN,NaN,1
0.5,274,Inf,NaN,NaN,1
0.5,275,Inf,NaN,NaN,1
0.5,276,Inf,NaN,NaN,1
0.5,277,Inf,NaN,NaN,1
0.5,278,Inf,NaN,NaN,1
0.5,279,Inf,NaN,NaN,1
0.5,280,Inf,NaN,NaN,1
0.5,281,Inf,NaN,NaN,1
0.5,282,Inf,NaN,NaN,1
0.5,283,Inf,NaN,NaN,1
0.5,284,Inf,NaN,NaN,1
0.5,285,Inf,NaN,NaN,1
0.5,286,Inf,NaN,NaN,1
0.5,287,Inf,NaN,NaN,1
0.5,288,Inf,NaN,NaN,1
0.5,289,Inf,NaN,NaN,1
0.5,290,Inf,NaN,NaN,1
0.5,291,Inf,NaN,NaN,1
0.5,292,Inf,NaN,NaN,1
0.5,293,Inf,NaN,NaN,1
0.5,294,Inf,NaN,NaN,1
0.5,295,Inf,NaN,NaN,1
0.5,296,Inf,NaN,NaN,1
0.5,297,Inf,NaN,NaN,1
0.5,298,Inf,NaN,NaN,1
0.5,299,Inf,NaN,NaN,1
0.5,300,Inf,NaN,NaN,1
0.5,301,Inf,NaN,NaN,1
0.5,302,Inf,NaN,NaN,1
0.5,303,Inf,NaN,NaN,1
0.5,304,Inf,NaN,NaN,1
0.5,305,Inf,NaN,NaN,1
0.5,306,Inf,NaN,NaN,1
0.5,307,Inf,NaN,NaN,1
0.5,308,Inf,NaN,NaN,1
0.5,309,Inf,NaN,NaN,1
0.5,310,Inf,NaN,NaN,1
0.5,311,Inf,NaN,NaN,1
0.5,312,Inf,NaN,NaN,1
0.5,313,Inf,NaN,NaN,1
0.5,314,Inf,NaN,NaN,1
0.5,315,Inf,NaN,NaN,1
0.5,316,Inf,NaN,NaN,1
0.5,317,Inf,NaN,NaN,1
0.5,318,Inf,NaN,NaN,1
0.5,319,Inf,NaN,NaN,1
0.5,320,Inf,NaN,NaN,1
0.5,321,Inf,NaN,NaN,1
0.5,322,Inf,NaN,NaN,1
0.5,323,Inf,NaN,NaN,1
0.5,324,Inf,NaN,NaN,1
0.5,325,Inf,NaN,NaN,1
0.5,326,Inf,NaN,NaN,1
0.5,327,Inf,NaN,NaN,1
0.5,328,Inf,NaN,NaN,1
0.5,329,Inf,NaN,NaN,1
0.5,330,Inf,NaN,NaN,1
0.5,331,Inf,NaN,NaN,1
0.5,332,Inf,NaN,NaN,1
0.5,333,Inf,NaN,NaN,1
0.5,334,Inf,NaN,NaN,1
0.5,335,Inf,NaN,NaN,1
0.5,336,Inf,NaN,NaN,1
0.5,337,Inf,NaN,NaN,1
0.5,338,Inf,NaN,NaN,1
0.5,339,Inf,NaN,NaN,1
0.5,340,Inf,NaN,NaN,1
0.5,341,Inf,NaN,NaN,1
0.5,342,Inf,NaN,NaN,1
0.5,343,Inf,NaN,NaN,1
0.5,344,Inf,NaN,NaN,1
0.5,345,Inf,NaN,NaN,1
0.5,346,Inf,NaN,NaN,1
0.5,347,Inf,NaN,NaN,1
0.5,348,Inf,NaN,NaN,1
0.5,349,Inf,NaN,NaN,1
0.5,350,Inf,NaN,NaN,1
0.5,351,Inf,NaN,NaN,1
0.5,352,Inf,NaN,NaN,1
0.5,353,Inf,NaN,NaN,1
0.5,354,Inf,NaN,NaN,1
0.5,355,Inf,NaN,NaN,1
0.5,356,Inf,NaN,NaN,1
0.5,357,Inf,NaN,NaN,1
0.5,358,Inf,NaN,NaN,1
0.5,359,Inf,NaN,NaN,1
0.5,360,Inf,NaN,NaN,1
0.5,361,Inf,NaN,NaN,1
0.5,362,Inf,NaN,NaN,1
0.5,363,Inf,NaN,NaN,1
0.5,364,Inf,NaN,NaN,1
0.5,365,Inf,NaN,NaN,1
0.5,366,Inf,NaN,NaN,1
0.5,367,Inf,NaN,NaN,1
0.5,368,Inf,NaN,NaN,1
0.5,369,Inf,NaN,NaN,1
0.5,370,Inf,NaN,NaN,1
0.5,371,Inf,NaN,NaN,1
0.5,372,Inf,NaN,NaN,1
0.5,373,Inf,NaN,NaN,1
0.5,374,Inf,NaN,NaN,1
0.5,375,Inf,NaN,NaN,1
0.5,376,Inf,NaN,NaN,1
0.5,377,Inf,NaN,NaN,1
0.5,378,Inf,NaN,NaN,1
0.5,379,Inf,NaN,NaN,1
0.5,380,Inf,NaN,NaN,1
0.5,381,Inf,NaN,NaN,1
0.5,382,Inf,NaN,NaN,1
0.5,383,Inf,NaN,NaN,1
0.5,384,Inf,NaN,NaN,1
0.5,385,Inf,NaN,NaN,1
0.5,386,Inf,NaN,NaN,1
0.5,387,Inf,NaN,NaN,1
0.5,388,Inf,NaN,NaN,1
0.5,389,Inf,NaN,NaN,1
0.5,390,Inf,NaN,NaN,1
0.5,391,Inf,NaN,NaN,1
0.5,392,Inf,NaN,NaN,1
0.5,393,Inf,NaN,NaN,1
0.5,394,Inf,NaN,NaN,1
0.5,395,Inf,NaN,NaN,1
0.5,396,Inf,NaN,NaN,1
0.5,397,Inf,NaN,NaN,1
0.5,398,Inf,NaN,NaN,1
0.5,399,Inf,NaN,NaN,1
0.5,400,Inf,NaN,NaN,1
0.5,401,Inf,NaN,NaN,1
0.5,402,Inf,NaN,NaN,1
0.5,403,Inf,NaN,NaN,1
0.5,404,Inf,NaN,NaN,1
0.5,405,Inf,NaN,NaN,1
0.5,406,Inf,NaN,NaN,1
0.5,407,Inf,NaN,NaN,1
0.5,408,Inf,NaN,NaN,1
0.5,409,Inf,NaN,NaN,1
0.5,410,Inf,NaN,NaN,1
0.5,411,Inf,NaN,NaN,1
0.5,412,Inf,NaN,NaN,1
0.5,413,Inf,NaN,NaN,1
0.5,414,Inf,NaN,NaN,1
0.5,415,Inf,NaN,NaN,1
0.5,416,Inf,NaN,NaN,1
0.5,417,Inf,NaN,NaN,1
0.5,418,Inf,NaN,NaN,1
0.5,419,Inf,NaN,NaN,1
0.5,420,Inf,NaN,NaN,1
0.5,421,Inf,NaN,NaN,1
0.5,422,Inf,NaN,NaN,1
0.5,423,Inf,NaN,NaN,1
0.5,424,Inf,NaN,NaN,1
0.5,425,Inf,NaN,NaN,1
0.5,426,Inf,NaN,NaN,1
0.5,427,Inf,NaN,NaN,1
0.5,428,Inf,NaN,NaN,1
0.5,429,Inf,NaN,NaN,1
0.5,430,Inf,NaN,NaN,1
0.5,431,Inf,NaN,NaN,1
0.5,432,Inf,NaN,NaN,1
0.5,433,Inf,NaN,NaN,1
0.5,434,Inf,NaN,NaN,1
0.5,435,Inf,NaN,NaN,1
0.5,436,Inf,NaN,NaN,1
0.5,437,Inf,NaN,NaN,1
0.5,438,Inf,NaN,NaN,1
0.5,439,Inf,NaN,NaN,1
0.5,440,Inf,NaN,NaN,1
0.5,441,Inf,NaN,NaN,1
0.5,442,Inf,NaN,NaN,1
0.5,443,Inf,NaN,NaN,1
0.5,444,Inf,NaN,NaN,1
0.5,445,Inf,NaN,NaN,1
0.5,446,Inf,NaN,NaN,1
0.5,447,Inf,NaN,NaN,1
0.5,448,Inf,NaN,NaN,1
0.5,449,Inf,NaN,NaN,1
0.5,450,Inf,NaN,NaN,1
0.5,451,Inf,NaN,NaN,1
0.5,452,Inf,NaN,NaN,1
0.5,453,Inf,NaN,NaN,1
0.5,454,Inf,NaN,NaN,1
0.5,455,Inf,NaN,NaN,1
0.5,456,Inf,NaN,NaN,1
0.5,457,Inf,NaN,NaN,1
0.5,458,Inf,NaN,NaN,1
0.5,459,Inf,NaN,NaN,1
0.5,460,Inf,NaN,NaN,1
0.5,461,Inf,NaN,NaN,1
0.5,462,Inf,NaN,NaN,1
0.5,463,Inf,NaN,NaN,1
0.5,464,Inf,NaN,NaN,1
0.5,465,Inf,NaN,NaN,1
0.5,466,Inf,NaN,NaN,1
0.5,467,Inf,NaN,NaN,1
0.5,468,Inf,NaN,NaN,1
0.5,469,Inf,NaN,NaN,1
0.5,470,Inf,NaN,NaN,1
0.5,471,Inf,NaN,NaN,1
0.5,472,Inf,NaN,NaN,1
0.5,473,Inf,NaN,NaN,1
0.5,474,Inf,NaN,NaN,1
0.5,475,Inf,NaN,NaN,1
0.5,476,Inf,NaN,NaN,1
0.5,477,Inf,NaN,NaN,1
0.5,478,Inf,NaN,NaN,1
0.5,479,Inf,NaN,NaN,1
0.5,480,Inf,NaN,NaN,1
0.5,481,Inf,NaN,NaN,1
0.5,482,Inf,NaN,NaN,1
0.5,483,Inf,NaN,NaN,1
0.5,484,Inf,NaN,NaN,1
0.5,485,Inf,NaN,NaN,1
0.5,486,Inf,NaN,NaN,1
0.5,487,Inf,NaN,NaN,1
0.5,488,Inf,NaN,NaN,1
0.5,489,Inf,NaN,NaN,1
0.5,490,Inf,NaN,NaN,1
0.5,491,Inf,NaN,NaN,1
0.5,492,Inf,NaN,NaN,1
0.5,493,Inf,NaN,NaN,1
0.5,494,Inf,NaN,NaN,1
0.5,495,Inf,NaN,NaN,1
0.5,496,Inf,NaN,NaN,1
0.5,497,Inf,NaN,NaN,1
0.5,498,Inf,NaN,NaN,1
0.5,499,Inf,NaN,NaN,1
0.5,500,Inf,NaN,NaN,1
0.5,501,Inf,NaN,NaN,1
0.5,502,Inf,NaN,NaN,1
0.5,503,Inf,NaN,NaN,1
0.5,504,Inf,NaN,NaN,1
0.5,505,Inf,NaN,NaN,1
0.5,506,Inf,NaN,NaN,1
0.5,507,Inf,NaN,NaN,1
0.5,508,Inf,NaN,NaN,1
0.5,509,Inf,NaN,NaN,1
0.5,510,Inf,NaN,NaN,1
0.5,511,Inf,NaN,NaN,1
0.5,512,Inf,NaN,NaN,1
0.5,513,Inf,NaN,NaN,1
0.5,514,Inf,NaN,NaN,1
0.5,515,Inf,NaN,NaN,1
0.5,516,Inf,NaN,NaN,1
0.5,517,Inf,NaN,NaN,1
0.5,518,Inf,NaN,NaN,1
0.5,519,Inf,NaN,NaN,1
0.5,520,Inf,NaN,NaN,1
0.5,521,Inf,NaN,NaN,1
0.5,522,Inf,NaN,NaN,1
0.5,523,Inf,NaN,NaN,1
0.5,524,Inf,NaN,NaN,1
0.5,525,Inf,NaN,NaN,1
0.5,526,Inf,NaN,NaN,1
0.5,527,Inf,NaN,NaN,1
0.5,528,Inf,NaN,NaN,1
0.5,529,Inf,NaN,NaN,1
0.5,530,Inf,NaN,NaN,1
0.5,531,Inf,NaN,NaN,1
0.5,532,Inf,NaN,NaN,1
0.5,533,Inf,NaN,NaN,1
0.5,534,Inf,NaN,NaN,1
0.5,535,Inf,NaN,NaN,1
0.5,536,Inf,NaN,NaN,1
0.5,537,Inf,NaN,NaN,1
0.5,538,Inf,NaN,NaN,1
0.5,539,Inf,NaN,NaN,1
0.5,540,Inf,NaN,NaN,1
0.5,541,Inf,NaN,NaN,1
0.5,542,Inf,NaN,NaN,1
0.5,543,Inf,NaN,NaN,1
0.5,544,Inf,NaN,NaN,1
0.5,545,Inf,NaN,NaN,1
0.5,546,Inf,NaN,NaN,1
0.5,547,Inf,NaN,NaN,1
