dt,traj,x,y,z,converged
0.5,0,51.8099899,0,0,1
0.5,1,39.0898323,-132.4422,50.9506149,1
0.5,2,24.5600414,-333.956696,119.549934,1
0.5,3,8.13598347,-631.47937,210.447357,1
0.5,4,-10.2490482,-1061.18982,329.308411,1
0.5,5,-30.6364574,-1671.47717,482.982361,1
0.5,6,-53.0343056,-2526.83301,679.682861,1
0.5,7,-77.4060669,-3712.91992,929.161072,1
0.5,8,-103.658508,-5343.30029,1242.8833,1
0.5,9,-131.624146,-7568.09131,1634.14355,1
0.5,10,-161.04245,-10585.5059,2118.13599,1
0.5,11,-191.534958,-14656.8779,2711.88647,1
0.5,12,-222.574829,-20126.3359,3433.98071,1
0.5,13,-253.450134,-27446.8164,4303.98633,1
0.5,14,-283.216797,-37214.0625,5341.37646,1
0.5,15,-310.646393,-50211.4531,6563.77002,1
0.5,16,-334.152893,-67469.2422,7984.07275,1
0.5,17,-351.711975,-90342.1328,9606.10547,1
0.5,18,-360.754944,-120612.867,11418.0352,1
0.5,19,-358.049042,-160627.359,13382.6357,1
0.5,20,-339.531281,-213476.016,15422.9229,1
0.5,21,-300.129761,-283233.375,17401.6523,1
0.5,22,-233.522491,-375273.75,19091.3418,1
0.5,23,-131.86293,-496697.062,20132.1289,1
0.5,24,14.5848541,-656892.562,19970.916,1
0.5,25,217.849289,-868288.688,17776.3516,1
0.5,26,492.806732,-1147366.38,12317.1455,1
0.5,27,857.782715,-1516000.38,1792.91077,1
0.5,28,1335.38672,-2003289,-16406.832,1
0.5,29,1953.3988,-2647957,-46035.707,1
0.5,30,2746.05688,-3501695.25,-92466.2344,1
0.5,31,3755.37329,-4633530,-163343.203,1
0.5,32,5032.96777,-6135849,-269508.938,1
0.5,33,6642.21826,-8132505,-426292.188,1
0.5,34,8660.91113,-10789873,-655312.688,1
0.5,35,11184.4014,-14331725,-986989.438,1
0.5,36,14329.7188,-19059830,-1464078.38,1
0.5,37,18240.1152,-25381326,-2146540.5,1
0.5,38,23091.3008,-33847372,-3118455.25,1
0.5,39,29098.6465,-45204916,-4497604,1
0.5,40,36525.7227,-60468032,-6448816.5,1
0.5,41,45695.0234,-81015416,-9202621,1
0.5,42,57002.5156,-108728536,-13081818,1
0.5,43,70931.25,-146172192,-18537296,1
0.5,44,88074.2969,-196859680,-26200314,1
0.5,45,109155.18,-265598336,-36952648,1
0.5,46,135060.859,-358993984,-52028436,1
0.5,47,166876.031,-486127904,-73153744,1
0.5,48,205926.156,-659507392,-102742784,1
0.5,49,253832.297,-896392320,-144174064,1
0.5,50,312579.062,-1.22065139e+09,-202179104,1
0.5,51,384587.656,-1.6653033e+09,-283378080,1
0.5,52,472825,-2.27619328e+09,-397053536,1
0.5,53,580905.875,-3.11692595e+09,-556197760,1
0.5,54,713259.562,-4.27605888e+09,-779038656,1
0.5,55,875288.5,-5.87693978e+09,-1.09112499e+09,1
0.5,56,1073594.5,-8.09168282e+09,-1.52829824e+09,1
0.5,57,1316253,-1.11609057e+10,-2.14088486e+09,1
0.5,58,1613117.38,-1.54212844e+10,-2.99952333e+09,1
0.5,59,1976220.38,-2.13445407e+10,-4.2034263e+09,1
0.5,60,2420272.75,-2.95928279e+10,-5.89205453e+09,1
0.5,61,2963234.75,-4.10964623e+10,-8.26145792e+09,1
0.5,62,3627047.75,-5.7164288e+10,-1.15873946e+10,1
0.5,63,4438503,-7.96396339e+10,-1.62578432e+10,1
0.5,64,5430371,-1.11123448e+11,-2.28192768e+10,1
0.5,65,6642635,-1.55286209e+11,-3.20410563e+10,1
0.5,66,8124209,-2.17317507e+11,-4.50076959e+10,1
0.5,67,9934793,-3.04556704e+11,-6.32474583e+10,1
0.5,68,12147447,-4.27402789e+11,-8.8916738e+10,1
0.5,69,14851513,-6.00597725e+11,-1.25058671e+11,1
0.5,70,18156214,-8.45058802e+11,-1.75969468e+11,1
0.5,71,22195308,-1.19050391e+12,-2.47720067e+11,1
0.5,72,27132194,-1.67914478e+12,-3.4888473e+11,1
0.5,73,33167238,-2.37105971e+12,-4.91593925e+11,1
0.5,74,40545716,-3.35175903e+12,-6.93006631e+11,1
0.5,75,49568468,-4.74309827e+12,-9.77419436e+11,1
0.5,76,60603988,-6.7187308e+12,-1.37923422e+12,1
0.5,77,74104864,-9.52649646e+12,-1.94722687e+12,1
0.5,78,90625584,-1.35198923e+13,-2.75051001e+12,1
0.5,79,110848000,-1.92039396e+13,-3.8871774e+12,1
0.5,80,135610352,-2.73003535e+13,-5.49650694e+12,1
0.5,81,165942112,-3.88403749e+13,-7.77624538e+12,1
0.5,82,203111536,-5.52994823e+13,-1.10075681e+13,1
0.5,83,248678976,-7.87879119e+13,-1.55902238e+13,1
0.5,84,304568416,-1.12327068e+14,-2.20932258e+13,1
0.5,85,373150528,-1.60241119e+14,-3.13265456e+13,1
0.5,86,457352416,-2.28724742e+14,-4.44444726e+13,1
0.5,87,560790144,-3.26654207e+14,-6.30929647e+13,1
0.5,88,687927488,-4.66743693e+14,-8.9619207e+13,1
0.5,89,844293504,-6.67225921e+14,-1.27375476e+14,1
0.5,90,1.03671853e+09,-9.5422295e+14,-1.8114699e+14,1
0.5,91,1.27367424e+09,-1.36520649e+15,-2.57775985e+14,1
0.5,92,1.56566758e+09,-1.95392598e+15,-3.67050422e+14,1
0.5,93,1.92571302e+09,-2.79743702e+15,-5.22969646e+14,1
