tol,traj,x,y,z,naccept,nreject
0.01,0,4.44174329e-05,0,0,9,0
0.01,1,0.000988487503,0.000852819707,1.03412021e-05,8,0
0.01,2,0.00196153997,0.00173596072,2.16735825e-05,9,0
0.01,3,0.00296401256,0.00265006209,3.40496699e-05,8,0
0.01,4,0.0039961203,0.00359577453,4.7523532e-05,9,0
0.01,5,0.00505876075,0.00457375543,6.2151681e-05,9,0
0.01,6,0.00615256559,0.00558467256,7.79923794e-05,9,0
0.01,7,0.00727748452,0.00662921183,9.51072143e-05,9,0
0.01,8,0.00843395479,0.00770806754,0.000113561546,8,0
0.01,9,0.00962467492,0.00882189814,0.000133413501,8,0
0.01,10,0.0108478041,0.00997145846,0.000154739042,8,0
0.01,11,0.0121044135,0.0111574605,0.000177606591,8,0
0.01,12,0.0133958748,0.0123806158,0.000202090334,8,0
0.01,13,0.0147218928,0.0136416908,0.000228264937,9,0
0.01,14,0.0160841625,0.014941399,0.000256210624,8,0
0.01,15,0.0174779296,0.0162806679,0.000286054536,8,0
0.01,16,0.0189169794,0.0176598839,0.000317748869,9,0
0.01,17,0.0203892663,0.0190802012,0.000351514696,9,0
0.01,18,0.0218997803,0.0205422863,0.000387399283,9,0
0.01,19,0.0234492738,0.0220469404,0.000425497012,9,0
0.01,20,0.0250376109,0.0235950202,0.000465911435,8,0
0.01,21,0.0266662277,0.025187321,0.000508735538,9,0
0.01,22,0.0283361059,0.0268246643,0.000554080412,8,0
0.01,23,0.0300465673,0.0285079759,0.000602058135,9,0
0.01,24,0.0317994058,0.0302380584,0.000652778137,9,0
0.01,25,0.0335951149,0.0320158042,0.000706359278,9,0
0.01,26,0.035433989,0.033842124,0.0007629256,8,0
0.01,27,0.0373170525,0.0357179008,0.00082259893,8,0
0.01,28,0.0392452516,0.0376440473,0.000885510584,9,0
0.01,29,0.0412137546,0.0396217443,0.000951944967,8,0
0.01,30,0.0432395749,0.0416511483,0.00102159393,9,0
0.01,31,0.045307111,0.0437339991,0.00109504932,9,0
0.01,32,0.0474211648,0.045871079,0.00117233547,8,0
0.01,33,0.0495857745,0.0480631962,0.0012535447,8,0
0.01,34,0.0517992377,0.0503114574,0.00133888714,9,0
0.01,35,0.0540622436,0.0526168868,0.00142852403,9,0
0.01,36,0.0563771687,0.0549803898,0.0015226095,9,0
0.01,37,0.0587432459,0.05740311,0.00162133353,8,0
0.01,38,0.0611621886,0.0598860271,0.00172487041,9,0
0.01,39,0.0636336431,0.0624303035,0.00183342141,9,0
0.01,40,0.0661606938,0.0650368109,0.00194715417,9,0
0.01,41,0.0687420368,0.067706801,0.00206629443,9,0
0.01,42,0.0713787973,0.0704413652,0.00219105836,8,0
0.01,43,0.074073635,0.0732414722,0.00232160697,9,0
0.01,44,0.0768235698,0.0761085078,0.0024582753,8,0
0.01,45,0.0796351656,0.0790432766,0.00260110176,9,0
0.01,46,0.0825052559,0.0820471421,0.00275048055,9,0
0.01,47,0.0854326785,0.0851214305,0.00290673436,8,0
0.01,48,0.0884264112,0.0882668421,0.00306974933,9,0
0.01,49,0.0914795324,0.0914850384,0.00324014574,9,0
0.01,50,0.094595924,0.0947770402,0.00341806468,9,0
0.01,51,0.0977762118,0.098144114,0.00360378739,9,0
0.01,52,0.101021044,0.101587564,0.00379760284,8,0
0.01,53,0.104332343,0.105108485,0.00399978925,9,0
0.01,54,0.107710138,0.108708285,0.0042106621,9,0
0.01,55,0.111154847,0.112388283,0.00443057436,8,0
0.01,56,0.114669792,0.116149634,0.00465971837,8,0
0.01,57,0.118254356,0.119993739,0.00489854394,9,0
0.01,58,0.121908739,0.123922028,0.00514740404,8,0
0.01,59,0.125636578,0.127935618,0.00540651381,8,0
0.01,60,0.129435852,0.132036135,0.00567638036,8,0
0.01,61,0.13330996,0.136224762,0.00595730916,9,0
