traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.2584126,-3.57675266,-2.14011693,-0.778284132,-1.30394852,0.451608777,5.42816687,-2.48517227,2.12701273,3.15587211,5.75634527,-1.82406425,-0.848267376,1.15529537,6.56821871,1.43006849,0.0892428979,3.04572058,4.95027256,2.52325201,1.9502331,3.22331285,3.86927891,3.39044046,2.94329262,2.52869248,1.68513358,1.00606847,0.903915703,1.19376707,2.08875966,3.7848649
1,2.22053123,-3.60139251,-2.1163075,-0.787229002,-1.30088449,0.471688151,5.42250109,-2.49991226,2.13929605,3.21603131,5.74192858,-1.87771583,-0.819421649,1.16575837,6.58949375,1.41768789,0.0886355266,3.05945086,4.97557116,2.52177596,1.95140624,3.23873353,3.88818336,3.39808464,2.94467282,2.5292716,1.68527222,1.00909007,0.911080778,1.20577836,2.11020994,3.80613852
2,2.18214846,-3.62547922,-2.09266281,-0.796066165,-1.29782999,0.491906971,5.41646862,-2.51500225,2.15109181,3.2761693,5.72652674,-1.93142855,-0.790291667,1.17676163,6.61067629,1.40497971,0.0881514102,3.07323694,5.00093699,2.52009273,1.95249283,3.25421166,3.90718555,3.40564728,2.94593596,2.52982402,1.68543887,1.01214457,0.918273449,1.21784246,2.13174796,3.82716155
3,2.1432085,-3.64899635,-2.06915927,-0.804803848,-1.29478526,0.512267053,5.41005802,-2.53045559,2.16239929,3.33626819,5.71013784,-1.98517179,-0.760915279,1.18829012,6.63176203,1.39201283,0.0877715275,3.08704281,5.02632666,2.51827383,1.95353174,3.26971245,3.92625475,3.41316342,2.9470768,2.53029537,1.68563581,1.015275,0.925519228,1.22998333,2.15340662,3.84794807
4,2.10372615,-3.6719687,-2.04581428,-0.81344372,-1.29175735,0.532710016,5.40331984,-2.5462153,2.17320514,3.3962338,5.6928153,-2.03886771,-0.731340051,1.20035911,6.65276003,1.37877595,0.0875361264,3.10091329,5.05169249,2.5162816,1.95462072,3.28535533,3.94534159,3.42047238,2.94812751,2.53083229,1.68585539,1.01838064,0.93276912,1.24217868,2.17516828,3.86848664
5,2.0637362,-3.69436049,-2.02265906,-0.821968198,-1.28873777,0.553298235,5.39619446,-2.56234956,2.18350625,3.4561348,5.67450905,-2.09257269,-0.701546252,1.21297729,6.67365456,1.3652426,0.0874129087,3.11481023,5.07709837,2.51413155,1.95563436,3.30101848,3.96451569,3.42773223,2.94904995,2.53130555,1.68611193,1.02155054,0.940071166,1.25445199,2.19703674,3.88875771
6,2.02316856,-3.71620321,-1.9996382,-0.830401838,-1.2857306,0.574023128,5.3886838,-2.57885766,2.19329333,3.51593661,5.65522575,-2.14625263,-0.671565831,1.22614598,6.69445133,1.35143065,0.0874235407,3.12876081,5.10249376,2.51180744,1.95666623,3.3167901,3.98373103,3.43484259,2.94986939,2.53178453,1.68639028,1.0247364,0.947393239,1.26678848,2.21903062,3.90879464
7,1.98214757,-3.73745251,-1.97686434,-0.838703036,-1.28273726,0.594856381,5.3808198,-2.59571242,2.20255685,3.57560706,5.63499165,-2.19985795,-0.641414404,1.2399174,6.7151432,1.33730984,0.0875880271,3.14276457,5.12788868,2.50933647,1.95768809,3.33261991,4.00298643,3.44185376,2.95059609,2.53223848,1.6866858,1.02796555,0.954768777,1.27920496,2.24111772,3.9285326
8,1.94058251,-3.75814033,-1.9542625,-0.84690398,-1.27975929,0.61579752,5.37259388,-2.61292195,2.21130204,3.63510776,5.61380959,-2.25339389,-0.61114198,1.25420427,6.73573732,1.32292676,0.0878575221,3.15679789,5.15329027,2.50670409,1.95869517,3.34852982,4.02230358,3.44873524,2.95120168,2.53268981,1.68702614,1.03121996,0.962159753,1.29167843,2.26332068,3.94801617
9,1.89852071,-3.7782321,-1.93188941,-0.854981422,-1.27679336,0.636847675,5.36398554,-2.63048553,2.21951509,3.69444084,5.59167719,-2.30683827,-0.580756187,1.26905799,6.75622034,1.30824387,0.0882886276,3.17091012,5.17868376,2.50386763,1.95969868,3.36453772,4.04167747,3.45548534,2.95169568,2.53312612,1.68737757,1.03451216,0.969618499,1.30425441,2.28564215,3.96720147
