traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25823903,-3.57678366,-2.13963532,-0.778709054,-1.3038286,0.448891342,5.42986202,-2.48202133,2.12497306,3.1509068,5.75823212,-1.82038903,-0.848877549,1.15578866,6.56814432,1.42986643,0.0894307643,3.04575396,4.95018244,2.52327323,1.95028353,3.22332191,3.86926007,3.3904233,2.94328976,2.5287044,1.68516636,1.00610912,0.903974652,1.19384587,2.0888834,3.78495622
1,2.22040987,-3.60142922,-2.11586523,-0.787661135,-1.3008244,0.469053745,5.42405987,-2.4968195,2.13719201,3.21104717,5.74389648,-1.87413776,-0.819925725,1.1663332,6.58940315,1.41738772,0.0888350233,3.05949759,4.97552586,2.52174687,1.95139134,3.23873162,3.88821626,3.39809275,2.94463515,2.52925897,1.68532443,1.00915396,0.911140859,1.20584452,2.11031246,3.80622292
2,2.18201518,-3.62551427,-2.09222078,-0.79651016,-1.29782009,0.489311904,5.41794157,-2.5119338,2.14895749,3.27113628,5.7285943,-1.92789745,-0.790756881,1.17736447,6.61057663,1.40466654,0.0883409902,3.07326508,5.00089121,2.52009487,1.95247686,3.25418162,3.90719581,3.40567398,2.94591808,2.5298028,1.68547487,1.01220262,0.91833204,1.21791041,2.1318593,3.8272593
3,2.14304233,-3.64903474,-2.06869125,-0.805247068,-1.29475033,0.509510398,5.41178846,-2.52718568,2.16038656,3.33115625,5.71229887,-1.98148799,-0.761489749,1.18882072,6.63167667,1.39174676,0.0879597217,3.08707714,5.02625608,2.51827407,1.9535557,3.26971865,3.92624617,3.41314435,2.94707155,2.53031301,1.68566155,1.01529908,0.925566554,1.23005068,2.15351844,3.84803653
4,2.10354328,-3.67198753,-2.04533052,-0.813859403,-1.29165816,0.529835284,5.40532541,-2.54279065,2.17140913,3.39121652,5.69497347,-2.03509045,-0.732042015,1.20078588,6.6526885,1.37854517,0.087695986,3.10092425,5.05164194,2.51631498,1.95462263,3.2853272,3.94533706,3.42048693,2.94811988,2.53082585,1.68588436,1.0184269,0.932832062,1.2422576,2.17528605,3.86856127
5,2.06354499,-3.69439745,-2.02218962,-0.822410583,-1.28872764,0.550506294,5.39802074,-2.55899835,2.1816082,3.45102906,5.67680216,-2.08887529,-0.702157855,1.21348596,6.67356682,1.36496687,0.0875960514,3.11483169,5.07703638,2.51415253,1.95565081,3.3010025,3.96450067,3.42773962,2.94905663,2.5313015,1.68612516,1.02158964,0.940130949,1.254529,2.19716454,3.88885641
6,2.02302289,-3.71621561,-1.99922776,-0.830829799,-1.28575897,0.571165681,5.39056921,-2.57541299,2.19139671,3.51070666,5.65767145,-2.14248013,-0.672203779,1.22667897,6.69435835,1.35115695,0.0876320079,3.12880015,5.10241222,2.51181936,1.95669007,3.31677794,3.98372078,3.43485689,2.94987488,2.53177309,1.68640077,1.02478325,0.947468877,1.2668786,2.21915483,3.9088738
7,1.98194826,-3.73748088,-1.97639883,-0.839129746,-1.28271544,0.591877162,5.38296556,-2.59210229,2.20085168,3.57041597,5.63747072,-2.19598889,-0.642174244,1.24033082,6.71506596,1.33709896,0.0877813697,3.14280701,5.12780333,2.5093379,1.95772421,3.33263111,4.00297832,3.44183373,2.95058727,2.53225207,1.68671751,1.028005,0.954828799,1.2792846,2.24124527,3.92861724
8,1.94037175,-3.75816488,-1.9538008,-0.847337127,-1.27976096,0.612801552,5.37477016,-2.60927081,2.20964026,3.6299293,5.61635256,-2.24954081,-0.611882448,1.25463235,6.73565769,1.32269502,0.0880624577,3.1568501,5.15320396,2.50669479,1.95872843,3.34853768,4.02228975,3.44872522,2.95121074,2.53270173,1.68703663,1.03124881,0.962226987,1.29177213,2.26345849,3.94809937
9,1.89836669,-3.77824831,-1.93149984,-0.855423689,-1.27692533,0.634009123,5.36581993,-2.62702346,2.2176652,3.68913651,5.59440136,-2.30312634,-0.581338048,1.26965761,6.75611258,1.30790508,0.0885069221,3.17095089,5.17860603,2.50387383,1.95971692,3.36452723,4.04167175,3.45549226,2.95169306,2.53312445,1.68741035,1.0345602,0.969678342,1.30433357,2.28577352,3.96730471
10,1.85581708,-3.79778123,-1.90934718,-0.86338377,-1.27399683,0.655177414,5.35684538,-2.64493966,2.22536325,3.74828815,5.57139921,-2.35649991,-0.550820708,1.28511477,6.77648067,1.29288208,0.0890642703,3.1850903,5.20402145,2.5009048,1.96068323,3.38056421,4.0610919,3.46216416,2.95209551,2.53353262,1.68779075,1.03788674,0.977151036,1.31695676,2.30818987,3.98621273
11,1.81270921,-3.81671596,-1.88731897,-0.871216297,-1.27093434,0.676282942,5.34796572,-2.66298008,2.23280406,3.8073988,5.54734612,-2.40954995,-0.520385265,1.30102444,6.79676771,1.27763188,0.0897830203,3.19930696,5.2293973,2.49776173,1.9616884,3.39671874,4.08055162,3.46866393,2.95237851,2.53396034,1.68822074,1.04124057,0.984661698,1.32966518,2.33072829,4.00480747
12,1.76920331,-3.83507133,-1.86567378,-0.878952563,-1.26810956,0.697799563,5.33796024,-2.68180609,2.23925185,3.86607957,5.52252245,-2.46280646,-0.489611208,1.31772387,6.81689739,1.2619406,0.0906152651,3.21353459,5.25480509,2.4944737,1.96265304,3.41292381,4.10006189,3.47505593,2.95256162,2.53437901,1.68867087,1.04461765,0.992200673,1.34244215,2.35337424,4.02313232
13,1.7251873,-3.85285234,-1.84415758,-0.886538148,-1.26510739,0.71917665,5.3281889,-2.70065832,2.24552679,3.92472959,5.49662352,-2.51564503,-0.459048927,1.33479142,6.83694744,1.24605823,0.0916022137,3.22784877,5.28018856,2.49098134,1.96361566,3.42921662,4.11963701,3.48132825,2.95262861,2.53477311,1.68915856,1.04804599,0.999778509,1.35528016,2.37609982,4.04111195
14,1.68074346,-3.87003613,-1.82299817,-0.89403075,-1.26230514,0.740871727,5.31748152,-2.72019386,2.25085306,3.98291063,5.46998072,-2.56854057,-0.428201467,1.35272384,6.85682964,1.22969317,0.0927725881,3.24221563,5.30556297,2.48732424,1.96456814,3.44557548,4.13925886,3.48748422,2.95258641,2.53514838,1.68967998,1.05152047,1.00740278,1.3682034,2.39895272,4.05881214
