traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25841069,-3.57675219,-2.14012289,-0.778284252,-1.30395246,0.451580048,5.42818928,-2.48514342,2.12701607,3.15583444,5.75636578,-1.8240267,-0.848306537,1.15526783,6.568223,1.43009627,0.0892334282,3.04571033,4.9502635,2.52327204,1.9502461,3.22331357,3.86927724,3.39043951,2.94328213,2.5286839,1.68514383,1.00607955,0.903917134,1.19376659,2.08875942,3.78486276
1,2.22052574,-3.60139108,-2.11630297,-0.787229836,-1.30088413,0.471691519,5.4224968,-2.49991393,2.13929319,3.21604085,5.74191952,-1.87772918,-0.81940347,1.16577339,6.58949137,1.41764879,0.0886400267,3.05945826,4.97559738,2.52175403,1.95136905,3.23871922,3.8882103,3.39811206,2.94465971,2.52924514,1.68527031,1.00910151,0.911086798,1.20578229,2.11021543,3.80614042
2,2.18213081,-3.62547803,-2.09264636,-0.796070278,-1.29782701,0.491922855,5.41645384,-2.51501799,2.15109086,3.27619076,5.72651339,-1.93144834,-0.790271401,1.17677462,6.61067104,1.40496957,0.0881527364,3.07323575,5.00094461,2.52009153,1.95247388,3.2541914,3.90719533,3.40567017,2.94592357,2.52980065,1.68544519,1.01215672,0.918273926,1.21784508,2.13175774,3.82717085
3,2.143188,-3.64900708,-2.06913877,-0.804810822,-1.2947824,0.512277007,5.41004848,-2.53046489,2.16239595,3.33627701,5.71013451,-1.98517537,-0.76090163,1.18831217,6.63175821,1.39199746,0.0877916217,3.08706093,5.02631378,2.51824689,1.9535445,3.26974058,3.92625761,3.41312909,2.9470644,2.53031778,1.68564308,1.01525533,0.925503135,1.22997725,2.15340996,3.84795666
4,2.10372424,-3.67196107,-2.0458138,-0.813442051,-1.29175436,0.532724321,5.40330553,-2.54622865,2.17320347,3.39625168,5.69280434,-2.0388844,-0.731326342,1.2003659,6.65275478,1.37876594,0.0875334963,3.10090852,5.05170059,2.51628065,1.9546057,3.28534532,3.94534922,3.42048097,2.94812059,2.5308249,1.68585539,1.01838291,0.932773232,1.24218333,2.1751709,3.86848378
5,2.06369209,-3.69436717,-2.02262783,-0.821979761,-1.28873742,0.553312242,5.39617634,-2.5623641,2.1835072,3.45615029,5.67449474,-2.09258413,-0.701543808,1.21297133,6.67365265,1.36525345,0.0874146298,3.11481571,5.0770874,2.51411843,1.95565236,3.30104613,3.96451163,3.42769909,2.94904947,2.53133035,1.68610597,1.02152395,0.940058351,1.25445509,2.19705606,3.88877654
6,2.02317834,-3.71618986,-1.99965572,-0.830395877,-1.28573453,0.574001253,5.38870001,-2.57883334,2.19329476,3.51592374,5.65523052,-2.146245,-0.671571672,1.22613978,6.69445229,1.35144603,0.0874248818,3.12876201,5.10248089,2.51181173,1.95668757,3.31680512,3.98371959,3.43482351,2.94987297,2.53179073,1.68638432,1.02473772,0.947404563,1.26679826,2.21903205,3.90878487
7,1.98213613,-3.7374506,-1.9768616,-0.838705659,-1.28273976,0.594842672,5.38083172,-2.59569836,2.20255923,3.57558465,5.63500643,-2.1998415,-0.641435444,1.23989749,6.71514463,1.33734798,0.0875965729,3.14277864,5.12786579,2.5093112,1.95770669,3.3326509,4.00299597,3.44182611,2.95058179,2.53225279,1.68669486,1.02795935,0.954764664,1.27920544,2.2411232,3.92853689
8,1.94056594,-3.75812936,-1.95426178,-0.846904814,-1.27976012,0.61578989,5.37259674,-2.61291385,2.211303,3.63509059,5.61382055,-2.25337863,-0.61115849,1.25419056,6.7357378,1.3229425,0.0878622904,3.15680647,5.15327883,2.50669169,1.9587065,3.34854507,4.02230501,3.44872594,2.95120096,2.53269148,1.68701482,1.03121459,0.962169707,1.29169559,2.26333761,3.94801879
9,1.89852142,-3.77822876,-1.93188584,-0.85498178,-1.27679181,0.636867404,5.36397314,-2.63050842,2.21950889,3.69445181,5.59167385,-2.306844,-0.580742002,1.2690773,6.7562232,1.30824149,0.0882913992,3.1709094,5.1786809,2.50387859,1.95970738,3.36453772,4.04166937,3.45547795,2.95170045,2.53314042,1.68738794,1.03450668,0.969609201,1.30425131,2.28564596,3.96720743
