traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25839639,-3.57675195,-2.14010882,-0.778288364,-1.30394936,0.451593995,5.42818022,-2.48515558,2.12700939,3.15584564,5.75636005,-1.82403576,-0.848289371,1.15528536,6.56822014,1.43008864,0.089235507,3.04570794,4.95026207,2.52327919,1.9502492,3.2233119,3.86927223,3.39043593,2.94328403,2.52869248,1.68514907,1.00607502,0.90391314,1.19376838,2.08876729,3.78487086
1,2.22053075,-3.60138583,-2.11630774,-0.787229002,-1.3008846,0.471682072,5.42250443,-2.49990344,2.13929415,3.21602106,5.74193192,-1.87771142,-0.819425821,1.16575515,6.58949327,1.41767323,0.088639982,3.05946064,4.9755888,2.52175236,1.95138025,3.23873067,3.88820887,3.39809799,2.94465661,2.52925777,1.68527687,1.0090971,0.911084712,1.20578253,2.11021447,3.80613804
2,2.18213725,-3.62547755,-2.0926528,-0.796067357,-1.29782903,0.491907686,5.41646099,-2.51499891,2.15108705,3.27618623,5.72650862,-1.93145728,-0.790267527,1.17676449,6.6106739,1.40496087,0.0881385803,3.07322621,5.0009594,2.52009273,1.95245898,3.25418615,3.90720487,3.40567732,2.94591928,2.52979612,1.68544471,1.01215827,0.918276608,1.21784461,2.13175154,3.8271625
3,2.14318585,-3.64900804,-2.06913686,-0.804812133,-1.29478168,0.512275636,5.41004944,-2.53046131,2.16239214,3.336272,5.71013546,-1.98517811,-0.760895789,1.18831241,6.63175869,1.3919884,0.0877887532,3.08706021,5.02632141,2.51824522,1.95354152,3.2697463,3.92626214,3.41311908,2.94705844,2.53032732,1.68564999,1.01525366,0.925502419,1.22997761,2.15341043,3.84795666
4,2.10371494,-3.67197061,-2.04580593,-0.813446164,-1.29175425,0.532715499,5.40330982,-2.54621601,2.17320323,3.39624023,5.69280672,-2.03887844,-0.731334448,1.20035267,6.65275526,1.37876368,0.0875283405,3.10090899,5.05171061,2.51626229,1.95458651,3.28534651,3.94537449,3.42048907,2.94810057,2.53081083,1.68586171,1.01839113,0.932775557,1.24218285,2.17516971,3.86848378
5,2.0637002,-3.69436145,-2.02263474,-0.821976542,-1.28873682,0.553307474,5.39618397,-2.56235838,2.18349981,3.45615005,5.67449713,-2.09258747,-0.701529622,1.21299171,6.67365074,1.36523759,0.0874229968,3.11481905,5.0770874,2.51411963,1.95564866,3.30103612,3.96451283,3.42772031,2.94905496,2.53130722,1.68609428,1.0215385,0.940071762,1.2544595,2.19705272,3.88876939
6,2.02317142,-3.71618295,-1.99964809,-0.830397129,-1.28573155,0.574020624,5.3886857,-2.57885194,2.19328618,3.51593351,5.65522528,-2.1462512,-0.671555758,1.22615981,6.69444752,1.35142601,0.087433435,3.12877107,5.10248899,2.51178861,1.95666921,3.31680942,3.98374295,3.43482852,2.94985986,2.53178596,1.68638659,1.0247364,0.947406709,1.26680493,2.21904087,3.90878963
7,1.98213744,-3.73744512,-1.97686172,-0.838704765,-1.28273904,0.594842553,5.38083076,-2.59569716,2.20255494,3.57558513,5.63500166,-2.19984531,-0.641424596,1.23990571,6.71514273,1.33732545,0.0875907913,3.14277196,5.12787914,2.50931573,1.95769358,3.33264232,4.00300407,3.44183588,2.95057487,2.5322423,1.6866982,1.02796984,0.954771638,1.27920949,2.24112439,3.92853475
8,1.94056058,-3.75813007,-1.95425642,-0.846906424,-1.27975917,0.615791857,5.37259054,-2.61291194,2.21129823,3.63509059,5.61381245,-2.25338721,-0.611150026,1.25418878,6.73573637,1.32293475,0.0878542736,3.15680099,5.15329456,2.50669217,1.95868933,3.3485353,4.02231312,3.44873428,2.95119548,2.5326848,1.6870172,1.03121781,0.962171078,1.29169607,2.26333761,3.94801784
9,1.89850211,-3.77823067,-1.93187141,-0.854988039,-1.27679133,0.63686049,5.36397934,-2.6304996,2.21950603,3.6944313,5.59168625,-2.30682468,-0.580751777,1.26907575,6.75622129,1.30823767,0.0882913992,3.1709075,5.17868233,2.50387573,1.95969796,3.3645308,4.04167843,3.45549273,2.95169401,2.53312016,1.68738461,1.03452063,0.96961832,1.30425656,2.28565335,3.96721339
