traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25837064,-3.57674694,-2.14009619,-0.778297961,-1.30395961,0.451516122,5.4282155,-2.48507881,2.12696743,3.15574574,5.75640297,-1.82396889,-0.848299384,1.15530372,6.56821871,1.43007874,0.0892469659,3.04571509,4.95025587,2.52327824,1.95025873,3.22331476,3.86926103,3.39043283,2.9432981,2.52869558,1.68513072,1.00606596,0.903922141,1.19378448,2.08878803,3.78488183
1,2.22052002,-3.60138655,-2.11629772,-0.787235081,-1.30089426,0.471624404,5.42252684,-2.49984479,2.13925529,3.21596026,5.7419529,-1.87767637,-0.819414735,1.16578007,6.58949137,1.4176507,0.0886397585,3.05945611,4.97559643,2.52176237,1.95137525,3.23871922,3.88820052,3.39810658,2.9446671,2.52925134,1.68526793,1.00910282,0.911093473,1.20578849,2.11022067,3.80614257
2,2.18213654,-3.62548137,-2.09264851,-0.796072483,-1.29783428,0.491835177,5.4164958,-2.51492596,2.15105128,3.27608848,5.72655153,-1.93138981,-0.790286064,1.17677236,6.61067057,1.40496242,0.0881482661,3.07323408,5.00095367,2.52008152,1.95246232,3.25419545,3.90721178,3.40567183,2.94590712,2.52979112,1.6854552,1.01216853,0.918275535,1.21783853,2.13174701,3.8271625
3,2.14318156,-3.64900398,-2.0691309,-0.804816782,-1.29479074,0.512189627,5.41009426,-2.53037429,2.16235685,3.33616042,5.71018505,-1.98510134,-0.760923743,1.18830907,6.63175821,1.39198518,0.0877801776,3.08704853,5.02632713,2.51826143,1.95353341,3.26972771,3.92625785,3.41313815,2.94706631,2.5303123,1.68564153,1.01526117,0.925509453,1.22998106,2.15341234,3.84795594
4,2.10371327,-3.67196345,-2.04580235,-0.813451588,-1.2917645,0.532650113,5.40334749,-2.54615092,2.17316842,3.39615297,5.6928525,-2.03882051,-0.731344461,1.20037043,6.65275288,1.3787663,0.0875414833,3.1009171,5.05169725,2.51626301,1.9546032,3.28535533,3.94536209,3.42047477,2.94810772,2.53082609,1.68586385,1.01838613,0.932775378,1.24218762,2.17517757,3.86848974
5,2.06369042,-3.69436288,-2.02262974,-0.821982682,-1.28874624,0.553236306,5.39621878,-2.56228375,2.18346882,3.4560585,5.67454004,-2.09252357,-0.701547801,1.21299565,6.67364836,1.36523533,0.0874290913,3.11482477,5.07708454,2.51410675,1.95564878,3.3010478,3.96452022,3.42770672,2.9490459,2.53131795,1.68610084,1.02153277,0.940069199,1.25446081,2.19705677,3.88877177
6,2.02317142,-3.71618938,-1.99964476,-0.830400944,-1.28573596,0.573933601,5.38873529,-2.57875872,2.19325256,3.5158186,5.65528536,-2.14616442,-0.671592236,1.22615802,6.6944499,1.35144889,0.08744362,3.12877631,5.10246515,2.51179647,1.95669937,3.31682229,3.98372293,3.43480897,2.94986844,2.53180313,1.68639016,1.02473366,0.947403669,1.26680017,2.21903563,3.90878773
7,1.98213041,-3.73744535,-1.97686374,-0.83871156,-1.28275287,0.594763398,5.38087749,-2.595613,2.20252299,3.57550144,5.63504314,-2.19978976,-0.641428351,1.23992813,6.71513987,1.33729923,0.0876035914,3.1427803,5.12788248,2.50930357,1.95768774,3.33264399,4.00300646,3.44183278,2.95057344,2.53224516,1.68669748,1.0279671,0.954772234,1.27921247,2.24112844,3.92853403
8,1.94056404,-3.75813389,-1.95424914,-0.846911967,-1.27976739,0.615731001,5.37262487,-2.61284971,2.21126509,3.63501644,5.61385298,-2.25333834,-0.611146629,1.25421739,6.73573351,1.32292235,0.0878649652,3.1568048,5.15328693,2.50669003,1.95869565,3.34854007,4.02231216,3.44872928,2.95119357,2.53268838,1.68702435,1.03122258,0.962169945,1.29169106,2.26333332,3.94802046
9,1.89849019,-3.7782259,-1.9318639,-0.854993105,-1.27680194,0.636783242,5.36402035,-2.63041806,2.21947193,3.69435072,5.59172583,-2.30677557,-0.580747962,1.26910043,6.75621891,1.30822539,0.0882998034,3.17091131,5.17867756,2.50387406,1.95970392,3.36453581,4.04167461,3.4554863,2.95169735,2.53312612,1.68738008,1.03451228,0.969617784,1.30426145,2.28566241,3.9672184
