dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,converged
0.0005,0,-7.00929803e-08,-2.81898895e-08,-6.51257278e-06,6.51287746e-06,6.51305618e-06,-6.51335131e-06,-6.55048041e-07,1.36903786e-15,4.54068034e-21,-4.82268947e-11,-3.36749795e-11,7.94793051e-12,7.94793051e-12,-7.07330245e-12,-5.2926977e-12,1
0.0005,1,-2.34766571e-06,-2.51141216e-07,-7.70376482e-06,5.32258537e-06,6.37590347e-06,-6.65030711e-06,-6.54260759e-07,2.80673068e-10,-9.38068113e-12,-5.30150021e-11,3.93703264e-11,4.31315733e-10,-4.11520706e-10,2.19914256e-08,3.8808301e-10,1
0.0005,2,-4.79463779e-06,-4.77474771e-07,-8.89406147e-06,4.13186308e-06,6.24300446e-06,-6.78328706e-06,-6.54404857e-07,5.61248825e-10,-1.87192432e-11,-1.08734813e-10,8.21862092e-11,8.35106817e-10,-8.33762892e-10,4.39771597e-08,7.72980846e-10,1
0.0005,3,-7.20155185e-06,-7.22783113e-07,-1.00838961e-05,2.94273514e-06,6.10856659e-06,-6.91784953e-06,-6.5161089e-07,8.41801684e-10,-2.85306882e-11,-1.47651516e-10,1.57482707e-10,1.2618514e-09,-1.25375388e-09,6.59449455e-08,1.15741872e-09,1
0.0005,4,-9.46343425e-06,-9.7758732e-07,-1.12751832e-05,1.75109847e-06,5.96958625e-06,-7.05653474e-06,-6.5161089e-07,1.12233389e-09,-3.70160083e-11,-1.92718591e-10,1.9077144e-10,1.70089676e-09,-1.68777448e-09,8.79591724e-08,1.55520963e-09,1
0.0005,5,-1.19339429e-05,-1.24618032e-06,-1.24644357e-05,5.60681428e-07,5.83722613e-06,-7.18935098e-06,-6.53617633e-07,1.40304313e-09,-4.71428487e-11,-2.7529104e-10,2.27436958e-10,2.08398565e-09,-2.12119189e-09,1.09919945e-07,1.93537253e-09,1
0.0005,6,-1.43141961e-05,-1.50392736e-06,-1.36540211e-05,-6.26154417e-07,5.69911572e-06,-7.32747912e-06,-6.52043127e-07,1.68350733e-09,-5.60013112e-11,-2.69948786e-10,3.79995396e-10,2.52077959e-09,-2.54066035e-09,1.318881e-07,2.32713027e-09,1
0.0005,7,-1.66704922e-05,-1.77222989e-06,-1.4843793e-05,-1.81664359e-06,5.56225814e-06,-7.46413025e-06,-6.51399944e-07,1.96410288e-09,-6.50673682e-11,-3.27397415e-10,4.31735231e-10,2.94137381e-09,-2.969053e-09,1.5387397e-07,2.71571121e-09,1
0.0005,8,-1.90245337e-05,-1.9817694e-06,-1.60343734e-05,-3.00867373e-06,5.42499765e-06,-7.60214198e-06,-6.50900859e-07,2.24448859e-09,-7.43488049e-11,-3.81388421e-10,4.43799303e-10,3.3630938e-09,-3.40359585e-09,1.75866731e-07,3.11030735e-09,1
0.0005,9,-2.14608826e-05,-2.25046142e-06,-1.72262044e-05,-4.19744447e-06,5.29056842e-06,-7.73657939e-06,-6.51688083e-07,2.52526333e-09,-8.40532019e-11,-4.32686664e-10,5.22391741e-10,3.76688503e-09,-3.82471255e-09,1.97850085e-07,3.49368068e-09,1
0.0005,10,-2.38085395e-05,-2.52467748e-06,-1.84094588e-05,-5.38435233e-06,5.15488728e-06,-7.87238514e-06,-6.51976279e-07,2.80593726e-09,-9.33348537e-11,-5.80139548e-10,5.96562688e-10,4.17795176e-09,-4.26653157e-09,2.19768879e-07,3.88493193e-09,1
0.0005,11,-2.62198755e-05,-2.76618539e-06,-1.96024539e-05,-6.57516284e-06,5.01922068e-06,-8.00787257e-06,-6.4975859e-07,3.0866858e-09,-1.0325478e-10,-5.79902848e-10,6.55056065e-10,4.59352156e-09,-4.69154715e-09,2.4177217e-07,4.26975921e-09,1
0.0005,12,-2.8576258e-05,-3.04111336e-06,-2.07912963e-05,-7.7638997e-06,4.88224805e-06,-8.14513987e-06,-6.48184084e-07,3.36716344e-09,-1.12801879e-10,-6.42898623e-10,7.32522931e-10,5.01186426e-09,-5.12946707e-09,2.6374002e-07,4.66395234e-09,1
0.0005,13,-3.09841744e-05,-3.34145602e-06,-2.19802441e-05,-8.95141784e-06,4.74177614e-06,-8.28586144e-06,-6.47041816e-07,3.64817443e-09,-1.21288118e-10,-6.80167367e-10,8.67071859e-10,5.43860912e-09,-5.57631052e-09,2.85681182e-07,5.06608755e-09,1
