framework,algorithm,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms,golden_rmse,finite_trajectories,failed_trajectories
julia,kvaerno3,adaptive,julia,both,131072,tol,0.0001,20,1.7394,1.7679,1.9536,2.33885,2.3892,0.00042321494760467695,131072,0
julia,kvaerno3,adaptive,julia,both,131072,tol,0.001,20,1.3734,1.382045,1.4682499999999998,1.8605650000000014,3.5509,0.0049045172469419605,131072,0
julia,kvaerno3,adaptive,julia,both,131072,tol,0.010000000000000002,20,1.2135,1.229365,1.29475,1.6717250000000028,5.6128,0.05312303610113661,131072,0
julia,kvaerno3,adaptive,julia,both,131072,tol,1.0000000000000001e-7,20,8.319,8.367925,8.488050000000001,8.790465000000001,9.0615,1.2836244232835808e-5,131072,0
julia,kvaerno3,adaptive,julia,both,131072,tol,1.0e-5,20,2.5868,2.589935,2.65935,3.041430000000002,5.36,3.9822500838344334e-5,131072,0
julia,kvaerno3,adaptive,julia,both,131072,tol,1.0e-6,20,4.4354,4.47758,4.5939499999999995,5.309775,6.0465,9.500464744806748e-6,131072,0
julia,kvaerno3,adaptive,julia,both,131072,tol,1.0e-8,20,17.2542,17.29695,17.56765,21.52142000000005,84.1211,1.880404480862125e-5,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,0.0001,20,0.8055,0.8194650000000001,0.85825,0.92924,0.9642,0.00042321494760467695,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,0.001,20,0.4554,0.46281,0.4913,0.53327,0.5365,0.0049045172469419605,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,0.010000000000000002,20,0.2994,0.29997,0.30425,0.37416000000000005,0.4114,0.05312303610113661,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,1.0000000000000001e-7,20,7.4265,7.4474,7.499700000000001,7.626659999999999,7.852,1.2836244232835808e-5,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,1.0e-5,20,1.675,1.6761399999999997,1.6949,1.73336,1.7516,3.9822500838344334e-5,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,1.0e-6,20,3.4555,3.465,3.57555,3.7341149999999996,3.7895,9.500464744806748e-6,131072,0
julia,kvaerno3,adaptive,julia,none,131072,tol,1.0e-8,20,16.4549,16.461834999999997,16.611600000000003,16.809925,16.8427,1.880404480862125e-5,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.0001220703125,20,44.421,44.452065000000005,44.9296,45.35608,45.4355,2.7570235342445542e-5,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.000244140625,20,22.1117,22.119870000000002,22.43895,22.71285,22.8392,1.9815754483917368e-5,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.00048828125,20,11.5241,11.561435,11.69975,12.050749999999999,12.2151,1.4014349991036234e-5,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.0009765625,20,6.2169,6.2348550000000005,6.3618500000000004,6.547495,6.8894,1.0041218366725888e-5,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.001953125,20,3.5069,3.512885,3.61205,4.421100000000005,11.5024,1.4598770001349353e-5,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.00390625,20,2.2659,2.3141599999999998,2.5330000000000004,6.895360000000057,83.0371,0.0001032906308968636,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.0078125,20,1.5084,1.57699,1.7275,3.311745,3.818,0.0008191479775523469,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.015625,20,1.2484,1.3025499999999999,1.5742500000000001,4.548865,5.1771,0.006453273486142017,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.03125,10,1.3662,1.38087,1.6368,63.300735000000074,109.9413,0.04848478826200995,131072,0
julia,kvaerno3,fixed,fixed,both,131072,dt,0.0625,20,1.1509,1.16591,1.408,2.5322400000000096,15.7418,0.3157598966357976,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.0001220703125,20,43.2388,43.500524999999996,43.95235,44.251419999999996,44.3468,2.7570235342445542e-5,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.000244140625,20,21.166,21.427155,21.54295,21.89957,21.9047,1.9815754483917368e-5,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.00048828125,20,10.5192,10.55492,10.71235,10.970650000000001,10.9849,1.4014349991036234e-5,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.0009765625,20,5.2547,5.275695,5.4098500000000005,5.64019,5.7445,1.0041218366725888e-5,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.001953125,20,2.6177,2.62169,2.66275,2.74043,2.7524,1.4598770001349353e-5,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.00390625,20,1.3118,1.316455,1.3356,1.406735,1.4131,0.0001032906308968636,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.0078125,20,0.667,0.67764,0.70105,0.76703,0.8341,0.0008191479775523469,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.015625,20,0.3853,0.38967,0.4124,0.4523400000000001,0.5158,0.006453273486142017,131072,0
julia,kvaerno3,fixed,fixed,none,131072,dt,0.03125,20,0.2919,0.292945,0.2986,0.38267000000000007,0.4619,0.04848478826200995,131072,0
