framework,algorithm,mode,tier,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms,golden_rmse,finite_trajectories,failed_trajectories
julia,tsit5,adaptive,julia,32768,tol,0.0001,20,0.431197,0.4390155,0.481082,0.5357459,0.558981,0.0009208827574708334,32768,0
julia,tsit5,adaptive,julia,32768,tol,0.001,20,0.722638,0.72408485,0.7303655,0.7498143500000001,0.771785,0.007214919996796392,32768,0
julia,tsit5,adaptive,julia,32768,tol,0.010000000000000002,20,0.374446,0.37557935,0.3855235,0.4557867500000002,0.72182,0.05976581980275581,32768,0
julia,tsit5,adaptive,julia,32768,tol,1.0000000000000001e-7,20,0.721482,0.72693595,0.7702625000000001,0.7832659999999999,0.78984,2.515434385502434e-6,32768,0
julia,tsit5,adaptive,julia,32768,tol,1.0e-5,20,0.480767,0.4825682,0.4872345,0.5035777499999999,0.515752,6.107381594464332e-5,32768,0
julia,tsit5,adaptive,julia,32768,tol,1.0e-6,20,0.574294,0.58379115,0.6214660000000001,0.6356608,0.636987,3.863783154045861e-6,32768,0
julia,tsit5,adaptive,julia,32768,tol,1.0e-8,20,1.421327,1.4234664,1.440442,1.45152735,1.478115,3.247922143942578e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.0001220703125,20,18.006007,18.01094605,18.018963,18.440496900000003,22.370531,1.3422491287140628e-5,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.000244140625,20,9.177792,9.1781682,9.195637000000001,9.793058900000002,12.208128,9.606165319974757e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.00048828125,20,4.761499,4.7701934,4.785584500000001,4.805545550000001,4.811503,6.853174085970592e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.0009765625,20,2.58734,2.5881817000000003,2.6019604999999997,2.61328845,2.613487,4.841835903878789e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.001953125,20,1.467222,1.47055745,1.484111,1.50231615,1.510679,3.418124784048757e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.00390625,20,0.869584,0.8760515999999999,0.91628,0.9232094,0.925269,2.477627173411974e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.0078125,20,0.597528,0.60367165,0.647778,1.0269806000000004,1.468894,1.9841837551440524e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.015625,20,0.436985,0.45145825,0.4788155,0.54059365,0.55744,2.4224012406179124e-6,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.03125,20,0.354182,0.35468645,0.362143,0.40346740000000003,0.455497,3.841758435857515e-5,32768,0
julia,tsit5,fixed,fixed,32768,dt,0.0625,20,0.656475,0.65685405,0.6616265,0.6949968,0.719788,0.004405417172015433,32768,0
