framework,algorithm,phase,mode,tier,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
cubie,tsit5,performance,adaptive,default,128,tol,1e-08,20,3.1503450009040534,3.189365296930191,4.248131499480223,4.5402999967336655,4.593842000758741
cubie,tsit5,performance,adaptive,default,131072,tol,1e-08,20,3.873293004289735,3.8991120982245775,4.078411999216769,6.538999555414193,6.867026000691112
cubie,tsit5,performance,adaptive,default,2048,tol,1e-08,20,3.2203450027736835,3.3566519494343083,4.325444999267347,4.589303456668858,4.635862002032809
cubie,tsit5,performance,adaptive,default,2097152,tol,1e-08,20,31.81757499987725,31.838626051467145,32.082154000818264,37.89551009722345,38.985694001894444
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,20,3.187584996339865,3.1902763494144892,3.3919525012606755,4.50509289985348,4.609761999745388
cubie,tsit5,performance,adaptive,default,32768,tol,1e-08,20,3.6940260033588856,3.7006969010690227,3.929629001504509,5.81847699759237,5.868009997357149
cubie,tsit5,performance,adaptive,default,33554432,tol,1e-08,20,484.5025489994441,484.7310002471204,506.3503325000056,539.0004654967925,558.6643159986124
cubie,tsit5,performance,adaptive,default,512,tol,1e-08,20,3.154490994347725,3.158942701702472,3.227679495466873,4.502604845765745,4.529848003585357
cubie,tsit5,performance,adaptive,default,524288,tol,1e-08,20,8.977558005426545,8.98622199674719,9.040008502779528,10.046533446438843,10.101774998474866
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,20,3.170452000631485,3.184718152260757,4.30547400173964,4.568156000459567,4.6504830024787225
cubie,tsit5,performance,adaptive,default,8192,tol,1e-08,20,3.246256004786119,3.2770701986009954,3.86640899523627,4.6429394988081185,4.811155995412264
cubie,tsit5,performance,adaptive,default,8388608,tol,1e-08,20,124.75417699897662,124.82727094538859,130.20849299573456,135.3981706481136,135.83079400268616
cubie,tsit5,performance,adaptive,pi,128,tol,1e-08,20,3.1008549995021895,3.1009680478746304,4.027934501209529,4.4993314480962,4.540532005194109
cubie,tsit5,performance,adaptive,pi,131072,tol,1e-08,20,3.6063730003661476,3.7208964484307216,4.372159502963768,5.934766300197226,6.926173002284486
cubie,tsit5,performance,adaptive,pi,2048,tol,1e-08,20,3.1341060021077283,3.1467970522498945,3.1906809999782126,3.3438889564422425,3.4705229991232045
cubie,tsit5,performance,adaptive,pi,2097152,tol,1e-08,20,28.21652899729088,28.24616045145376,28.59904750221176,32.5783150998177,33.278467002674006
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,20,3.122991998679936,3.1286046032619197,3.233790001104353,4.4993627998337615,4.502950003370643
cubie,tsit5,performance,adaptive,pi,32768,tol,1e-08,20,3.4604129978106357,3.4910039496026,3.7388855016615707,6.1543992487713695,6.725487000949215
cubie,tsit5,performance,adaptive,pi,33554432,tol,1e-08,20,427.82173799787415,427.95911180182884,441.235192502063,449.5903921451827,449.68193699605763
cubie,tsit5,performance,adaptive,pi,512,tol,1e-08,20,3.1620350055163726,3.19535624657874,4.360811497463146,4.680177297996124,4.825475996767636
cubie,tsit5,performance,adaptive,pi,524288,tol,1e-08,20,8.082263004325796,8.098574505493161,8.159890996466856,10.459058495689533,11.131288003525697
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,20,3.1488140011788346,3.1693026448920136,4.227341498335591,4.47369480098132,4.498238995438442
cubie,tsit5,performance,adaptive,pi,8192,tol,1e-08,20,3.1963190049282275,3.198578099181759,3.368151003087405,4.569744149193866,4.623631000868045
cubie,tsit5,performance,adaptive,pi,8388608,tol,1e-08,20,110.52738099533599,110.67833124870958,115.638832001423,120.84721180071938,121.35456500254804
cubie,tsit5,performance,fixed,fixed,128,dt,0.0009765625,20,3.2808239993755706,3.4056635002343683,3.637828500359319,4.57730099769833,4.591189994243905
cubie,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,20,7.950279003125615,7.981302199914353,8.064794001256814,10.926164597185561,11.42439399700379
cubie,tsit5,performance,fixed,fixed,134217728,dt,0.0009765625,20,7233.033847995102,7233.395324904268,7318.083019999904,7370.222045545233,7531.157356999756
cubie,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,20,3.3328749996144325,3.3376981526089367,3.5711284981516656,4.692946004433907,4.697905002103653
cubie,tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,20,112.50210300204344,112.53269299995736,117.68698200103245,128.33206455034087,129.47895300021628
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,20,3.338340000482276,3.3463218998804223,3.6122834972047713,4.6956021957157645,4.7665140009485185
cubie,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,20,3.831973997876048,3.8430414992035367,3.9789674992789514,6.792459851203603,6.841154005087446
cubie,tsit5,performance,fixed,fixed,33554432,dt,0.0009765625,20,1800.611017002666,1800.7948248985485,1802.462422499957,1805.1093548019708,1828.2593879994238
cubie,tsit5,performance,fixed,fixed,512,dt,0.0009765625,20,3.3078650012612343,3.3158297999762,4.451001001143595,4.744233601377346,4.806261000339873
cubie,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,20,29.200371995102614,29.205459254808375,29.685465502552688,34.51494100081618,34.62814300291939
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,20,3.296852999483235,3.311921901695314,3.7047539990453515,4.943402501157834,5.148782998730894
cubie,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,20,3.5226000036345795,3.588659196248045,3.8267339950834867,4.863833650961169,4.988657005014829
cubie,tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,20,447.4994010015507,457.3259217038867,467.535081996175,477.6519058505073,477.9147110020858
julia,tsit5,numerical,adaptive,julia,1024,tol,0.0001,1,0.084588,0.084588,0.084588,0.084588,0.084588
julia,tsit5,numerical,adaptive,julia,1024,tol,0.001,1,0.07485,0.07485,0.07485,0.07485,0.07485
julia,tsit5,numerical,adaptive,julia,1024,tol,0.010000000000000002,1,0.073491,0.073491,0.073491,0.073491,0.073491
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-5,1,0.099056,0.099056,0.099056,0.099056,0.099056
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-6,1,0.129251,0.129251,0.129251,0.129251,0.129251
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0001220703125,1,3.979573,3.979573,3.979573,3.979573,3.979573
julia,tsit5,numerical,fixed,fixed,1024,dt,0.000244140625,1,1.728369,1.728369,1.728369,1.728369,1.728369
julia,tsit5,numerical,fixed,fixed,1024,dt,0.00048828125,1,0.841603,0.841603,0.841603,0.841603,0.841603
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0009765625,1,0.489912,0.489912,0.489912,0.489912,0.489912
julia,tsit5,numerical,fixed,fixed,1024,dt,0.001953125,1,0.305921,0.305921,0.305921,0.305921,0.305921
