framework,algorithm,phase,mode,tier,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,0,4.654824995668605
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,1,4.470266998396255
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,2,3.45526199816959
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,3,3.407485994102899
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,4,4.497381996770855
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,5,3.454300000157673
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,6,3.312715001811739
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,7,3.5811570051009767
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,8,4.440451004484203
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,9,3.4613769967108965
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,10,3.334829001687467
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,11,3.376246000698302
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,12,3.296852999483235
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,13,3.6693680012831464
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,14,5.148782998730894
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,15,4.883831003098749
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,16,3.9098599954741076
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,17,3.7401399968075566
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,18,4.790321996551938
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,19,4.932593001285568
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,0,4.6504830024787225
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,1,4.3069009989267215
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,2,4.302576999180019
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,3,4.398304998176172
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,4,4.468712999369018
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,5,4.224317999614868
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,6,4.3085360011900775
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,7,3.421121000428684
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,8,3.185469002346508
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,9,3.2628199987811968
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,10,3.170452000631485
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,11,3.2397579998360015
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,12,3.465929999947548
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,13,4.370239999843761
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,14,4.551211997750215
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,15,4.247119999490678
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,16,4.563823000353295
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,17,4.495025998039637
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,18,4.314287994930055
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,19,4.304047004552558
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,0,4.498238995438442
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,1,4.458609997527674
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,2,4.452204993867781
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,3,4.316397004004102
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,4,4.240064001351129
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,5,4.214618995320052
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,6,3.4705309954006225
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,7,3.302504999737721
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,8,3.3666099989204668
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,9,4.472403001273051
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,10,4.464653000468388
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,11,4.280309003661387
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,12,4.3160519999219105
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,13,4.2142410020460375
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,14,4.2618660008884035
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,15,3.3636480002314784
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,16,3.1703809945611283
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,17,3.238591998524498
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,18,3.2011029979912564
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,19,3.1488140011788346
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,0,3.3467419998487458
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,1,3.5921929957112297
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,2,4.4368489980115555
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,3,3.37425600446295
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,4,3.784273001656402
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,5,4.691869995440356
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,6,4.391998998471536
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,7,3.721091001352761
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,8,3.632373998698313
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,9,4.460912001377437
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,10,3.3862929994938895
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,11,3.4610610018717125
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,12,4.63823299651267
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,13,3.6683829966932535
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,14,3.395503001229372
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,15,3.5171130002709106
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,16,4.7665140009485185
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,17,3.5021709991269745
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,18,3.3636799998930655
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,19,3.338340000482276
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,0,3.187584996339865
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,1,3.1977489998098463
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,2,3.265899998950772
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,3,3.1968940020306036
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,4,3.4230530000058934
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,5,4.345736000686884
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,6,3.4108530016965233
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,7,3.317529000923969
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,8,3.1904179995763116
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,9,4.609761999745388
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,10,3.201794002961833
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,11,3.2488399956491776
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,12,3.3334539984934963
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,13,3.3730520008248277
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,14,4.4470739958342165
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,15,4.499583999859169
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,16,4.30314499681117
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,17,4.486231002374552
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,18,4.304960995796137
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,19,4.398681005113758
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,0,4.248003002430778
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,1,4.49917399964761
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,2,4.2183910045423545
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,3,4.502950003370643
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,4,4.229054000461474
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,5,4.371969997009728
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,6,3.337360998557415
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,7,3.1312939972849563
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,8,3.1973069999367
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,9,3.1934750004438683
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,10,3.2192189974011853
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,11,3.136625004117377
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,12,3.2483610048075207
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,13,3.1368730051326565
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,14,3.1516710005234927
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,15,3.33567000052426
