framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,tsit5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
julia,tsit5,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,tsit5,performance,fixed,fixed,33554432,dt,0.0009765625,,33554432,0,
julia,tsit5,performance,adaptive,julia,33554432,tol,1.0e-8,,33554432,0,
julia,tsit5,numerical,fixed,fixed,1024,dt,0.5,,35,989,
julia,tsit5,numerical,fixed,fixed,1024,dt,0.25,,289,735,
julia,tsit5,numerical,fixed,fixed,1024,dt,0.125,0.5288270918531136,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p125.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0625,0.004413450658630203,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p0625.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.03125,3.810569557332184e-5,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p03125.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.015625,2.4977717151915675e-6,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p015625.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0078125,2.0546873442385696e-6,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p0078125.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.00390625,2.5045807117894916e-6,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p00390625.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.001953125,3.3853216947687685e-6,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p001953125.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0009765625,4.912402700727821e-6,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p0009765625.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.00048828125,6.515050957576576e-6,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p00048828125.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.000244140625,1.0134189610924799e-5,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p000244140625.csv
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0001220703125,1.3796949992472974e-5,1024,0,finals/julia/tsit5/fixed_fixed_dt_0p0001220703125.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.059805823620671945,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p01.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.001,0.0072205661677164955,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.0001,0.0009214167886508007,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p0001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-5,6.0728375364265324e-5,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em05.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-6,4.066657526066487e-6,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em06.csv
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0625,0.004405417172015433,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.03125,3.841758435857515e-5,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.015625,2.4224012406179124e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0078125,1.9841837551440524e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.00390625,2.477627173411974e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.001953125,3.418124784048757e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0009765625,4.841835903878789e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.00048828125,6.853174085970592e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.000244140625,9.606165319974757e-6,32768,0,
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0001220703125,1.3422491287140628e-5,32768,0,
julia,tsit5,work_precision,adaptive,julia,32768,tol,0.010000000000000002,0.05976581980275581,32768,0,
