traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14371223e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
1,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14426402e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
2,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1448158e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
3,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14536758e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
4,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14591964e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
5,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14647142e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
6,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1470232e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
7,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14757526e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
8,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14812704e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
9,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1486791e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
10,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14923088e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
11,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.14978293e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
12,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15033499e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
13,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15088705e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
14,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15143911e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
15,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15199117e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
16,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15254323e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
17,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15309528e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
18,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15364734e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
19,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1541994e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
20,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15475174e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
21,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1553038e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
22,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15585585e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
23,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15640819e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
24,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15696053e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
25,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15751258e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
26,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15806492e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
27,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15861726e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
28,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15916959e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
29,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.15972165e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
30,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16027399e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
31,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1608266e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
32,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16137894e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
33,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16193127e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
34,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16248361e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
35,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16303594e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
36,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16358856e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
