traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427097e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
1,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427153e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
2,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427208e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
3,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427264e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
4,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427292e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
5,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427347e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
6,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427403e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
7,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427458e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
8,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427514e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
9,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427569e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
10,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427625e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
11,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7042768e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
12,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427736e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
13,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427764e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
