tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,naccept,nreject,converged
0.01,0,2.26026225,-3.58829618,-2.14987278,-0.771976471,-1.30794358,0.424879819,5.46147537,-2.46029282,2.14347243,3.08528638,5.80031347,-1.75009024,-0.919378161,1.11049259,6.57347775,1.46185958,0.0940846875,3.05136108,4.93760633,2.51961327,1.96010792,3.22965765,3.86679244,3.38621163,2.94430661,2.52943301,1.67857516,0.995298445,0.893351614,1.18241847,2.07449841,3.77307153,6,1,1
0.01,1,2.21827888,-3.61042166,-2.12180257,-0.776714742,-1.29864037,0.469908744,5.43815851,-2.49746108,2.15627217,3.16793418,5.77645111,-1.82877076,-0.873299301,1.12265539,6.59459019,1.44526553,0.0903198868,3.0627377,4.96566391,2.52020979,1.95948827,3.24347019,3.88565683,3.39473486,2.94579387,2.52974439,1.67971468,1.00069392,0.903256238,1.19751763,2.10004306,3.79725647,6,1,1
0.01,2,2.18166137,-3.63605142,-2.0998373,-0.785190463,-1.29576409,0.482138753,5.43979406,-2.50340223,2.16922688,3.21582222,5.76910591,-1.87004352,-0.854656518,1.1279577,6.61651278,1.43666244,0.0909110531,3.07772326,4.98932362,2.51758838,1.96184683,3.25992417,3.90446711,3.40170527,2.94711709,2.53046727,1.67921865,1.00238824,0.908875883,1.20765054,2.11895132,3.81643558,6,1,1
0.01,3,2.14073801,-3.65787172,-2.07447696,-0.793146849,-1.29137766,0.513609648,5.42431879,-2.52946138,2.18025589,3.29064727,5.74574089,-1.93898547,-0.813653708,1.14306629,6.63713121,1.42031479,0.0889192149,3.09019661,5.01656437,2.51683712,1.96156442,3.27445388,3.9238112,3.40983796,2.94803262,2.53058743,1.68020105,1.00717521,0.917882502,1.22177482,2.14323258,3.83911705,6,1,1
0.01,4,2.10209846,-3.68154478,-2.05196738,-0.801504552,-1.28838933,0.530573666,5.42124891,-2.54072976,2.19201279,3.34538269,5.73273659,-1.98737979,-0.788921356,1.15163636,6.6585927,1.40947199,0.0889221206,3.10449886,5.04115772,2.51467395,1.96336222,3.29044843,3.94250011,3.41688204,2.94949555,2.53133965,1.67977381,1.00938106,0.924390316,1.23311877,2.16378522,3.85881567,6,1,1
0.01,5,2.05977106,-3.70178676,-2.02681971,-0.806983173,-1.281901,0.565577805,5.40268517,-2.57035589,2.20138955,3.42035842,5.70648384,-2.05745745,-0.746748865,1.16739154,6.67916489,1.39230764,0.0871101841,3.11701632,5.06847429,2.51357079,1.96297503,3.30514717,3.96203589,3.42470384,2.95002937,2.53151989,1.68112457,1.01438844,0.933472633,1.24738359,2.18833065,3.88084316,6,1,1
0.01,6,2.02382374,-3.72745943,-2.00757337,-0.822087646,-1.2868737,0.55885452,5.41684294,-2.56016564,2.21378946,3.45757103,5.70202732,-2.08505917,-0.73648864,1.17518115,6.70046568,1.38540339,0.0901634619,3.13370013,5.09049082,2.50911498,1.96649146,3.32288051,3.980901,3.43061519,2.95102787,2.53248143,1.68007076,1.01475894,0.937680244,1.25615323,2.20560479,3.89820695,6,1,1
0.01,7,1.98051572,-3.74711275,-1.98297846,-0.824968636,-1.27763724,0.59593904,5.39809752,-2.59058928,2.22300315,3.52656364,5.67782354,-2.15042281,-0.699039936,1.186759,6.7215929,1.37031031,0.0883259475,3.14637566,5.11711025,2.50776148,1.96678185,3.33805919,4.00011969,3.43789387,2.95175338,2.53289557,1.68083823,1.01887977,0.946083903,1.26972342,2.22925043,3.91876936,6,1,1
0.01,8,1.94297016,-3.7710166,-1.96349549,-0.840947986,-1.28448045,0.588725626,5.41030121,-2.58190656,2.23395252,3.57046938,5.66717482,-2.18442988,-0.682528257,1.19986749,6.74217939,1.36061788,0.0912996754,3.16263247,5.1399579,2.50361872,1.96970642,3.35528827,4.01904297,3.44406223,2.95264125,2.5335114,1.67996264,1.02005231,0.951228619,1.27965724,2.24811125,3.93664551,6,1,1
0.01,9,1.89719999,-3.78836656,-1.93827593,-0.843493223,-1.2740711,0.634667039,5.38398838,-2.62153697,2.24101257,3.64645386,5.63633108,-2.25724006,-0.638412595,1.21563303,6.76265812,1.34217525,0.0891784355,3.17481327,5.167768,2.50213718,1.96886289,3.3699851,4.03881741,3.45168829,2.95288038,2.5335176,1.68136156,1.02551961,0.960990846,1.29473841,2.27367139,3.95766711,6,1,1
0.01,10,1.85767555,-3.81054425,-1.91828692,-0.85376507,-1.27435553,0.640052795,5.38888359,-2.62270975,2.25151467,3.69117355,5.62469006,-2.29474473,-0.620767057,1.22486687,6.78382969,1.33255196,0.0913941115,3.19075799,5.19087315,2.49789572,1.97166979,3.3873744,4.0578022,3.45748091,2.95356679,2.5343008,1.68072259,1.02686262,0.96630621,1.30478489,2.29263234,3.97464824,6,1,1
0.01,11,1.81431592,-3.82925034,-1.89587665,-0.863880515,-1.27416241,0.659476757,5.37937021,-2.6404078,2.25863266,3.75583839,5.5974865,-2.35271955,-0.586091638,1.24371767,6.80373621,1.31628537,0.0914122835,3.2042551,5.21698427,2.49553013,1.97224569,3.40298891,4.07717276,3.46426463,2.95393252,2.53466892,1.6813035,1.03052223,0.974167287,1.31806099,2.3161149,3.9942379,6,1,1
0.01,12,1.77179909,-3.84859729,-1.87496185,-0.870777428,-1.27046132,0.678022444,5.37407303,-2.65410328,2.26714349,3.80882215,5.57882452,-2.40008402,-0.560767114,1.25534749,6.82459354,1.30369103,0.0928031579,3.21942401,5.2412982,2.49147773,1.97404659,3.41989374,4.09652519,3.47025394,2.95423079,2.53519535,1.68128359,1.03316092,0.980929554,1.32977009,2.33717632,4.0115571,6,1,1
0.01,13,1.72390211,-3.86318612,-1.85080373,-0.876007974,-1.2640295,0.71989882,5.34662867,-2.69360781,2.27014875,3.88712144,5.53952265,-2.47418118,-0.513146579,1.27935481,6.84382915,1.28164029,0.0914651006,3.23145509,5.26965427,2.48971844,1.97279692,3.43456841,4.11653423,3.47749162,2.95397711,2.53519058,1.68301737,1.0389961,0.991151214,1.34576583,2.3641808,4.03210497,6,1,1
0.01,14,1.67530775,-3.87607503,-1.82771528,-0.875283778,-1.25226223,0.768333673,5.31464863,-2.73794246,2.27128649,3.96426797,5.49887323,-2.54925561,-0.464779764,1.30192482,6.86338711,1.25912917,0.0900423229,3.24343586,5.29803085,2.48784161,1.97147977,3.44924808,4.13656712,3.48471117,2.95369935,2.53513384,1.68478358,1.04501653,1.00158143,1.361902,2.39116526,4.05160522,6,1,1
0.01,15,1.63538027,-3.89776444,-1.80928516,-0.890287578,-1.25792503,0.761442304,5.32854128,-2.72876501,2.28258276,4.0010128,5.48995638,-2.5769105,-0.45495066,1.31063032,6.88426495,1.25237131,0.0939562246,3.26083493,5.31936455,2.48191786,1.97567129,3.46802211,4.1555233,3.48924971,2.95395613,2.53602266,1.68362391,1.04536319,1.00583577,1.37084591,2.40874863,4.06655693,6,1,1
0.01,16,1.59427142,-3.91764617,-1.79096639,-0.902781963,-1.26250827,0.756417215,5.33894539,-2.72273588,2.29182076,4.04336977,5.47467709,-2.61115265,-0.438564241,1.32392776,6.90473509,1.24188685,0.0974383652,3.27750969,5.34197998,2.47646856,1.97877955,3.48601127,4.17471981,3.49426842,2.95405221,2.53668666,1.68291831,1.04647207,1.01080441,1.38072717,2.42768288,4.08183193,6,1,1
0.01,17,1.54853201,-3.93340993,-1.77060127,-0.90865171,-1.2579397,0.780670762,5.32759809,-2.7432704,2.29695916,4.09962797,5.44858932,-2.66250277,-0.409391016,1.33973646,6.92484188,1.22638381,0.0989303067,3.29234171,5.36700678,2.47214675,1.98004854,3.50283122,4.19428015,3.49984384,2.95388603,2.53718972,1.68327415,1.04966843,1.01823711,1.39346886,2.45023894,4.09823084,6,1,1
0.01,18,1.49422312,-3.94064689,-1.74652636,-0.906273067,-1.243415,0.849686682,5.27566671,-2.81064272,2.29047847,4.19088268,5.39026356,-2.75308919,-0.347490668,1.3730315,6.94272041,1.19598174,0.0963261798,3.30232668,5.39807796,2.47117472,1.97659826,3.51626515,4.21493626,3.50745893,2.9529202,2.53680563,1.6862992,1.05798352,1.03127468,1.41295648,2.48174882,4.11838913,6,1,1
0.01,19,1.45111585,-3.95853996,-1.72806692,-0.918692052,-1.24711692,0.850871086,5.28132296,-2.8109014,2.29827881,4.23511171,5.37163591,-2.78966236,-0.329751462,1.38728344,6.96283197,1.1846416,0.0997572467,3.31888604,5.42086744,2.46535349,1.97956955,3.53448963,4.23440886,3.51203346,2.95247197,2.5373826,1.68599355,1.05971003,1.03684378,1.42349446,2.5014782,4.13305044,6,1,1
0.01,20,1.40366077,-3.97127104,-1.70903111,-0.91942507,-1.23790753,0.883546948,5.26305294,-2.8387394,2.30055237,4.29231787,5.34099293,-2.8436048,-0.298763484,1.40314341,6.9828949,1.16805089,0.100865953,3.33329177,5.44622898,2.46093893,1.9806205,3.55139852,4.25414658,3.51719999,2.9518609,2.53788853,1.68671763,1.06330669,1.04464185,1.4367007,2.52457595,4.14814901,6,1,1
0.01,21,1.35456812,-3.98309398,-1.68907273,-0.925852478,-1.23482072,0.912402034,5.24334431,-2.86799192,2.29981709,4.35587311,5.30212784,-2.90257692,-0.261697888,1.42920899,7.0014081,1.14667559,0.102540471,3.34736133,5.47255135,2.4566021,1.98072898,3.56771278,4.27425528,3.52279186,2.95102501,2.53814983,1.6878742,1.06779218,1.05346417,1.45140767,2.54988551,4.16439867,6,1,1
0.01,22,1.31407976,-4.00285769,-1.67271185,-0.943987131,-1.24693155,0.886943519,5.26919031,-2.8446908,2.31155133,4.38841248,5.29133558,-2.9248178,-0.254568785,1.44252026,7.02153397,1.13881946,0.108602211,3.36633396,5.49295759,2.44879127,1.98553038,3.58741999,4.29336548,3.52626133,2.95069766,2.53898859,1.68649662,1.06764734,1.05705416,1.4597429,2.56677222,4.17708969,6,1,1
0.01,23,1.26405299,-4.01300526,-1.65266204,-0.951756001,-1.24650097,0.912666678,5.24877262,-2.87441111,2.30911732,4.45513821,5.24614954,-2.98648548,-0.21520941,1.47311771,7.03932476,1.11565435,0.110075705,3.37986207,5.51980352,2.44468307,1.98526204,3.60350847,4.31363249,3.53173733,2.94950247,2.53917909,1.68799186,1.07251847,1.06625259,1.47511685,2.59316874,4.19338751,6,1,1
0.01,24,1.21563649,-4.02482224,-1.6345886,-0.957192242,-1.24260974,0.93684572,5.23522043,-2.89690709,2.31010151,4.50906515,5.21422815,-3.0359745,-0.186759427,1.49333525,7.05845213,1.09782708,0.112884432,3.39532471,5.54447269,2.43903756,1.98675275,3.62101293,4.33340836,3.53630185,2.94870806,2.5396359,1.68843758,1.07594216,1.07397449,1.48834801,2.61626673,4.20717859,6,1,1
0.01,25,1.16714311,-4.03612328,-1.61736655,-0.959344029,-1.23435509,0.967645347,5.2193017,-2.9223218,2.3113935,4.55950975,5.18596363,-3.08323097,-0.16085577,1.50859475,7.07823658,1.08174479,0.115389787,3.41088867,5.56877518,2.43299127,1.98851526,3.63901114,4.35337305,3.54032278,2.94749618,2.54030943,1.68920958,1.07921183,1.08126688,1.50096262,2.63843846,4.21986294,6,1,1
0.01,26,1.12368107,-4.05115986,-1.60200226,-0.972520173,-1.24459374,0.946588635,5.23774052,-2.90675998,2.31919956,4.60162497,5.16109276,-3.11607194,-0.143992156,1.53087378,7.09711742,1.06806982,0.121424936,3.42920971,5.59044838,2.4251647,1.99218643,3.65819979,4.37291813,3.54377413,2.94660306,2.54094124,1.68842626,1.08006954,1.08608639,1.51123178,2.65818524,4.23241329,6,1,1
0.01,27,1.08218277,-4.06810045,-1.58929813,-0.979641259,-1.24579453,0.934106171,5.25949955,-2.88827729,2.33154917,4.62920523,5.15437508,-3.1370647,-0.137950435,1.53724873,7.11823416,1.06057489,0.127960235,3.44920993,5.61023283,2.41573691,1.99737716,3.67891121,4.39212513,3.54601431,2.94594884,2.54229569,1.68710744,1.07944238,1.08911622,1.51874745,2.67356682,4.24178696,6,1,1
0.01,28,1.01135445,-4.05764341,-1.56394565,-0.967068613,-1.21483374,1.07856202,5.13585949,-3.03582835,2.29297328,4.74610615,5.04990911,-3.26118159,-0.0493592434,1.59509051,7.13133383,1.0094527,0.12175905,3.45280099,5.64850378,2.41798472,1.98811936,3.68872333,4.4144969,3.55475044,2.94295597,2.54103971,1.69394505,1.0943768,1.10952449,1.54756737,2.71717095,4.26104832,6,1,1
0.01,29,0.962682605,-4.06876183,-1.54635668,-0.981888175,-1.22339833,1.08068454,5.13383484,-3.04510593,2.29295349,4.79706144,5.01346064,-3.30512285,-0.0245006327,1.62422538,7.1486845,0.98947221,0.126634002,3.46931911,5.67253685,2.41087222,1.98975551,3.70675707,4.4348464,3.55867434,2.94121242,2.54122853,1.69459653,1.09768748,1.11682451,1.56067193,2.74043107,4.27374935,6,1,1
0.01,30,0.913044572,-4.0775876,-1.53106487,-0.985010147,-1.21802402,1.10440004,5.12057352,-3.06650233,2.29201174,4.84522104,4.98125887,-3.34951115,-0.000613896584,1.64324236,7.16759253,0.972428024,0.130215243,3.48544693,5.69629431,2.40403581,1.99199736,3.72525883,4.45463753,3.56183815,2.93983603,2.54203296,1.69510102,1.10060549,1.12396014,1.57345355,2.76290631,4.28458452,6,1,1
0.01,31,0.870819569,-4.09297276,-1.5174253,-0.999734879,-1.22995222,1.07248032,5.15069151,-3.03922153,2.30397558,4.87790966,4.96389771,-3.37237906,0.00705259852,1.65967607,7.18703413,0.962895453,0.13759689,3.50561285,5.71597433,2.39431334,1.9972899,3.74597502,4.47383308,3.56379557,2.93886328,2.54306746,1.69368446,1.10017717,1.12732649,1.58181083,2.77986193,4.2942977,6,1,1
0.01,32,0.814040542,-4.09481382,-1.50011063,-0.999738812,-1.21881878,1.13159251,5.10354137,-3.09879518,2.28894472,4.94293118,4.90980673,-3.4372499,0.0477926731,1.69282889,7.20341349,0.93390888,0.13952437,3.51869559,5.74374199,2.38920069,1.99615157,3.76231337,4.49469709,3.56808209,2.93653488,2.54334211,1.69637096,1.10680354,1.13843179,1.59948707,2.8086946,4.30627537,6,1,1
0.01,33,0.75607115,-4.09364557,-1.4842689,-0.995874286,-1.20504081,1.19635344,5.04803181,-3.16603541,2.26807499,5.01191854,4.84648991,-3.50742769,0.0941817239,1.73353231,7.21848679,0.899286151,0.141459897,3.53086805,5.77301836,2.3844974,1.9934572,3.77753282,4.51612425,3.57333946,2.93396926,2.54298162,1.69932342,1.11448872,1.15081024,1.61880517,2.83955288,4.31804943,6,1,1
0.01,34,0.71733433,-4.11307526,-1.47213352,-1.01413143,-1.22078121,1.14287722,5.10277414,-3.11294913,2.29175282,5.02975416,4.84838104,-3.51304126,0.0863768905,1.73569095,7.24009323,0.900381505,0.150606081,3.55430746,5.78866482,2.37215686,2.00223112,3.80108023,4.53440523,3.57301617,2.93335891,2.54486799,1.69636631,1.11105406,1.15096152,1.62320447,2.85123658,4.32515526,6,1,1
0.01,35,0.656970501,-4.10375881,-1.45141995,-1.01696014,-1.202088,1.20905113,5.02302074,-3.20500636,2.25050974,5.10791874,4.76184893,-3.59566641,0.147707254,1.79825544,7.25142002,0.853737175,0.150408387,3.56267619,5.82225609,2.36959743,1.99639034,3.81400776,4.55664444,3.57920146,2.92996097,2.54424143,1.70149529,1.12208033,1.16688335,1.64708734,2.88819242,4.33816576,6,2,1
0.01,36,0.634642243,-4.1426754,-1.45319748,-1.0296092,-1.22929108,1.08742809,5.17366886,-3.04641438,2.32511187,5.0768013,4.83655119,-3.54337025,0.0913735628,1.75161994,7.281147,0.885282218,0.169090852,3.59958005,5.82431698,2.34711289,2.01502395,3.84607697,4.57341528,3.5737102,2.9301281,2.54782867,1.69368637,1.10877228,1.15536296,1.63633597,2.87934351,4.3378706,6,1,1
0.01,37,0.552161038,-4.11152458,-1.42364526,-1.02637267,-1.19702911,1.25692582,4.98327827,-3.26128888,2.23307657,5.2076478,4.67460442,-3.68949413,0.200723186,1.85868752,7.28426123,0.806006372,0.160517767,3.59527826,5.870996,2.35377288,1.999264,3.85104108,4.59748745,3.58428025,2.92537618,2.5455699,1.7040031,1.13015044,1.18366039,1.67639554,2.93787384,4.35591936,6,2,1
0.01,38,0.499337047,-4.11473846,-1.41027021,-1.03145111,-1.19537485,1.28016531,4.96387386,-3.2893157,2.22367048,5.25729609,4.6294136,-3.7358036,0.226769373,1.89076281,7.30013084,0.780673862,0.165923297,3.61154962,5.89553308,2.3458457,2.00039554,3.86926746,4.61805582,3.58698535,2.92285013,2.54597902,1.70545042,1.13449502,1.19215,1.69116998,2.96292281,4.36434793,6,2,1
0.01,39,0.449470967,-4.1267333,-1.40073061,-1.03704083,-1.20942605,1.28130603,4.9805088,-3.2800467,2.23701072,5.29755735,4.60391855,-3.76772356,0.234657928,1.90422893,7.31936836,0.769243598,0.174026951,3.63230681,5.91480494,2.33528304,2.00579572,3.89060044,4.63724804,3.58759713,2.92124939,2.54714799,1.70436442,1.13460028,1.19624436,1.70067346,2.98125815,4.37096453,6,1,1
0.01,40,0.405396461,-4.13826704,-1.39129746,-1.04351962,-1.21052551,1.26634586,5.00661659,-3.25872183,2.25131321,5.32438803,4.59359312,-3.78646922,0.237933487,1.9104538,7.33984566,0.762712598,0.18247664,3.65458512,5.93244028,2.32276535,2.01273799,3.91359282,4.65636778,3.58692575,2.91947365,2.54880404,1.70318544,1.13394797,1.19917965,1.70815301,2.99632788,4.3758626,6,1,1
0.01,41,0.341365069,-4.12867308,-1.37675226,-1.03970432,-1.19646573,1.3529923,4.92400217,-3.35359335,2.21216989,5.39382839,4.51526642,-3.86119843,0.285203815,1.96212089,7.35147715,0.719679236,0.184663653,3.66519976,5.96346283,2.31820464,2.00847936,3.92813778,4.67848921,3.59153128,2.91573787,2.54839897,1.7074976,1.14354801,1.2137953,1.73081386,3.03135633,4.38419676,6,1,1
0.01,42,0.295266569,-4.13719273,-1.3656615,-1.05199707,-1.20743287,1.32240736,4.95019579,-3.33310056,2.21988392,5.42997885,4.48402405,-3.88839412,0.296263456,1.98838747,7.36849499,0.703399003,0.193685129,3.68626523,5.98300505,2.30643153,2.013587,3.94967651,4.69820261,3.59171009,2.91348433,2.54952359,1.70693648,1.14415741,1.21829128,1.74097753,3.05062819,4.39050388,6,1,1
0.01,43,0.231589124,-4.12738705,-1.35260379,-1.04764128,-1.1923939,1.4107033,4.86739492,-3.4268651,2.17944551,5.49308014,4.41132069,-3.95796919,0.338672876,2.03684211,7.38014174,0.661533833,0.196756855,3.69775534,6.01308441,2.3012197,2.01024795,3.96503067,4.71988487,3.59525847,2.90987444,2.54979134,1.71129429,1.15328443,1.23237836,1.7629354,3.08437777,4.39686108,6,1,1
0.01,44,0.180594102,-4.12336588,-1.33859169,-1.05735111,-1.18274415,1.41721594,4.84294844,-3.45804453,2.15631199,5.53619099,4.3587985,-3.99984479,0.36712414,2.08178234,7.39279652,0.628633678,0.202452198,3.71318126,6.03898382,2.29260731,2.01040053,3.98303699,4.74095154,3.59727216,2.90662861,2.55030084,1.71355665,1.15876329,1.24222898,1.77964628,3.11163568,4.40309429,6,2,1
0.01,45,0.140564427,-4.14461708,-1.33441842,-1.06504977,-1.20300364,1.36565721,4.92198896,-3.38377976,2.20321202,5.55457115,4.36947155,-4.00196266,0.350786895,2.06761861,7.41737556,0.638895154,0.214983478,3.74217319,6.04945612,2.27543449,2.02285075,4.01040125,4.75852442,3.59344077,2.90561581,2.5527916,1.70934761,1.15295243,1.23962498,1.78045046,3.1182735,4.40519762,6,1,1
0.01,46,0.0708701685,-4.11780643,-1.31709528,-1.06264603,-1.17448533,1.47894537,4.77820253,-3.53664732,2.11627388,5.62691927,4.2573514,-4.09241438,0.415956736,2.15473604,7.4206543,0.570474505,0.215137556,3.74638653,6.0879879,2.27403665,2.01252007,4.02075911,4.78259087,3.59988713,2.90022206,2.55162096,1.71730101,1.16871309,1.26119506,1.81216228,3.16429257,4.41161108,6,2,1
0.01,47,0.0176245905,-4.11813641,-1.30741179,-1.06797063,-1.17513013,1.49464726,4.76600122,-3.55768323,2.10667253,5.66958189,4.2128706,-4.13066959,0.433967501,2.18789577,7.43485641,0.543872356,0.223334998,3.76504898,6.11052465,2.26334071,2.0149436,4.0407443,4.80315447,3.60022211,2.89697862,2.55272913,1.71875775,1.17215252,1.2687211,1.82625365,3.18835187,4.4157548,6,2,1
0.01,48,-0.0375077985,-4.11470079,-1.29773152,-1.07133317,-1.17278695,1.5218854,4.73742247,-3.59365892,2.087147,5.71338177,4.16185331,-4.1744175,0.455891818,2.22565889,7.44803858,0.513695657,0.230559394,3.78217888,6.13456011,2.25382471,2.01638627,4.05976009,4.8236227,3.60119987,2.89398217,2.55342793,1.72028017,1.17685556,1.27809215,1.84256327,3.2147007,4.41891909,6,2,1
0.01,49,-0.0881706029,-4.11578989,-1.28931344,-1.07520533,-1.17095709,1.5329839,4.73187923,-3.60607576,2.08262706,5.74978828,4.12780333,-4.20670795,0.468092144,2.2478652,7.46438217,0.495031953,0.23863405,3.80233264,6.15506887,2.24162769,2.02067256,4.08141184,4.8436842,3.60016441,2.89086843,2.55488133,1.72101831,1.17913043,1.28436077,1.85476172,3.23578,4.42115164,6,2,1
0.01,50,-0.125629976,-4.13850832,-1.28748226,-1.08397126,-1.19703841,1.45739269,4.83684349,-3.50829005,2.14338946,5.77098036,4.13559103,-4.20607662,0.450474411,2.23584104,7.4890027,0.506430984,0.253421426,3.83418083,6.1630702,2.22220612,2.03487659,4.11042929,4.8607769,3.59474444,2.88979602,2.55775857,1.7163285,1.17206371,1.2801156,1.85362756,3.24021149,4.42244291,6,1,1
0.01,51,-0.20260331,-4.1008749,-1.27099109,-1.07970631,-1.16376793,1.60743487,4.64402676,-3.70693231,2.02121401,5.83850002,4.00947666,-4.30282402,0.517699778,2.33981466,7.48593044,0.421283692,0.253757983,3.83495259,6.20600319,2.22251129,2.02053833,4.11796618,4.88613129,3.60226297,2.88337541,2.55622792,1.72631812,1.19124818,1.30589032,1.89131081,3.29323506,4.42486334,6,2,1
0.01,52,-0.251920313,-4.11165047,-1.26605988,-1.08569241,-1.1858263,1.58774126,4.68672562,-3.67568636,2.04752254,5.87687683,3.98222542,-4.32742214,0.515336335,2.34991741,7.5054121,0.414881259,0.265240818,3.86044049,6.22057533,2.20749998,2.02949882,4.14299774,4.90468454,3.59884095,2.88088083,2.5581181,1.72473896,1.18978667,1.30806005,1.8986274,3.30850482,4.42617321,6,1,1
0.01,53,-0.296327412,-4.11818266,-1.26082718,-1.09175098,-1.18870842,1.5614984,4.72362328,-3.64596987,2.06607533,5.90540266,3.96370649,-4.34462833,0.51725924,2.36142635,7.52397585,0.40552932,0.276222169,3.88536191,6.23631239,2.19167328,2.03744221,4.16764593,4.92371178,3.59566736,2.87833166,2.5600996,1.72354567,1.18878853,1.31061804,1.90605342,3.32338309,4.42671299,6,1,1
0.01,54,-0.346393079,-4.1184206,-1.25458872,-1.09569502,-1.18794036,1.56696737,4.72456551,-3.65214562,2.06385159,5.93956804,3.93000555,-4.3740201,0.527304232,2.3848424,7.5394969,0.385646254,0.285931379,3.90713954,6.25553846,2.17787862,2.04248667,4.19025278,4.94362545,3.59342074,2.87499571,2.5618577,1.72434545,1.19086552,1.31654334,1.917781,3.34349775,4.42667437,6,1,1
0.01,55,-0.413484782,-4.09820986,-1.24471283,-1.09450614,-1.18032932,1.65375984,4.62097836,-3.76240253,1.99580216,5.99154615,3.84296727,-4.44037437,0.561507881,2.45149374,7.5442214,0.331004322,0.291639775,3.9182744,6.28664637,2.1715281,2.03764939,4.20501566,4.96632147,3.59604335,2.86984038,2.56156516,1.72962439,1.20185828,1.33311808,1.9438889,3.38174629,4.42588329,6,1,1
0.01,56,-0.470108449,-4.08095026,-1.23571134,-1.09717512,-1.15838087,1.70068574,4.55204725,-3.83425379,1.94322026,6.02713537,3.78284836,-4.48392963,0.588995993,2.50617433,7.55081034,0.284447402,0.29880628,3.93260455,6.31431627,2.16219163,2.03595519,4.2225399,4.98811626,3.59649134,2.86530447,2.56250596,1.73371148,1.20982671,1.34614134,1.9652909,3.41392398,4.42480803,6,2,1
0.01,57,-0.524122179,-4.07527637,-1.22975624,-1.10052025,-1.15812945,1.71882689,4.53279018,-3.86056519,1.92545903,6.06410217,3.73504329,-4.51967764,0.601992905,2.54207563,7.56256294,0.254848003,0.308667332,3.95262408,6.33568096,2.14971685,2.03916574,4.24362135,5.00837135,3.59480524,2.86159253,2.56390953,1.73532629,1.21364641,1.35436177,1.98052537,3.43852496,4.42331314,6,2,1
