tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,naccept,nreject,converged
0.01,0,2.32471085,-3.54382563,-2.14708662,-0.774617434,-1.26881731,0.56035006,5.3594265,-2.60021567,2.12978745,2.99716163,5.8112793,-1.72305775,-0.974793673,0.994478047,6.58366156,1.49364722,-0.0253375173,2.96493101,5.00920582,2.58487129,1.90416682,3.17690492,3.87115836,3.4202652,2.94568586,2.51168132,1.68447638,1.02008796,0.913348556,1.19762361,2.09111404,3.80199742,11,0,1
0.01,1,2.28510189,-3.57050538,-2.12289405,-0.78390193,-1.26677811,0.575450122,5.35664511,-2.60985804,2.14356041,3.05621243,5.80015135,-1.77518487,-0.948881388,1.0003283,6.60543394,1.48447466,-0.0268726051,2.97787189,5.03441334,2.58391023,1.90550864,3.19228768,3.89002967,3.42800498,2.94707012,2.51213765,1.68427181,1.02266419,0.920203805,1.2094456,2.11243272,3.82307053,11,0,1
0.01,2,2.24911356,-3.59347892,-2.09848356,-0.792389214,-1.2617197,0.606082797,5.34218884,-2.63533473,2.15478754,3.12037158,5.78529787,-1.83346987,-0.914943933,1.01105309,6.6267581,1.46918654,-0.0295357108,2.98974037,5.06272173,2.58274269,1.90384269,3.2063427,3.9100287,3.43663931,2.94764471,2.51204181,1.68533647,1.0271219,0.928334355,1.22218668,2.13475132,3.84559178,11,0,1
0.01,3,2.20786095,-3.61934519,-2.07446814,-0.801583171,-1.25997329,0.620308042,5.3396287,-2.64447141,2.1677084,3.17943883,5.77242327,-1.88524032,-0.888847709,1.01809978,6.64831114,1.46015477,-0.0302864313,3.00309372,5.08730602,2.58138776,1.90569794,3.22212887,3.92884326,3.44402504,2.94897461,2.51257563,1.6849333,1.02938211,0.935020924,1.23403847,2.15628076,3.86614442,11,0,1
0.01,4,2.16982985,-3.6418848,-2.05001736,-0.810086608,-1.25524795,0.649705529,5.325212,-2.66923046,2.17801356,3.2431066,5.75562191,-1.94328547,-0.855036139,1.02923512,6.6695447,1.44488883,-0.0328262746,3.01497507,5.11554337,2.57989931,1.90410602,3.23640347,3.94895673,3.45244312,2.94941735,2.51244831,1.68574882,1.03348541,0.942937195,1.2467792,2.17883301,3.88818216,11,0,1
0.01,5,2.12798309,-3.66628957,-2.02659297,-0.818945885,-1.25341523,0.664405704,5.32191515,-2.67920732,2.18984437,3.30163908,5.74108219,-1.99485135,-0.828306913,1.03746831,6.69098902,1.43500805,-0.0333298296,3.0284164,5.14029646,2.57821965,1.90584803,3.25228691,3.96784234,3.45954275,2.95045328,2.51298785,1.68568087,1.03614199,0.949862838,1.25878823,2.20046329,3.90809011,11,0,1
0.01,6,2.08607054,-3.68922806,-2.0026691,-0.827668071,-1.2505821,0.68482542,5.31375694,-2.69527388,2.20044613,3.36244416,5.72407532,-2.04931879,-0.798486948,1.04727364,6.7122407,1.42302823,-0.0346380621,3.04116464,5.16638708,2.57652855,1.90631354,3.26763391,3.98733711,3.46713614,2.95113468,2.51304889,1.68569291,1.03926158,0.957281232,1.2713964,2.222996,3.92868114,11,0,1
0.01,7,2.04681873,-3.7098763,-1.97879148,-0.83582145,-1.24569488,0.716005087,5.29686737,-2.72278881,2.20870709,3.4259088,5.70416069,-2.10735178,-0.763557315,1.06060767,6.73315907,1.40645218,-0.0367906541,3.05303645,5.19482565,2.57452631,1.90442312,3.28199005,4.00777578,3.47541642,2.95121408,2.5127337,1.68653429,1.04350805,0.965371072,1.28441048,2.24594283,3.95006132,11,0,1
0.01,8,2.00349689,-3.73238349,-1.9556675,-0.844352365,-1.24359787,0.73288548,5.29101229,-2.73563457,2.21867132,3.48536062,5.68604708,-2.16018152,-0.73473233,1.07130384,6.75429296,1.39482903,-0.0369634777,3.06655335,5.21999884,2.57217073,1.90571296,3.2979877,4.0270443,3.48232961,2.95190048,2.51317072,1.6864512,1.04613781,0.972328484,1.29664433,2.26805687,3.9694612,11,0,1
0.01,9,1.96166587,-3.75300503,-1.93273187,-0.852410614,-1.24020708,0.756309152,5.27966738,-2.75551987,2.2270267,3.54591918,5.6659317,-2.21491432,-0.703257442,1.08361888,6.77522802,1.38075197,-0.0381005257,3.07915807,5.24680567,2.56992865,1.90539765,3.31320214,4.04692698,3.48961639,2.95192122,2.51331592,1.68733478,1.04995024,0.979959369,1.30929673,2.29055142,3.98919368,11,0,1
0.01,10,1.91670358,-3.77443719,-1.91016829,-0.860760987,-1.23854697,0.771310449,5.27486229,-2.76679468,2.23638797,3.6046629,5.64635181,-2.26695108,-0.675100625,1.09472084,6.7962451,1.36976433,-0.0378394723,3.09291196,5.27137518,2.56746912,1.90732634,3.32956219,4.06596136,3.49608564,2.95256519,2.51381612,1.68717194,1.05259454,0.987070441,1.32176125,2.31289101,4.0077157,11,0,1
