dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,converged
0.5,0,2.61206651,3.15813065,3.34094381,2.61018682,2.67418003,3.22068405,3.13388109,2.56958818,2.88931632,3.29557323,2.81861234,2.6789875,3.16937208,3.06724191,2.68271565,2.9730947,3.18146229,2.83527613,2.82643509,3.13943028,3.04578781,2.81042862,2.99848843,3.15658832,2.92845201,2.8616631,3.07739615,3.02675605,2.7730279,2.83552098,2.90367103,2.59034586,1
0.5,1,2.62503743,3.1701951,3.34722209,2.61852098,2.68796611,3.23261833,3.13960099,2.57874608,2.90319991,3.30535603,2.8247478,2.69030285,3.18225312,3.07479429,2.69096327,2.98580718,3.19206882,2.84249949,2.83713317,3.15181613,3.05428314,2.81901431,3.01033592,3.16700935,2.93613291,2.87142015,3.08829904,3.03502226,2.78111029,2.84593391,2.91429496,2.60123539,1
0.5,2,2.6380043,3.18224216,3.35348797,2.62689257,2.70175743,3.2445066,3.14531755,2.58795071,2.91707516,3.31508946,2.83089757,2.70165515,3.1951139,3.0823133,2.69923544,2.99854517,3.20265055,2.84971046,2.84785867,3.1642065,3.06274629,2.82760048,3.02220798,3.17742014,2.94379139,2.88119316,3.09921694,3.04326773,2.78919554,2.85637927,2.92491794,2.61210322,1
0.5,3,2.65095806,3.19426537,3.35975385,2.63529325,2.71554518,3.25635695,3.15102744,2.59720111,2.93095756,3.32477212,2.83705211,2.71305537,3.20795965,3.08978629,2.70753837,3.01131463,3.21318913,2.8569057,2.85862684,3.17659616,3.07117128,2.83620358,3.0341053,3.18779945,2.95143461,2.89099646,3.11013842,3.05148745,2.79729462,2.86685419,2.93554091,2.62295651,1
0.5,4,2.66391134,3.20628858,3.36600304,2.64371657,2.72934699,3.26816487,3.15672493,2.60650063,2.94483852,3.33440065,2.84322,2.72449923,3.22078776,3.09721994,2.71586776,3.02411699,3.22369909,2.86407542,2.86942625,3.18900323,3.07955265,2.84479713,3.04604173,3.19816756,2.95903397,2.90081811,3.12108803,3.0596807,2.80539179,2.87737632,2.9461689,2.63377213,1
0.5,5,2.67684388,3.21828628,3.37225676,2.6521666,2.7431457,3.27994275,3.16241193,2.61583543,2.95872998,3.34398246,2.84938812,2.73599339,3.233603,3.10460448,2.72422814,3.0369525,3.23416448,2.87123442,2.88027263,3.20140338,3.08789492,2.85341477,3.05800009,3.2085042,2.96662784,2.91066599,3.13203454,3.06785822,2.81349993,2.88791227,2.95679665,2.6445787,1
0.5,6,2.68977237,3.23026848,3.37850189,2.66064692,2.75694585,3.29167676,3.16809607,2.62521672,2.97261667,3.3535161,2.85557175,2.74752855,3.2463994,3.11195421,2.73262024,3.04981589,3.24459672,2.87838006,2.89115191,3.21380734,3.09620023,2.86203551,3.06998658,3.21882033,2.97419095,2.92053652,3.14299798,3.07600808,2.82161498,2.89848852,2.96742439,2.65536094,1
0.5,7,2.70270133,3.24223256,3.38473368,2.66916394,2.7707541,3.30336547,3.17377162,2.63465142,2.98650408,3.36299324,2.86176753,2.75911021,3.25917435,3.1192596,2.74104309,3.06270957,3.25498772,2.88550758,2.9020772,3.22621679,3.10445809,2.87067032,3.08201122,3.22910881,2.98172951,2.93043804,3.15396762,3.08412743,2.82974195,2.90909886,2.97804618,2.66612411,1
0.5,8,2.71560955,3.25418091,3.39097071,2.67769885,2.78455591,3.31502295,3.17944074,2.64411449,3.00039268,3.37243104,2.86796999,2.77072859,3.27193689,3.12653255,2.74948764,3.07562566,3.26535177,2.89262486,2.91302323,3.2386229,3.11269736,2.87931108,3.09404278,3.23938203,2.98926091,2.9403491,3.16494131,3.09224319,2.83787823,2.91972947,2.98867631,2.67687058,1
0.5,9,2.72851586,3.2661159,3.39719534,2.68626571,2.79836464,3.32663369,3.18510699,2.65363646,3.01427627,3.38181067,2.87419319,2.78239322,3.28467155,3.13376451,2.75797105,3.08857226,3.27567101,2.89972472,2.92401719,3.25103426,3.12088418,2.88796139,3.10611796,3.24962854,2.99675679,2.95029449,3.17593408,3.10032129,2.84601688,2.93040299,2.99930239,2.68758607,1
0.5,10,2.74140453,3.27804422,3.40341926,2.69484496,2.81217837,3.33821917,3.1907537,2.66318989,3.0281744,3.39114213,2.88041186,2.79411244,3.29739761,3.14094305,2.76648545,3.10155678,3.28594732,2.90680695,2.9350512,3.26344776,3.12903118,2.89661813,3.11821651,3.25985527,3.00422978,2.96025276,3.18694067,3.10838461,2.85415506,2.94110441,3.00993705,2.69827509,1
0.5,11,2.75431919,3.28994155,3.40961766,2.70348239,2.82599831,3.34974241,3.19640446,2.67280507,3.04205847,3.40041733,2.88665843,2.80586934,3.31009316,3.14809012,2.77503133,3.11456251,3.29618883,2.91387963,2.9461267,3.27586007,3.13713765,2.90530086,3.13035083,3.27004147,3.01168919,2.97026515,3.19794011,3.11640382,2.86233401,2.95184207,3.02053618,2.70895934,1
0.5,12,2.76719356,3.30183148,3.41583276,2.71212173,2.83980846,3.36124277,3.20204926,2.68245053,3.05594635,3.4096508,2.89290977,2.81766796,3.32277298,3.15519977,2.78361559,3.12759757,3.30638695,2.9209435,2.95724154,3.28826761,3.14520741,2.91398954,3.14250088,3.2802124,3.01912999,2.98027778,3.20895481,3.1244235,2.87049937,2.9626019,3.03116608,2.71961403,1
0.5,13,2.78007627,3.31369948,3.42203021,2.72080421,2.85362816,3.37269616,3.20769119,2.69214678,3.06982851,3.41883159,2.89917994,2.82951021,3.33543229,3.16227055,2.79222059,3.14065742,3.31655717,2.92798805,2.96838307,3.30068541,3.15324378,2.92267847,3.15468264,3.2903645,3.02654338,2.99031973,3.21998215,3.13241124,2.87867999,2.9733994,3.0417819,2.73025179,1
0.5,14,2.7929647,3.32555842,3.42821145,2.72950935,2.86745548,3.38410807,3.21332121,2.70188713,3.08371258,3.42796135,2.90546107,2.84139919,3.348068,3.16929746,2.8008678,3.15374947,3.32667351,2.93502283,2.97958064,3.31309175,3.16122723,2.93139887,3.16689873,3.30047011,3.03393531,3.00040722,3.23101258,3.14035702,2.88688016,2.98424006,3.05237961,2.74085665,1
0.5,15,2.80583167,3.33740783,3.4343996,2.73823357,2.88128304,3.39548922,3.21894288,2.71167088,3.09759927,3.43703699,2.91175461,2.85333419,3.36068082,3.17628717,2.80955148,3.16686296,3.33675265,2.94205284,2.99080992,3.32549787,3.16918254,2.9401257,3.1791327,3.3105619,3.04131365,3.01050544,3.24205232,3.14829636,2.89507961,2.99509978,3.062994,2.75144649,1
0.5,16,2.81869125,3.34923077,3.44058537,2.74699283,2.8951056,3.40682602,3.22457075,2.7214942,3.11147785,3.44607282,2.9180603,2.8653028,3.37328029,3.18324041,2.81825161,3.18000674,3.346802,2.94905996,3.00207424,3.33790803,3.17709708,2.9488585,3.19139481,3.32063198,3.04867053,3.02062511,3.25309849,3.15621448,2.90329218,3.00598812,3.0735991,2.76201701,1
0.5,17,2.83155966,3.3610425,3.44675112,2.75578046,2.90893698,3.41811895,3.23019052,2.7313683,3.12535,3.45505285,2.92439413,2.87731814,3.38584232,3.19016218,2.82700539,3.19316936,3.35679841,2.95606875,3.0133853,3.35030913,3.1849699,2.95761538,3.2036891,3.33066297,3.05600476,3.03078699,3.264153,3.16409397,2.91152263,3.01691985,3.0841918,2.77256322,1
0.5,18,2.84441996,3.37282753,3.45291948,2.76459932,2.92276001,3.4293716,3.23581266,2.74128246,3.13922024,3.46398568,2.93073416,2.8893764,3.39838791,3.19703984,2.8357904,3.20636582,3.36675453,2.96306396,3.02473927,3.36270475,3.19280171,2.96639419,3.21600771,3.34066343,3.06333184,3.04097676,3.27520156,3.17195535,2.91977453,3.02786994,3.09477687,2.78310347,1
0.5,19,2.85726833,3.38461494,3.45908308,2.77343035,2.93659306,3.44059682,3.24142122,2.75123692,3.15309596,3.47286868,2.93708682,2.90148044,3.41091228,3.20387435,2.84460354,3.2195859,3.37667346,2.9700458,3.03612781,3.37510324,3.20059681,2.97517371,3.22835064,3.35064602,3.07063031,3.05118442,3.28627181,3.17979741,2.92802048,3.03885961,3.10537076,2.79360437,1
0.5,20,2.87011814,3.39638114,3.4652338,2.78229499,2.95042729,3.45177388,3.24703002,2.7612381,3.16696167,3.48170137,2.94345832,2.91362548,3.42341065,3.21067643,2.85345984,3.23283219,3.38654065,2.97701907,3.0475657,3.3874917,3.20834112,2.98397803,3.24073172,3.36059046,3.07790136,3.06143141,3.29734898,3.18760037,2.93628407,3.04988623,3.11594868,2.80408263,1
0.5,21,2.88296199,3.40812516,3.47138786,2.7911911,2.96425676,3.46290994,3.2526412,2.77128315,3.18081951,3.49048567,2.94985127,2.92580986,3.43588161,3.21744442,2.86234736,3.24609804,3.39637709,2.983989,3.05903292,3.39987803,3.21606302,2.99279475,3.25312424,3.37051487,3.08517289,3.07169485,3.30842018,3.19539475,2.94456267,3.06092858,3.1265254,2.8145566,1
0.5,22,2.89580154,3.41985893,3.47753119,2.80010915,2.9780879,3.4740088,3.25825,2.78136754,3.19467282,3.49922705,2.95625877,2.93802953,3.44832993,3.22417974,2.87126756,3.25938344,3.40616918,2.99094868,3.07054138,3.41225815,3.22373891,3.00162911,3.26554894,3.38040471,3.09241652,3.08199406,3.31950569,3.20315576,2.95285559,3.07201338,3.13709259,2.82499814,1
0.5,23,2.90865254,3.43158531,3.48365307,2.80905414,2.99193811,3.48506498,3.26384401,2.79150724,3.20852733,3.50790501,2.96268415,2.95030403,3.46074867,3.23087001,2.88023162,3.27270198,3.41591334,2.99789643,3.08209682,3.42463636,3.23136878,3.01047778,3.27800655,3.39026308,3.09963679,3.09232736,3.33059502,3.21087933,2.96116233,3.08313775,3.14764547,2.83541274,1
0.5,24,2.9214797,3.44329309,3.48978591,2.81801963,3.00577474,3.49608541,3.26944375,2.80168104,3.22237229,3.51654315,2.96913004,2.96260977,3.47314191,3.237535,2.88922644,3.2860322,3.42562342,3.00484586,3.09367776,3.43700361,3.23897791,3.01933813,3.29047346,3.40010452,3.10684967,3.10267329,3.34169436,3.2185998,2.96947122,3.09428167,3.15820718,2.84580684,1
0.5,25,2.93432641,3.45497799,3.49590158,2.82702565,3.0196147,3.50705862,3.27504516,2.81190252,3.23620915,3.5251298,2.97559333,2.97496319,3.48551226,3.24415565,2.89826345,3.29939771,3.43527722,3.01178074,3.10531974,3.44936466,3.24652767,3.02823424,3.302984,3.40989399,3.11404538,3.11307359,3.3527832,3.22627282,2.97781873,3.10546255,3.16873574,2.8561902,1
0.5,26,2.94716501,3.46664977,3.50201011,2.83605766,3.03346109,3.51799011,3.2806406,2.82217145,3.25004339,3.53366399,2.98207545,2.98735929,3.4978528,3.25074148,2.90733624,3.31278372,3.44489503,3.01871157,3.11699557,3.46172118,3.25404501,3.03713799,3.31551576,3.41966391,3.12121797,3.12349224,3.36388922,3.23393059,2.98616791,3.11667562,3.17926741,2.86654687,1
