tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,naccept,nreject,converged
0.01,0,3.57316971,-2.15662217,-2.92039299,-0.483976066,-1.22658575,1.26509249,5.22094822,-3.19054317,1.46407962,3.08504581,5.8751173,-1.40093422,0.0275245439,2.90726781,5.92230511,0.795307934,1.09195018,3.6761353,4.34599066,2.16455126,2.31133533,3.46889281,3.65784883,3.11854053,3.02241588,2.86045384,2.06092477,1.28165591,1.02700722,1.16469729,1.85644078,3.51615787,17,1,1
0.01,1,3.55899143,-2.18864965,-2.90277743,-0.488256693,-1.2212317,1.29317498,5.20809078,-3.21652174,1.47282112,3.13517857,5.86462116,-1.44069088,0.0500616021,2.93907356,5.93183279,0.774904072,1.10273075,3.70010924,4.35983992,2.16031241,2.31949329,3.4873209,3.67156672,3.12340021,3.02795076,2.86593676,2.06299949,1.28492582,1.0342505,1.17600679,1.87539959,3.54113197,17,1,1
0.01,2,3.54253244,-2.22336769,-2.88439178,-0.493248343,-1.21631551,1.32023573,5.1948328,-3.2428112,1.4820385,3.18505049,5.85387659,-1.4811976,0.0712544471,2.96866703,5.94264364,0.755116463,1.11218572,3.72326064,4.37465525,2.15640521,2.32711434,3.50550961,3.68571949,3.12858129,3.03328538,2.87094617,2.06453657,1.28769672,1.04117191,1.18731511,1.89480317,3.56662536,17,1,1
0.01,3,3.52327132,-2.26098204,-2.86362863,-0.499262244,-1.21135664,1.34651172,5.18095398,-3.26858449,1.49179149,3.2356658,5.84255075,-1.52289939,0.0917004347,2.99619079,5.95455456,0.735551238,1.12041092,3.74573922,4.39059973,2.15267944,2.33411717,3.52349734,3.70034885,3.13406897,3.03838754,2.87540817,2.06542993,1.29004312,1.04799974,1.19877684,1.91471648,3.59266973,17,1,1
0.01,4,3.5000155,-2.30285978,-2.83930206,-0.5068115,-1.20633662,1.37162864,5.16636753,-3.29345727,1.50250685,3.28747749,5.83065367,-1.56631625,0.111169599,3.02055669,5.96820688,0.716460168,1.12682986,3.76715732,4.40822172,2.14924908,2.34017777,3.54116678,3.71576405,3.14004087,3.04303694,2.87902594,2.06550837,1.29180217,1.05459118,1.2103734,1.93532515,3.61956143,17,1,1
0.01,5,3.47788715,-2.3408947,-2.81453156,-0.514059484,-1.19966757,1.40507662,5.14519882,-3.32510424,1.51026607,3.34294248,5.81484127,-1.61207795,0.134632394,3.05197501,5.97772074,0.693763375,1.13617265,3.79106188,4.42406607,2.14396572,2.34681058,3.55988908,3.73112941,3.1450963,3.04750586,2.88346577,2.06656718,1.2941308,1.06165516,1.22266591,1.95700467,3.64746308,17,1,1
0.01,6,3.45686078,-2.37722468,-2.79347396,-0.520213962,-1.19467831,1.43189228,5.12963963,-3.351794,1.51807332,3.39304352,5.8016181,-1.65379679,0.154962808,3.08069158,5.98865652,0.673443556,1.14485848,3.81406188,4.43962049,2.1397543,2.35398412,3.57819343,3.74569774,3.15024233,3.05246687,2.88792682,2.06748652,1.2965554,1.06858611,1.23431766,1.97725737,3.67318392,17,1,1
0.01,7,3.4404242,-2.40764141,-2.77922416,-0.52392447,-1.19130468,1.45358336,5.11986351,-3.37469745,1.52474809,3.43699622,5.7909112,-1.69011652,0.173242986,3.11014938,5.99897623,0.654677808,1.15473783,3.83733559,4.45322466,2.13622332,2.36258006,3.59640622,3.75873446,3.15498662,3.05826187,2.89315534,2.0691371,1.29973555,1.0756216,1.24522471,1.99550807,3.69591999,17,1,1
0.01,8,3.41809225,-2.4436121,-2.75770235,-0.530271053,-1.18626392,1.48068047,5.10321856,-3.40189171,1.53153312,3.48698854,5.77647543,-1.73205698,0.193415597,3.13936377,6.00940132,0.633851647,1.16355431,3.86059904,4.46869421,2.13174701,2.36976647,3.61485147,3.77331638,3.15999174,3.06310987,2.89752579,2.07001734,1.30219245,1.08259583,1.25697935,2.0159905,3.72149873,17,1,1
0.01,9,3.39302611,-2.480551,-2.73218918,-0.5380162,-1.17938125,1.51482451,5.07952118,-3.43447304,1.53622377,3.53958893,5.75961113,-1.7764889,0.215722606,3.17109323,6.01816273,0.610613286,1.17298901,3.88485527,4.48437977,2.12600756,2.37645841,3.63389111,3.78871107,3.1647346,3.06740069,2.90178919,2.07078958,1.30441165,1.08977222,1.26957846,2.0382092,3.74896455,17,1,1
