dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,converged
0.5,0,2.82030082,3.20102453,3.26177526,2.67367721,2.64445925,3.21577621,3.09109402,2.54580665,2.92974329,3.26830602,2.73278475,2.70760179,3.21190429,2.96729589,2.65610266,3.05413342,3.11240005,2.74217391,2.9162941,3.14760661,2.88361979,2.85750723,3.11486387,3.01000214,2.87248778,3.05446696,3.0682745,2.89280319,2.93937731,2.9626863,2.73750091,2.56611753,1
0.5,1,2.83114719,3.21160269,3.27136493,2.68296409,2.65498757,3.22619772,3.10030293,2.55551171,2.94049907,3.27820015,2.74191093,2.71797848,3.22248602,2.97652769,2.66583228,3.06492782,3.12219071,2.7514894,2.92682552,3.15794992,2.89294314,2.86756563,3.12543392,3.01959729,2.88211107,3.06485772,3.07810664,2.90212059,2.94929409,2.97254729,2.74673605,2.57572484,1
0.5,2,2.84199691,3.22217607,3.28095031,2.69225693,2.66551661,3.2366128,3.10951257,2.56522441,2.95125222,3.28808856,2.75104165,2.72835875,3.23306298,2.98575759,2.67556739,3.07572269,3.13197684,2.76080751,2.93736076,3.16829085,2.90226173,2.87762666,3.13600492,3.02918768,2.89173484,3.0752511,3.08793449,2.9114356,2.95921397,2.98240733,2.75597048,2.58533835,1
0.5,3,2.85284519,3.23274469,3.29053545,2.70155263,2.67604685,3.24702621,3.11872077,2.57494044,2.96200633,3.29797387,2.76017261,2.73874235,3.24363852,2.9949851,2.68530536,3.08651781,3.14175963,2.77012706,2.94789791,3.17862797,2.91158247,2.88769245,3.14657426,3.0387764,2.90136218,3.0856452,3.09775996,2.92075229,2.96913719,2.99226737,2.76520443,2.59495449,1
0.5,4,2.86369562,3.24330616,3.30011702,2.71085572,2.68657756,3.25743341,3.12793112,2.58466125,2.97275758,3.30785584,2.76930714,2.74912858,3.25420976,3.00421166,2.69504881,3.09731245,3.1515379,2.7794497,2.9584403,3.18896246,2.92089772,2.89776015,3.15714407,3.04835987,2.91098976,3.0960412,3.10758018,2.93006706,2.97906375,3.0021255,2.77443767,2.6045773,1
0.5,5,2.87454724,3.25386333,3.30969596,2.72016311,2.69710922,3.26783609,3.13714051,2.59438586,2.98350787,3.31773329,2.77844453,2.75951838,3.26477718,3.01343656,2.70479608,3.10810709,3.16131258,2.78877425,2.96898293,3.19929123,2.93021584,2.90783453,3.16771054,3.05793834,2.92062068,3.10643935,3.11739635,2.93938088,2.98899436,3.01198483,2.78366947,2.61420393,1
0.5,6,2.8853991,3.2644136,3.31927395,2.72947621,2.70764041,3.27823472,3.14635158,2.60411501,2.99425626,3.32760787,2.78758454,2.76990962,3.27534151,3.02266169,2.71454692,3.1189003,3.17108321,2.79810023,2.97953033,3.20961833,2.9395287,2.91790986,3.17827797,3.06751466,2.93025184,3.11683774,3.12720966,2.94869542,2.99892664,3.02184081,2.79290199,2.62383628,1
0.5,7,2.89625311,3.27495885,3.3288486,2.7387948,2.71817327,3.2886281,3.1555624,2.61384892,3.00500345,3.33747816,2.79672956,2.78030515,3.28590202,3.03188515,2.72430325,3.12969303,3.18084931,2.80743027,2.9900794,3.21993923,2.94884372,2.92799139,3.18884158,3.07708549,2.93988824,3.12723804,3.13701773,2.95801044,3.00886464,3.03169584,2.80213189,2.63347459,1
0.5,8,2.90710664,3.28549886,3.33842158,2.74811721,2.72870708,3.29901862,3.16477227,2.62358618,3.01575089,3.34734511,2.80587411,2.79070306,3.29646039,3.04110622,2.73406291,3.14048886,3.19061232,2.8167603,3.00063133,3.23025918,2.95815516,2.93807435,3.19940567,3.08665419,2.94952393,3.13763905,3.14682245,2.96732426,3.01880455,3.04154992,2.81136346,2.64311671,1
0.5,9,2.91796041,3.29603314,3.34799218,2.7574451,2.73923993,3.30940413,3.17398477,2.63332844,3.02649355,3.35720897,2.81502557,2.80110168,3.30701208,3.05032873,2.74382782,3.15127873,3.20037222,2.82609582,3.01118469,3.24057364,2.9674685,2.94816136,3.20996594,3.0962193,2.95916343,3.14804006,3.15662408,2.97663903,3.02874613,3.05140352,2.82059383,2.65276337,1
