framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0,0.551881
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0,0.507552
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,1,0.532234
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,1,0.449573
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,2,0.499339
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,2,0.44933
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,3,0.456942
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,3,0.442522
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,4,0.454814
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,4,0.438982
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,5,0.492312
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,5,0.44658
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,6,0.496229
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,6,0.446146
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,7,0.497556
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,7,0.451125
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,8,0.454627
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,8,0.445604
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,9,0.491208
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,9,0.445829
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,10,0.490842
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,10,0.411665
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,11,0.485082
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,11,0.445234
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,12,0.455129
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,12,0.438559
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,13,0.496224
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,13,0.453414
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,14,0.4965
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,14,0.411595
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,15,0.452786
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,15,0.437795
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,16,0.492379
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,16,0.41378
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,17,0.485123
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,17,0.44678
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,18,0.493787
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,18,0.445225
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,19,0.456522
