framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0,1.0001569971791469
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0,0.6161990022519603
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,1,0.9278930010623299
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,1,0.6205309982760809
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,2,0.9172809950541705
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,2,0.606645000516437
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,3,0.9030049986904487
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,3,0.6078309961594641
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,4,0.914775999262929
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,4,0.6195890018716455
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,5,0.9158129978459328
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,5,0.6064730041543953
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,6,0.904890002857428
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,6,0.6065439956728369
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,7,0.9135069994954392
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,7,0.6080140010453761
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,8,0.9088769947993569
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,8,0.6069619994377717
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,9,0.9126459990511648
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,9,0.6065720008336939
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,10,0.9082239994313568
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,10,0.6080959938117303
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,11,0.9122880001086742
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,11,0.6123549974290654
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,12,0.9070189989870414
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,12,0.6068840011721477
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,13,0.913254996703472
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,13,0.6049200019333512
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,14,0.9081729949684814
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,14,0.6105919965193607
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,15,0.901617000636179
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,15,0.6055310004740022
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,16,0.909156005945988
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,16,0.6070949966670014
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,17,0.9047540006577037
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,17,0.609501003054902
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,18,0.9055439950316213
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,18,0.6058939979993738
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,19,0.9023629972944036
