algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_median_ms,julia_median_ms,julia_over_cubie_speedup
tsit5,performance,adaptive,default,both,128,tol,1e-08,0.7332569985010196,0.349317,0.4763909525774738
tsit5,performance,adaptive,default,both,131072,tol,1e-08,2.3071505020197947,4.374706,1.8961511163533389
tsit5,performance,adaptive,default,both,2048,tol,1e-08,0.7502949993067887,0.48253999999999997,0.6431337013385768
tsit5,performance,adaptive,default,both,2097152,tol,1e-08,27.99293049974949,72.8203975,2.6013852854974107
tsit5,performance,adaptive,default,both,32,tol,1e-08,0.7692305007367395,0.33150250000000003,0.4309534004209397
tsit5,performance,adaptive,default,both,32768,tol,1e-08,1.1027125001419336,1.441279,1.3070306175131672
tsit5,performance,adaptive,default,both,33554432,tol,1e-08,435.06517599962535,1128.917644,2.5948241925043716
tsit5,performance,adaptive,default,both,512,tol,1e-08,0.7461965033144224,0.38250300000000004,0.5126035813636425
tsit5,performance,adaptive,default,both,524288,tol,1e-08,7.432196001900593,17.917655500000002,2.410815793261914
tsit5,performance,adaptive,default,both,8,tol,1e-08,0.761259001592407,0.33104,0.4348585689069399
tsit5,performance,adaptive,default,both,8192,tol,1e-08,0.7981449998624157,0.6782364999999999,0.849766020105262
tsit5,performance,adaptive,default,both,8388608,tol,1e-08,110.44574299739907,289.86681799999997,2.624517796098544
tsit5,performance,adaptive,default,none,128,tol,1e-08,0.4380960017442703,0.3120245,0.7122285954623662
tsit5,performance,adaptive,default,none,131072,tol,1e-08,1.5457884983334225,3.483586,2.2535980852204527
tsit5,performance,adaptive,default,none,2048,tol,1e-08,0.4425254992383998,0.423126,0.9561618499458518
tsit5,performance,adaptive,default,none,2097152,tol,1e-08,18.509749999793712,49.429432500000004,2.670453814911108
tsit5,performance,adaptive,default,none,32,tol,1e-08,0.47378499948536046,0.29405899999999996,0.6206591604196328
tsit5,performance,adaptive,default,none,32768,tol,1e-08,0.7036305032670498,1.1635175,1.6535916146296015
tsit5,performance,adaptive,default,none,33554432,tol,1e-08,284.26578099970357,755.0444219999999,2.656121392257154
tsit5,performance,adaptive,default,none,512,tol,1e-08,0.4445584963832516,0.34174899999999997,0.7687379788719185
tsit5,performance,adaptive,default,none,524288,tol,1e-08,4.931508497975301,12.6468885,2.564507088488716
tsit5,performance,adaptive,default,none,8,tol,1e-08,0.46343850044650026,0.30378,0.6554915047138355
tsit5,performance,adaptive,default,none,8192,tol,1e-08,0.47383500350406393,0.534975,1.1290322497151937
tsit5,performance,adaptive,default,none,8388608,tol,1e-08,72.91362799878698,196.39721600000001,2.6935597828607207
tsit5,performance,adaptive,pi,both,128,tol,1e-08,0.701138997101225,0.349317,0.49821362303938194
tsit5,performance,adaptive,pi,both,131072,tol,1e-08,2.060464001260698,4.374706,2.1231654604610077
tsit5,performance,adaptive,pi,both,2048,tol,1e-08,0.7111579980119132,0.48253999999999997,0.6785271365139264
tsit5,performance,adaptive,pi,both,2097152,tol,1e-08,24.362161002500216,72.8203975,2.989077918519899
tsit5,performance,adaptive,pi,both,32,tol,1e-08,0.7305394974537194,0.33150250000000003,0.45377765494603
tsit5,performance,adaptive,pi,both,32768,tol,1e-08,1.0210259970335755,1.441279,1.4115987293050334
tsit5,performance,adaptive,pi,both,33554432,tol,1e-08,378.9412425030605,1128.917644,2.979136386799815
tsit5,performance,adaptive,pi,both,512,tol,1e-08,0.7310339969990309,0.38250300000000004,0.5232355835299232
tsit5,performance,adaptive,pi,both,524288,tol,1e-08,6.518113499623723,17.917655500000002,2.748902040603366
tsit5,performance,adaptive,pi,both,8,tol,1e-08,0.7237310019263532,0.33104,0.4574075162164832
