framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,20,3.6124,3.61373,3.75755,42.346075,42.4102
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,20,3.5786,3.61565,3.66155,3.7361750000000002,3.8478
julia,tsit5,performance,adaptive,julia,both,8,tol,1.0e-8,20,16.394,16.425445,18.283949999999997,22.759895000000057,98.2886
julia,tsit5,performance,adaptive,julia,none,8,tol,1.0e-8,20,16.3052,16.338165,16.4026,16.672745000000003,18.699
julia,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,20,3.2423,3.245815,3.3605,3.564105,3.8701
julia,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,20,3.291,3.2922350000000002,3.402,3.5504599999999997,3.6466
julia,tsit5,performance,adaptive,julia,both,32,tol,1.0e-8,20,16.7486,16.758195,16.90085,17.14627,17.1533
julia,tsit5,performance,adaptive,julia,none,32,tol,1.0e-8,20,16.6807,16.699795,16.76845,16.93224,16.9387
julia,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,20,5.0679,5.07645,5.1593,5.40562,5.4326
julia,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,20,4.9297,4.937205,5.0017,5.150650000000001,5.1706
julia,tsit5,performance,adaptive,julia,both,128,tol,1.0e-8,20,23.4138,23.46225,23.5942,23.69869,23.8676
julia,tsit5,performance,adaptive,julia,none,128,tol,1.0e-8,20,23.2899,23.299875,23.4432,23.898535000000003,23.979
julia,tsit5,performance,fixed,fixed,both,512,dt,0.0009765625,20,3.2663,3.2948000000000004,3.3548,3.441455,3.471
julia,tsit5,performance,fixed,fixed,none,512,dt,0.0009765625,20,3.1692,3.19694,3.2644,3.406615,3.4069
julia,tsit5,performance,adaptive,julia,both,512,tol,1.0e-8,20,46.8282,46.84777,47.0492,47.234095,47.4316
julia,tsit5,performance,adaptive,julia,none,512,tol,1.0e-8,20,46.6901,46.716795,46.85815,47.11636,47.165
julia,tsit5,performance,fixed,fixed,both,2048,dt,0.0009765625,20,4.6297,4.63692,4.706200000000001,4.894909999999999,5.0452
julia,tsit5,performance,fixed,fixed,none,2048,dt,0.0009765625,20,4.4342,4.442085,4.4681,4.592440000000001,4.7509
julia,tsit5,performance,adaptive,julia,both,2048,tol,1.0e-8,20,63.6735,63.740854999999996,64.04525000000001,64.54651,64.7424
julia,tsit5,performance,adaptive,julia,none,2048,tol,1.0e-8,20,63.3301,63.335514999999994,63.794799999999995,64.32127,65.1966
julia,tsit5,performance,fixed,fixed,both,8192,dt,0.0009765625,20,14.6511,14.68777,14.79245,15.068100000000001,15.8319
julia,tsit5,performance,fixed,fixed,none,8192,dt,0.0009765625,20,14.0545,14.119005000000001,14.24185,14.40383,14.4139
julia,tsit5,performance,adaptive,julia,both,8192,tol,1.0e-8,10,123.4974,123.55729499999998,125.1842,127.67956500000001,127.7472
julia,tsit5,performance,adaptive,julia,none,8192,tol,1.0e-8,10,122.9053,122.96938,124.03184999999999,126.952075,127.324
julia,tsit5,performance,fixed,fixed,both,32768,dt,0.0009765625,10,180.9315,180.95818500000001,181.38864999999998,182.10477500000002,182.3885
julia,tsit5,performance,fixed,fixed,none,32768,dt,0.0009765625,10,179.12,179.131115,179.3472,180.595825,180.6784
julia,tsit5,performance,adaptive,julia,both,32768,tol,1.0e-8,10,301.1346,301.19534999999996,306.0531,308.26563500000003,308.6777
julia,tsit5,performance,adaptive,julia,none,32768,tol,1.0e-8,10,295.5973,295.828735,304.93215,309.968215,311.3026
julia,tsit5,performance,fixed,fixed,both,131072,dt,0.0009765625,10,684.4026,684.532425,685.8269,687.838065,687.9066
julia,tsit5,performance,fixed,fixed,none,131072,dt,0.0009765625,10,677.7918,678.18663,679.0661,679.81521,680.2608
julia,tsit5,performance,adaptive,julia,both,131072,tol,1.0e-8,10,865.5289,870.2328399999999,880.2769000000001,885.433115,886.5065
julia,tsit5,performance,adaptive,julia,none,131072,tol,1.0e-8,10,857.0936,858.5714,864.9814,872.609485,873.9517
julia,tsit5,performance,fixed,fixed,both,524288,dt,0.0009765625,10,2774.5647,2774.670405,2776.9872,2788.459365,2788.5342
julia,tsit5,performance,fixed,fixed,none,524288,dt,0.0009765625,10,2746.9263,2747.0899200000003,2751.3410999999996,2752.8117899999997,2752.8495
julia,tsit5,performance,adaptive,julia,both,524288,tol,1.0e-8,5,3283.9336,3285.2263000000003,3290.8904,3301.5364,3302.4649
julia,tsit5,performance,adaptive,julia,none,524288,tol,1.0e-8,5,3260.1033,3260.5346800000007,3276.92,3283.7907999999998,3284.9404
julia,tsit5,performance,fixed,fixed,both,2097152,dt,0.0009765625,3,11132.145,11132.72948,11137.9898,11146.89674,11147.8864
julia,tsit5,performance,fixed,fixed,none,2097152,dt,0.0009765625,3,11015.9703,11016.68193,11023.0866,11032.4619,11033.5036
julia,tsit5,performance,adaptive,julia,both,2097152,tol,1.0e-8,3,12990.9208,12991.776740000001,12999.4802,13030.58258,13034.0384
julia,tsit5,performance,adaptive,julia,none,2097152,tol,1.0e-8,3,12861.6583,12862.77422,12872.8175,12886.98818,12888.5627
julia,tsit5,performance,fixed,fixed,both,8388608,dt,0.0009765625,3,44790.2583,44794.715769999995,44834.833,44839.45369,44839.9671
julia,tsit5,performance,fixed,fixed,none,8388608,dt,0.0009765625,3,44136.2564,44138.13334,44155.0258,44243.17864,44252.9734
julia,tsit5,performance,adaptive,julia,both,8388608,tol,1.0e-8,3,51850.6173,51856.73103,51911.7546,52051.919160000005,52067.493
julia,tsit5,performance,adaptive,julia,none,8388608,tol,1.0e-8,3,51328.9926,51331.807329999996,51357.1399,51484.6843,51498.8559
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0625,20,18.251,18.52745,20.08475,21.772625,22.5407
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0625,20,11.2668,11.269555,11.367049999999999,11.562425,11.5686
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.03125,20,28.631,28.788795,29.64985,42.737180000000166,267.9514
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.03125,20,21.8713,21.890395,21.9754,22.12561,22.1942
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.015625,20,49.9561,50.069625,50.7779,52.30479,52.6219
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.015625,20,43.1271,43.15731,43.2288,43.390375,43.4621
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0078125,20,92.5607,92.617795,93.096,93.786695,93.9804
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0078125,20,85.5245,85.545875,85.67235,85.836865,85.9008
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.00390625,10,176.9575,177.15464500000002,177.61715,179.063735,179.5712
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.00390625,10,170.3799,170.42967,170.59695,170.871275,170.9219
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.001953125,10,346.5097,346.604155,347.72415,349.09661,349.1966
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.001953125,10,339.7921,339.829405,340.2559,341.533795,342.3955
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0009765625,10,685.5942,685.767225,686.5319999999999,687.7570000000001,687.8128
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0009765625,10,678.9692,679.0154150000001,679.4683,680.6306,680.7323
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.00048828125,10,1363.8868,1363.954705,1364.3647500000002,1367.289035,1367.4869
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.00048828125,10,1357.2295,1357.261405,1357.6354000000001,1360.3257199999998,1360.3547
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.000244140625,10,2720.4406,2720.48029,2721.0413,2725.891,2727.2068
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.000244140625,10,2712.6054,2712.774105,2713.42125,2720.66014,2721.0061
julia,tsit5,work_precision,fixed,fixed,both,131072,dt,0.0001220703125,3,5433.2819,5433.56527,5436.1156,5437.693209999999,5437.8685
julia,tsit5,work_precision,fixed,fixed,none,131072,dt,0.0001220703125,3,5425.0501,5425.32451,5427.7942,5428.473429999999,5428.5489
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,0.010000000000000002,20,44.7983,44.97804,45.502449999999996,58.230020000000145,249.9974
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,37.8109,37.849090000000004,38.1353,38.564975000000004,38.6348
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,0.001,20,57.5926,57.698049999999995,58.1897,58.670055,58.9827
