dt,traj,x,y,z
0.5,0,nan,nan,nan
0.5,1,nan,nan,nan
0.5,2,nan,nan,nan
0.5,3,nan,nan,nan
0.5,4,nan,nan,nan
0.5,5,nan,nan,nan
0.5,6,nan,nan,nan
0.5,7,nan,nan,nan
0.5,8,nan,nan,nan
0.5,9,nan,nan,nan
0.5,10,nan,nan,nan
0.5,11,nan,nan,nan
0.5,12,nan,nan,nan
0.5,13,nan,nan,nan
0.5,14,nan,nan,nan
0.5,15,nan,nan,nan
0.5,16,nan,nan,nan
0.5,17,nan,nan,nan
0.5,18,nan,nan,nan
0.5,19,nan,nan,nan
0.5,20,nan,nan,nan
0.5,21,nan,nan,nan
0.5,22,nan,nan,nan
0.5,23,nan,nan,nan
0.5,24,nan,nan,nan
0.5,25,nan,nan,nan
0.5,26,nan,nan,nan
0.5,27,nan,nan,nan
0.5,28,nan,nan,nan
0.5,29,nan,nan,nan
0.5,30,nan,nan,nan
0.5,31,nan,nan,nan
0.5,32,nan,nan,nan
0.5,33,nan,nan,nan
0.5,34,nan,nan,nan
0.5,35,nan,nan,nan
0.5,36,nan,nan,nan
0.5,37,nan,nan,nan
0.5,38,nan,nan,nan
0.5,39,nan,nan,nan
0.5,40,nan,nan,nan
0.5,41,nan,nan,nan
0.5,42,nan,nan,nan
0.5,43,nan,nan,nan
0.5,44,nan,nan,nan
0.5,45,nan,nan,nan
0.5,46,nan,nan,nan
0.5,47,nan,nan,nan
0.5,48,nan,nan,nan
0.5,49,nan,nan,nan
0.5,50,nan,nan,nan
0.5,51,nan,nan,nan
0.5,52,nan,nan,nan
0.5,53,nan,nan,nan
0.5,54,nan,nan,nan
0.5,55,nan,nan,nan
0.5,56,nan,nan,nan
0.5,57,nan,nan,nan
0.5,58,nan,nan,nan
0.5,59,nan,nan,nan
0.5,60,nan,nan,nan
0.5,61,nan,nan,nan
0.5,62,nan,nan,nan
0.5,63,nan,nan,nan
0.5,64,nan,nan,nan
0.5,65,nan,nan,nan
0.5,66,nan,nan,nan
0.5,67,nan,nan,nan
0.5,68,nan,nan,nan
0.5,69,nan,nan,nan
0.5,70,nan,nan,nan
0.5,71,nan,nan,nan
0.5,72,nan,nan,nan
0.5,73,nan,nan,nan
0.5,74,nan,nan,nan
0.5,75,nan,nan,nan
0.5,76,nan,nan,nan
0.5,77,nan,nan,nan
0.5,78,nan,nan,nan
0.5,79,nan,nan,nan
0.5,80,nan,nan,nan
0.5,81,nan,nan,nan
0.5,82,nan,nan,nan
0.5,83,nan,nan,nan
0.5,84,nan,nan,nan
0.5,85,nan,nan,nan
0.5,86,nan,nan,nan
0.5,87,nan,nan,nan
0.5,88,nan,nan,nan
0.5,89,nan,nan,nan
0.5,90,nan,nan,nan
0.5,91,nan,nan,nan
0.5,92,nan,nan,nan
0.5,93,nan,nan,nan
0.5,94,nan,nan,nan
0.5,95,nan,nan,nan
0.5,96,nan,nan,nan
0.5,97,nan,nan,nan
0.5,98,nan,nan,nan
0.5,99,nan,nan,nan
0.5,100,nan,nan,nan
0.5,101,nan,nan,nan
0.5,102,nan,nan,nan
0.5,103,nan,nan,nan
0.5,104,nan,nan,nan
0.5,105,nan,nan,nan
0.5,106,nan,nan,nan
0.5,107,nan,nan,nan
0.5,108,nan,nan,nan
0.5,109,nan,nan,nan
0.5,110,nan,nan,nan
0.5,111,nan,nan,nan
0.5,112,nan,nan,nan
0.5,113,nan,nan,nan
0.5,114,nan,nan,nan
0.5,115,nan,nan,nan
0.5,116,nan,nan,nan
0.5,117,nan,nan,nan
0.5,118,nan,nan,nan
0.5,119,nan,nan,nan
0.5,120,nan,nan,nan
0.5,121,nan,nan,nan
0.5,122,nan,nan,nan
0.5,123,nan,nan,nan
0.5,124,nan,nan,nan
0.5,125,nan,nan,nan
0.5,126,nan,nan,nan
0.5,127,nan,nan,nan
0.5,128,nan,nan,nan
0.5,129,nan,nan,nan
0.5,130,nan,nan,nan
0.5,131,nan,nan,nan
0.5,132,nan,nan,nan
0.5,133,nan,nan,nan
0.5,134,nan,nan,nan
0.5,135,nan,nan,nan
0.5,136,nan,nan,nan
0.5,137,nan,nan,nan
0.5,138,nan,nan,nan
0.5,139,nan,nan,nan
0.5,140,nan,nan,nan
0.5,141,nan,nan,nan
0.5,142,nan,nan,nan
0.5,143,nan,nan,nan
0.5,144,nan,nan,nan
0.5,145,nan,nan,nan
0.5,146,nan,nan,nan
0.5,147,nan,nan,nan
