tol,traj,x,y,z,naccept,nreject
0.01,0,3.389004177734023e-06,0.0,0.0,,
0.01,1,0.0009373805369250476,0.0008423928520642221,9.209647032548673e-06,,
0.01,2,0.0019051500130444765,0.001719711348414421,1.9804176190518774e-05,,
0.01,3,0.002910387935116887,0.002636419842019677,3.228824061807245e-05,,
0.01,4,0.003937960136681795,0.0035773166455328465,4.5120890717953444e-05,,
0.01,5,0.0050111254677176476,0.00456430297344923,6.052597746020183e-05,,
0.01,6,0.006101729813963175,0.00557124987244606,7.583120168419555e-05,,
0.01,7,0.007226569578051567,0.006615395657718182,9.27688815863803e-05,,
0.01,8,0.008384007960557938,0.007692835293710232,0.00011096285015810281,,
0.01,9,0.009588977321982384,0.008806290104985237,0.00013101581134833395,,
0.01,10,0.010811335407197475,0.009954596869647503,0.00015210043056868017,,
0.01,11,0.012067488394677639,0.011139369569718838,0.00017472475883550942,,
0.01,12,0.013358039781451225,0.01236135046929121,0.00019896173034794629,,
0.01,13,0.01468358002603054,0.013621270656585693,0.0002248866658192128,,
0.01,14,0.01604507304728031,0.014917895197868347,0.00025234176428057253,,
0.01,15,0.01744241453707218,0.01625634729862213,0.0002819216169882566,,
0.01,16,0.018876608461141586,0.017635000869631767,0.00031343181035481393,,
0.01,17,0.020348303020000458,0.019054656848311424,0.00034696116927079856,,
0.01,18,0.021858125925064087,0.020516106858849525,0.0003826008178293705,,
0.01,19,0.023406758904457092,0.022020181640982628,0.00042044659494422376,,
0.01,20,0.024994928389787674,0.02356775477528572,0.00046060315798968077,,
0.01,21,0.026612000539898872,0.025159982964396477,0.0005026779253967106,,
0.01,22,0.02828146144747734,0.02679731883108616,0.0005478514940477908,,
0.01,23,0.029993560165166855,0.028479982167482376,0.0005955284577794373,,
0.01,24,0.03172142431139946,0.03020414710044861,0.0006441791192628443,,
0.01,25,0.03351331502199173,0.03197800740599632,0.0006966333603486419,,
0.01,26,0.035351548343896866,0.03380279242992401,0.0007524638203904033,,
0.01,27,0.03723709285259247,0.03568599373102188,0.0008129672496579587,,
0.01,28,0.03916993737220764,0.03761497139930725,0.0008759399643167853,,
0.01,29,0.04114411026239395,0.0395934171974659,0.0009419152629561722,,
0.01,30,0.043165333569049835,0.0416252426803112,0.0010116297053173184,,
0.01,31,0.045233774930238724,0.043711040169000626,0.0010851760162040591,,
