dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,converged
30,0,-1.49152499e+09,1.45697805e+09,-10.2351322,124494328,3972.3877,5776.29443,988596608,1.37571564e+10,197100720,600.845947,440.126556,-5.8899415e+09,-3.24197606e+09,113500944,2.27265167e+10,9.8115315e-08,7023821,-4.02305966e+10,147496.047,-1.07699108e+10,1
30,1,-273002.625,266570.062,0.000503392424,484735.719,15.4668732,22.4914799,180955.312,-15883917,36077.7188,2.33944511,1.71370125,-5267404.5,8570579,38174.3516,-21029916,3.82025411e-10,1256.79114,10388682,574.259033,14796866,1
30,2,3111347.5,-3039188,0.0222012587,-94691.5625,-3.02163076,-4.39337063,-2062243.75,-25371070,-411154.938,-0.457134128,-0.334718704,15448231,-1547785.25,-31164.2812,-58721336,-7.46274362e-11,-14390.3701,-31926786,-112.201767,14149128,1
30,3,-8.38237618e+11,8.18817597e+11,-5309.69629,1.56082455e+11,4980248.5,7241863.5,5.55594482e+11,1.75157215e+12,1.10770758e+11,753291.625,551797.125,2.10239711e+12,-3.42760096e+12,6.85329285e+10,5.07527561e+12,0.00012301025,3.89239501e+09,-2.77294298e+12,184914672,-5.32313172e+12,1
30,4,-1173724.75,1146679.5,-0.00576750562,542642.875,17.3144875,25.1776428,777943.688,903902.875,155109.828,2.61889267,1.91841173,-804802.75,-12898460,-62195.8594,66979872,4.27662683e-10,5652.59473,-50383540,642.903076,-28690232,1
30,5,-80459424,78585912,-0.702438235,-22476988,-717.195618,-1042.83313,53330096,135802736,10632349,-108.48243,-79.4634018,-743955136,1.06188486e+09,-2293731.75,-251815504,-1.77143544e-08,371523.938,1.70204429e+09,-26629.0352,1.57788634e+09,1
30,6,3151199,-3078423.5,0.000623382628,-4345479,-138.653397,-201.623016,-2088628.5,9307539,-416390.75,-20.9717903,-15.3626194,-3858523.5,59731140,-89614.0625,25846470,-3.42471873e-09,-14900.0176,61161096,-5148.18701,102022088,1
30,7,-5.76250317e+09,5.62903091e+09,-36.2423706,1.12455731e+09,35882.1172,52176.2852,3.81945984e+09,1.50435256e+10,761498048,5427.35547,3975.65039,1.14400881e+10,-2.63373025e+10,397060096,3.81179412e+10,8.862757e-07,26665512,1.8433536e+09,1332280.25,-4.18253373e+10,1
30,8,902362240,-881385216,3.02310419,-691590144,-22066.8926,-32087.873,-598095424,4.44010957e+09,-119244912,-3337.64941,-2444.94995,3.23820626e+10,-1.79291149e+09,304347552,4.12977075e+09,-5.45049545e-07,-4238714,4.48847565e+09,-819347.312,2.14685082e+10,1
30,9,1444540,-1411045.75,0.0102977026,-46397.0234,-1.48014152,-2.15196037,-957463.5,-4251251,-190890.922,-0.22390756,-0.163928121,23319882,-6253995,-32879.1328,-18226782,-3.65659898e-11,-6743.66211,39947716,-54.9713249,6763196,1
