traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.27076483,-3.58747458,-2.13329172,-0.787735641,-1.30943644,0.435153812,5.44249868,-2.46495104,2.12095094,3.14926362,5.76090574,-1.81676364,-0.837172031,1.17562902,6.56613207,1.4133023,0.0959661901,3.05161548,4.95086861,2.51709175,1.94933271,3.22543216,3.87110949,3.38962364,2.94315267,2.5319016,1.68927121,1.00828755,0.904557586,1.19309497,2.08803558,3.78979564
1,2.23390818,-3.61347508,-2.11658764,-0.799285829,-1.3121227,0.449392855,5.43611193,-2.48154569,2.13208675,3.20833826,5.74799919,-1.87144375,-0.806078672,1.18712473,6.58729172,1.40052748,0.0955773294,3.06543565,4.97612953,2.51545238,1.95041955,3.24086976,3.89012551,3.39730215,2.94450068,2.53248978,1.68952906,1.011392,0.911576271,1.205109,2.10964775,3.81176662
2,2.19516969,-3.63778353,-2.0913713,-0.807991624,-1.30834937,0.470470667,5.43067694,-2.49593377,2.14431143,3.26906061,5.73234844,-1.92515028,-0.777219474,1.19842112,6.60839653,1.38751435,0.0952578261,3.07932281,5.00144815,2.51369524,1.95154393,3.25637054,3.90910244,3.40483665,2.9458015,2.53309536,1.68966103,1.01438749,0.918779671,1.21716118,2.13117409,3.83280349
3,2.15559983,-3.66108227,-2.06414723,-0.815421164,-1.30275941,0.493284047,5.42522383,-2.50997686,2.1565845,3.32986856,5.71519852,-1.9783541,-0.748978138,1.2098552,6.62946129,1.37439215,0.0950174406,3.09323692,5.0267601,2.51177716,1.9526788,3.27197146,3.92815804,3.41226077,2.94695735,2.53364658,1.68980753,1.01742017,0.926067293,1.22928941,2.15276861,3.85340357
4,2.11643434,-3.68468475,-2.04271889,-0.82491219,-1.30152595,0.511838019,5.41855574,-2.52603507,2.16717625,3.38961816,5.69834661,-2.03230524,-0.718718708,1.22256541,6.65035295,1.36083233,0.0949866325,3.10720921,5.05205297,2.50970292,1.95377719,3.28761888,3.94726276,3.41958642,2.9480083,2.5341897,1.69010675,1.02060902,0.933298767,1.24147141,2.17455935,3.87422395
5,2.07685637,-3.70758176,-2.02220559,-0.834127545,-1.30068016,0.529555142,5.41138697,-2.54266,2.1771028,3.44832706,5.68088245,-2.08567023,-0.688275814,1.23582065,6.67117357,1.34698641,0.0950459465,3.12118506,5.07740879,2.50743604,1.95479262,3.30334949,3.96648216,3.42679763,2.94892573,2.5347271,1.69040215,1.02375185,0.940524697,1.25376427,2.19654512,3.89491177
6,2.03599691,-3.72961879,-1.99756026,-0.842272341,-1.29681504,0.55130142,5.40455675,-2.55837703,2.18741465,3.50884151,5.66123772,-2.1394012,-0.658647656,1.24922812,6.69188309,1.33290803,0.0952559263,3.13526678,5.10273123,2.50502419,1.95587313,3.31914663,3.98568177,3.4338944,2.94977689,2.53524566,1.69067335,1.02691603,0.947864234,1.26606631,2.21846938,3.91489077
7,1.99451196,-3.7508657,-1.97257292,-0.849811852,-1.29242516,0.573533893,5.39741945,-2.57430267,2.19741249,3.5691874,5.64044333,-2.19283628,-0.62911588,1.26307857,6.71252155,1.31859982,0.0955901518,3.14938188,5.12802887,2.50248146,1.95698929,3.33503819,4.00491047,3.44085789,2.95052338,2.53573012,1.69094026,1.03012359,0.955293536,1.27848876,2.24053574,3.93456101
8,1.95344317,-3.77220488,-1.95289314,-0.859046817,-1.29193938,0.591380239,5.38910723,-2.59211731,2.20565248,3.62751913,5.62027121,-2.24612451,-0.598034024,1.27820182,6.73299265,1.30379224,0.0960967243,3.16353154,5.15338421,2.49969649,1.95795238,3.35097814,4.02430344,3.44774771,2.95111036,2.53620887,1.69134796,1.03340757,0.962622583,1.29098308,2.26286221,3.95451498
9,1.91081917,-3.79236126,-1.92819512,-0.866479695,-1.28756189,0.61408031,5.38122606,-2.6087625,2.21464276,3.687886,5.59741259,-2.29972458,-0.568218946,1.29303968,6.75341272,1.28897738,0.0966271684,3.1777072,5.1787219,2.49682474,1.9589932,3.36698461,4.04367733,3.45451403,2.9516077,2.53663015,1.69168127,1.03668785,0.970109522,1.30352759,2.28513241,3.97359467
