traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.2597959,-3.57861233,-2.14052749,-0.777802944,-1.30509114,0.444254667,5.43298817,-2.47797298,2.12602282,3.15040302,5.75818062,-1.81869555,-0.849003434,1.15793264,6.56818056,1.4275347,0.0907781571,3.04692101,4.95009851,2.52202082,1.95021963,3.22383499,3.8696034,3.39019728,2.94326377,2.52929354,1.68576586,1.00620174,0.90376991,1.19344354,2.08835721,3.7852211
1,2.22183156,-3.60326862,-2.11649489,-0.787386417,-1.30177033,0.466317087,5.4261961,-2.4945879,2.13863444,3.2124896,5.74326181,-1.87376344,-0.819627106,1.16839218,6.5893774,1.41516435,0.0900948867,3.06062627,4.97545767,2.52057052,1.9513526,3.23920965,3.88849759,3.39787817,2.94467688,2.52986741,1.68587995,1.00923169,0.910948932,1.20546162,2.10978651,3.80642748
2,2.1834712,-3.62739205,-2.09285545,-0.796084523,-1.29874325,0.486108273,5.42045975,-2.50922489,2.15041971,3.27213478,5.72807646,-1.92709041,-0.790661097,1.17940843,6.61057043,1.40240908,0.0896486491,3.07443047,5.00080633,2.51885891,1.95243657,3.25469446,3.90752077,3.40544748,2.94591451,2.53039646,1.68605912,1.01230204,0.918140411,1.21751308,2.1313169,3.82748222
3,2.14455199,-3.65095472,-2.06942749,-0.804536641,-1.29581916,0.505465209,5.41472912,-2.52364469,2.16167784,3.33131766,5.71205425,-1.98014641,-0.761567652,1.1909411,6.63168573,1.38941312,0.0893262029,3.0882659,5.02615166,2.51701617,1.95352399,3.27024984,3.9265697,3.41289282,2.94707108,2.53093672,1.68625343,1.01538026,0.925365746,1.22965181,2.15299511,3.84833312
4,2.10506606,-3.67395186,-2.04602981,-0.813300133,-1.29273415,0.526276827,5.40782452,-2.53973007,2.17258739,3.39161181,5.69470501,-2.03406,-0.731937945,1.20300329,6.65266132,1.37616086,0.0890850946,3.10212827,5.05153275,2.51502705,1.9545809,3.28585911,3.94567966,3.42025065,2.9481144,2.53143787,1.68647778,1.01850724,0.93261683,1.24183941,2.17474246,3.86886692
5,2.06500602,-3.69640899,-2.02275991,-0.822160244,-1.28966284,0.547690213,5.40023422,-2.55667186,2.18304563,3.45248413,5.67613459,-2.08845019,-0.701887727,1.21567011,6.6735158,1.3626461,0.0889715552,3.11604714,5.07690096,2.51289058,1.95566213,3.30155206,3.96480536,3.42747188,2.94906998,2.53194332,1.68671954,1.02166891,0.939917684,1.25410843,2.19659781,3.889117
6,2.02447939,-3.71825075,-1.99979377,-0.830405056,-1.28669763,0.567831457,5.39316511,-2.57253909,2.1928339,3.51165199,5.65716314,-2.14162445,-0.672129214,1.22884619,6.69432545,1.34880793,0.0890414789,3.13002801,5.10226345,2.51053023,1.95669997,3.31733871,3.9840343,3.4345777,2.94988298,2.53242636,1.68700373,1.02484977,0.94724381,1.26645291,2.21860433,3.90919089
7,1.98344243,-3.73954153,-1.97704673,-0.838525772,-1.28378093,0.58799547,5.38580847,-2.58867908,2.2021389,3.57076335,5.63721275,-2.19481158,-0.64218998,1.24256587,6.71503162,1.33465958,0.0892419964,3.14406705,5.12766695,2.50799417,1.95769298,3.33318663,4.0033226,3.44157481,2.95059705,2.53290534,1.68730867,1.02804899,0.954595447,1.27886486,2.24071908,3.92899776
8,1.94183946,-3.76023841,-1.95434165,-0.84702611,-1.28072691,0.609764338,5.37707281,-2.60670114,2.21100283,3.63110089,5.61578941,-2.24893475,-0.61169982,1.25689375,6.73557997,1.32029998,0.089525871,3.15812087,5.15303802,2.50535846,1.95873022,3.34909844,4.02263165,3.44847822,2.95120788,2.53331637,1.68763089,1.03134704,0.962029397,1.29135573,2.26290989,3.94844007
9,1.89980221,-3.78040409,-1.9319905,-0.854924023,-1.27781355,0.630237699,5.36892796,-2.62363124,2.2192421,3.68993545,5.59392691,-2.30199003,-0.581458569,1.27179039,6.75607204,1.30554879,0.0900022462,3.17224598,5.17841578,2.50252819,1.95974886,3.36511827,4.041996,3.45518994,2.95169544,2.53380466,1.68803358,1.03461981,0.969437122,1.30388844,2.285218,3.96768856
10,1.85716903,-3.7999649,-1.90972102,-0.863139808,-1.27481198,0.65206182,5.35954666,-2.6422317,2.22701287,3.74978781,5.57062531,-2.35584068,-0.550768137,1.28725982,6.77641869,1.29052293,0.0905330181,3.18637538,5.20384026,2.49958372,1.96072161,3.38114095,4.06138992,3.46187139,2.95213509,2.53421521,1.68837368,1.03793085,0.976922572,1.31653094,2.30764937,3.98658276
11,1.81417048,-3.81892967,-1.88782287,-0.870884776,-1.2719059,0.672992527,5.35049629,-2.66013002,2.2342062,3.80843258,5.54682636,-2.40882468,-0.520338178,1.30322087,6.79668617,1.27523839,0.0912437364,3.20057225,5.22922754,2.49645209,1.96170723,3.39727306,4.08084822,3.46838903,2.95243216,2.53464675,1.68880188,1.04127717,0.984420776,1.32922053,2.33016515,4.00521278
12,1.77063537,-3.83731484,-1.86609685,-0.878570855,-1.26899338,0.694245398,5.34090424,-2.67862701,2.24083376,3.8671174,5.52196217,-2.46186876,-0.489689589,1.31989741,6.81681919,1.259534,0.0921496451,3.21486831,5.25460052,2.49306536,1.96266568,3.41351295,4.10042524,3.47479486,2.95255351,2.53500581,1.68928218,1.0447216,0.99199146,1.34199643,2.35280395,4.02355194
13,1.72655237,-3.85512638,-1.84453988,-0.886409223,-1.26605976,0.716358542,5.33038044,-2.69832826,2.24689269,3.92631769,5.49584103,-2.51531458,-0.458772063,1.33721805,6.83680677,1.24354172,0.0931765959,3.22920036,5.27995729,2.48959494,1.96367443,3.42981052,4.1199441,3.48105097,2.95268297,2.53543806,1.68971884,1.04809666,0.999560952,1.35485315,2.37556148,4.04155159
14,1.68214691,-3.87236738,-1.82345319,-0.893466711,-1.26326764,0.736693203,5.32089329,-2.71632886,2.25242853,3.98356605,5.46958971,-2.56733298,-0.428395152,1.35498011,6.85674191,1.22721064,0.0943863764,3.24357843,5.30531406,2.48593855,1.96462786,3.44617295,4.13957644,3.48719931,2.95262527,2.53582883,1.69027567,1.05157042,1.00716674,1.36775565,2.3984127,4.05932665
15,1.63720512,-3.88899779,-1.80241168,-0.901045978,-1.26031685,0.759119511,5.3095026,-2.73688793,2.25734878,4.04218197,5.441679,-2.62039113,-0.39749679,1.37342429,6.87648964,1.21058536,0.0956856087,3.25801277,5.33067226,2.4821167,1.96560156,3.46261907,4.1592145,3.49319768,2.95251155,2.53624129,1.69081008,1.05503857,1.01480651,1.38074028,2.42134428,4.07666969
16,1.59178817,-3.90501714,-1.78167105,-0.908375084,-1.25744045,0.781216145,5.29803944,-2.75736475,2.26169181,4.1002326,5.41299009,-2.67305422,-0.366710097,1.39245629,6.89611912,1.19361305,0.0971706063,3.27253222,5.35600185,2.47806263,1.96656585,3.47917676,4.17895222,3.49906039,2.95223856,2.5366168,1.69139075,1.05856538,1.02250874,1.39382648,2.44441557,4.09371281
17,1.54593778,-3.9204793,-1.76117432,-0.915742874,-1.25460362,0.803806305,5.28585386,-2.77870226,2.26539111,4.15845156,5.38314533,-2.72589707,-0.335778654,1.41215992,6.91559076,1.17625654,0.0987777188,3.28707504,5.38135433,2.47388506,1.96749485,3.49575901,4.19873428,3.50484562,2.95187116,2.53695583,1.69200182,1.06215453,1.0302527,1.40697467,2.46756172,4.11039352
18,1.4996537,-3.93532825,-1.74102783,-0.922633231,-1.25174534,0.825742722,5.27387905,-2.79952216,2.26855159,4.21549273,5.35287809,-2.77783298,-0.30521512,1.43237996,6.93496418,1.15860367,0.100586191,3.30169845,5.40664387,2.46954751,1.9684763,3.51245427,4.21851254,3.51041889,2.95142817,2.5373857,1.69265592,1.06569564,1.03798068,1.4201901,2.49084663,4.12680531
19,1.45295358,-3.94958973,-1.72112203,-0.929667056,-1.24894691,0.848337948,5.26103926,-2.82141781,2.27105975,4.27289534,5.32137156,-2.83008933,-0.274510443,1.45325613,6.95416641,1.14055586,0.102535777,3.31639504,5.43194914,2.46498799,1.96942341,3.52923012,4.23837233,3.51587725,2.95086002,2.5377841,1.6933403,1.0693047,1.0457741,1.43349242,2.51420879,4.14280796
20,1.40583932,-3.96325445,-1.70152092,-0.936551332,-1.24618864,0.870946825,5.24785852,-2.84363937,2.27294326,4.32993937,5.28900576,-2.88206553,-0.243891299,1.47482824,6.97321272,1.12210047,0.104694612,3.33118367,5.45721769,2.46022487,1.97035658,3.54607987,4.25831938,3.52122831,2.95014548,2.53814173,1.69408703,1.07298493,1.05361378,1.44687235,2.53767276,4.15846062
21,1.35838377,-3.97627378,-1.68237817,-0.942652285,-1.2433269,0.892367184,5.2353878,-2.86459112,2.27435589,4.38503647,5.25671673,-2.93262649,-0.213902533,1.49677444,6.99219131,1.10336876,0.107037961,3.3460238,5.48241568,2.45533895,1.97136605,3.56303525,4.27821827,3.52638459,2.94940662,2.53854775,1.69480515,1.07663918,1.06148815,1.46033633,2.56127381,4.17385292
22,1.31052923,-3.98873377,-1.66347873,-0.949026048,-1.24056756,0.91465193,5.22185087,-2.88692617,2.27509189,4.44077158,5.2230401,-2.9836607,-0.183799595,1.51935089,7.01097536,1.08430552,0.109497622,3.36091185,5.5076189,2.45028543,1.97234702,3.58005142,4.29819155,3.53141093,2.94853115,2.5389657,1.69560647,1.08033478,1.06937766,1.47385859,2.58492756,4.18880367
23,1.26222908,-4.00060463,-1.64484024,-0.955356479,-1.23780727,0.937296808,5.20767832,-2.90996361,2.27514458,4.49631739,5.18844748,-3.03456974,-0.153754711,1.54264212,7.02958632,1.06479907,0.112166658,3.37591028,5.53278685,2.4449985,1.97333503,3.59716868,4.31823015,3.53630328,2.94754505,2.53935647,1.69641101,1.08407164,1.07732642,1.48747921,2.60870171,4.20337629
24,1.21351993,-4.01194954,-1.6263212,-0.962272823,-1.23514509,0.961711526,5.19152403,-2.93554378,2.27424121,4.55322552,5.15187263,-3.08654928,-0.123265542,1.56681204,7.04795551,1.04486072,0.114952296,3.39096904,5.55796099,2.43954372,1.97431469,3.61433864,4.33830023,3.54107046,2.94645667,2.53974199,1.6972667,1.08787298,1.08531559,1.50116074,2.63250494,4.21744013
25,1.16444874,-4.0225544,-1.60832989,-0.968129158,-1.23230851,0.984349549,5.17669201,-2.95905089,2.2730341,4.60743666,5.11601114,-3.13650131,-0.0937849358,1.59119654,7.066257,1.02460337,0.117973909,3.40611029,5.58308887,2.43388009,1.9752717,3.63160539,4.35844946,3.54567218,2.94522953,2.54013491,1.69817245,1.09168041,1.09333587,1.51495039,2.65650988,4.2312851
26,1.11515474,-4.03260803,-1.59081328,-0.973717213,-1.2295934,1.00645101,5.1620326,-2.98223615,2.27129841,4.66099787,5.07958078,-3.18596077,-0.0646496862,1.61612248,7.08439016,1.00401103,0.121200316,3.42133856,5.60814857,2.42804527,1.97625828,3.64895272,4.37863111,3.55013514,2.94391084,2.54055166,1.69914472,1.09552968,1.10137117,1.52877665,2.68054652,4.24474287
27,1.06536758,-4.0420785,-1.57337785,-0.979803085,-1.22686791,1.03040814,5.1452651,-3.00802517,2.26852274,4.71557045,5.04135084,-3.23625612,-0.0351942368,1.64189112,7.10230446,0.982985675,0.124506786,3.43659115,5.63320208,2.42212105,1.97730565,3.66636992,4.39876461,3.55443645,2.94256186,2.54097342,1.70006597,1.09938848,1.10947633,1.54272568,2.70469332,4.25769615
28,1.01529932,-4.05093908,-1.55640221,-0.985457718,-1.22418821,1.05358231,5.12889624,-3.03312683,2.26526213,4.76901865,5.00289392,-3.28568602,-0.00629058154,1.66815174,7.12003708,0.961593032,0.128111631,3.45202208,5.65817642,2.4158752,1.97833693,3.68391395,4.4190073,3.55856514,2.94106293,2.54142737,1.70107317,1.10327959,1.11760557,1.55674672,2.72893524,4.27029085
29,0.964920759,-4.05921841,-1.53974712,-0.991082251,-1.22151852,1.07715499,5.11179543,-3.05901432,2.26124644,4.82222939,4.96351194,-3.33497834,0.0224559922,1.69506502,7.13758326,0.939702809,0.131849751,3.467489,5.68316412,2.40947008,1.97934091,3.70151377,4.43931103,3.56256771,2.93943357,2.54184604,1.70212853,1.10723519,1.12577593,1.57083428,2.75323725,4.28244209
30,0.914103389,-4.06696081,-1.52335167,-0.996961892,-1.21902966,1.10139465,5.093606,-3.08621049,2.25634003,4.87583303,4.92276335,-3.38457251,0.0511621796,1.7227304,7.15490437,0.917467475,0.135774955,3.48307157,5.70804787,2.40288401,1.98044252,3.71924663,4.45961237,3.5663631,2.93772411,2.54231,1.70320654,1.11121809,1.13401377,1.58504868,2.77766037,4.29411745
31,0.863092542,-4.07398319,-1.5074116,-1.00215542,-1.21630824,1.12503934,5.07573414,-3.1126914,2.25096631,4.9277339,4.88224888,-3.43293095,0.079140991,1.75069654,7.17206955,0.894853413,0.139893249,3.49870539,5.7329421,2.39613128,1.98146582,3.7369833,4.47996712,3.57007337,2.9359231,2.54275823,1.70432186,1.11521995,1.1422627,1.59931886,2.80217409,4.30545139
32,0.811768889,-4.08037567,-1.49192655,-1.00698173,-1.21361291,1.14804196,5.0582037,-3.1386044,2.24510908,4.9785428,4.84163618,-3.48049998,0.106530495,1.77906787,7.18905926,0.871940553,0.144257024,3.51447153,5.75768995,2.38919497,1.98261321,3.75489163,4.50030756,3.57353592,2.93405414,2.54328251,1.70546436,1.11921191,1.15053499,1.61367476,2.82680321,4.31641054
33,0.76016283,-4.0862608,-1.47666693,-1.01214504,-1.21100521,1.17223608,5.03904009,-3.16643906,2.23820615,5.02991295,4.79945755,-3.52849293,0.133971125,1.8083241,7.20578337,0.848433852,0.148801208,3.53034115,5.78246212,2.38200617,1.98369944,3.77285337,4.520751,3.5768795,2.93202806,2.54378009,1.70667875,1.12327743,1.15885055,1.62809885,2.8514595,4.32682371
34,0.70827657,-4.09153318,-1.4617821,-1.01719463,-1.20842886,1.1965332,5.01940155,-3.19470859,2.23057556,5.08074379,4.75669003,-3.57609248,0.160977989,1.83806157,7.22231102,0.824619174,0.153530017,3.5463047,5.80714321,2.37466502,1.98485804,3.7909162,4.54117393,3.58003592,2.92994952,2.54431415,1.70790148,1.12736595,1.16723025,1.6426419,2.8762238,4.33678055
35,0.656166255,-4.09623194,-1.4473033,-1.02194691,-1.20584369,1.22054219,4.99972105,-3.22283816,2.22232866,5.1306839,4.71360683,-3.62312007,0.187499389,1.86827862,7.23861408,0.800373495,0.158460319,3.56236076,5.83180332,2.36708784,1.98595059,3.80902267,4.56170845,3.58310199,2.92772341,2.5448072,1.7092011,1.1315192,1.17562497,1.65721977,2.90103531,4.34633493
