traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25839257,-3.57674694,-2.14011717,-0.778286815,-1.30395198,0.451596498,5.42818213,-2.48516059,2.12700534,3.15585065,5.75636244,-1.82403576,-0.848276973,1.15530837,6.5682168,1.43007767,0.0892484933,3.04571533,4.95025873,2.52327847,1.95025277,3.22330976,3.86926365,3.39043736,2.94329762,2.52869248,1.6851325,1.00607359,0.903928876,1.19378495,2.08877969,3.78487253
1,2.22054124,-3.60139561,-2.11631489,-0.787227809,-1.30088735,0.47166574,5.42252541,-2.49988914,2.139292,3.21600485,5.74194384,-1.87768674,-0.819428086,1.16577613,6.58948994,1.41765749,0.0886548311,3.05946922,4.97558403,2.52174163,1.95137763,3.23873186,3.8882134,3.39810181,2.94465518,2.52925277,1.68527651,1.00910091,0.911083817,1.20577657,2.11020565,3.80613446
2,2.18211174,-3.62548113,-2.09264255,-0.796073139,-1.29783022,0.491910696,5.41645718,-2.51500702,2.15109897,3.27619123,5.72650719,-1.93144965,-0.790285945,1.17674911,6.61067533,1.40496016,0.0881302059,3.07321882,5.00097036,2.52009821,1.95244086,3.2541666,3.90720868,3.40570569,2.94593239,2.5297761,1.68541634,1.01214969,0.918283582,1.21785712,2.1317687,3.82717204
3,2.14319515,-3.64900541,-2.06915188,-0.804806948,-1.29478669,0.512249887,5.41006851,-2.53043652,2.16239929,3.33625865,5.71014023,-1.98516667,-0.760916054,1.18829131,6.63176012,1.39200461,0.087777175,3.08705091,5.02632236,2.51825356,1.9535358,3.26973319,3.92626023,3.4131372,2.94706702,2.53031182,1.68563628,1.015257,0.925509334,1.22998023,2.15340638,3.8479476
4,2.10370183,-3.67197418,-2.04579759,-0.813448429,-1.29175317,0.53273195,5.40329695,-2.54623604,2.17320681,3.39626336,5.69279623,-2.03889632,-0.731324852,1.20035899,6.65275478,1.37876189,0.0875267237,3.10090303,5.05170679,2.51627803,1.95459187,3.28533959,3.94536543,3.42049241,2.94810629,2.53081322,1.68586242,1.01838624,0.932770014,1.2421838,2.17517877,3.86849427
5,2.06372094,-3.69436669,-2.02265096,-0.821971059,-1.28873718,0.553298712,5.39619255,-2.56234884,2.18350315,3.45613909,5.67450285,-2.0925777,-0.701536417,1.21298683,6.67365265,1.36524272,0.0874236077,3.11482239,5.07707977,2.51410913,1.95565784,3.30105329,3.96451354,3.42769694,2.94905019,2.53132939,1.68610263,1.02152717,0.940064371,1.25445426,2.19704247,3.88876104
6,2.02316737,-3.7161994,-1.99964857,-0.830399632,-1.28573418,0.574008584,5.38869905,-2.57884359,2.19329095,3.5159235,5.65523767,-2.14622951,-0.671572864,1.226161,6.69444656,1.35144341,0.0874413103,3.12877059,5.10247469,2.51180553,1.95667541,3.31679034,3.9837296,3.43485379,2.94987512,2.53176522,1.68636894,1.02473915,0.947407186,1.26680088,2.21903777,3.9087913
7,1.98212719,-3.73745966,-1.97685313,-0.838708401,-1.28273821,0.594846845,5.38082886,-2.59570193,2.20255685,3.57559156,5.63499784,-2.19985008,-0.641420245,1.23991108,6.7151432,1.3373208,0.0875929892,3.14277506,5.12787914,2.50930762,1.95768905,3.33264065,4.00300121,3.44183874,2.95058799,2.5322473,1.68667901,1.02794957,0.954765081,1.27920854,2.24112654,3.92853928
8,1.94055939,-3.75814247,-1.95425498,-0.846907914,-1.27976239,0.615786374,5.37259579,-2.61291051,2.21130013,3.63510847,5.61380816,-2.25339675,-0.611137569,1.25421357,6.73573542,1.3229171,0.0878719687,3.15681267,5.15328884,2.50669169,1.95869982,3.34853387,4.02229548,3.44873714,2.9512198,2.53268981,1.68699622,1.0312022,0.962164879,1.29169154,2.26333475,3.94802022
9,1.89850938,-3.77823997,-1.93188298,-0.854985178,-1.27679527,0.636841834,5.36399841,-2.63048077,2.2195096,3.69443297,5.59168911,-2.30681491,-0.580750287,1.26909626,6.75622082,1.30822599,0.0883130878,3.17092586,5.17867136,2.50386214,1.95970953,3.36453843,4.04166794,3.45549059,2.95171404,2.53312683,1.68736064,1.03449833,0.969612122,1.30425441,2.28564787,3.96720815
10,1.85597742,-3.79776573,-1.90972185,-0.862945676,-1.27383935,0.658037066,5.35499334,-2.64844751,2.22717667,3.75360703,5.56859779,-2.36019063,-0.550237179,1.28452539,6.77659893,1.293244,0.0888461322,3.18504786,5.20407724,2.50090742,1.96069515,3.38060355,4.06109715,3.46211672,2.95207548,2.53356457,1.68780053,1.03784049,0.977074504,1.31686604,2.30805397,3.98611188
11,1.81292319,-3.81670523,-1.887784,-0.870791733,-1.27090013,0.679346561,5.34560537,-2.66678739,2.23429871,3.81260467,5.54455757,-2.41344404,-0.519637585,1.30056441,6.79686022,1.27792609,0.0895536691,3.19924641,5.22947884,2.49777222,1.96166694,3.39671993,4.08055353,3.46866465,2.95238924,2.53396463,1.68818736,1.0411886,0.984592676,1.32957721,2.33059239,4.00472403
12,1.76938558,-3.8350606,-1.86607385,-0.878518462,-1.2679739,0.700760245,5.33584309,-2.68549323,2.24086666,3.87135863,5.51959753,-2.46656585,-0.488979846,1.31715608,6.81701422,1.26230848,0.0903723016,3.21347237,5.25487804,2.49448872,1.96264327,3.41292524,4.10005856,3.47506285,2.95257735,2.5343678,1.68862927,1.04457533,0.992141128,1.34235823,2.35323858,4.02303839
13,1.7253902,-3.85284805,-1.84459794,-0.886122465,-1.26505148,0.722352862,5.32563829,-2.7046504,2.24685812,3.92997193,5.49366522,-2.51958847,-0.458226353,1.334427,6.83703661,1.24632883,0.0913945064,3.22779322,5.28024769,2.49101019,1.96362925,3.42922521,4.11960745,3.48131275,2.95266151,2.53479409,1.68911922,1.04798257,0.999704421,1.35519016,2.37596917,4.04104328
14,1.68091571,-3.87001991,-1.82338464,-0.893600106,-1.26214921,0.744046986,5.31504202,-2.72418332,2.25227666,3.98833704,5.4668045,-2.57246828,-0.427435309,1.3522886,6.85693264,1.22998595,0.0925553888,3.24216557,5.30564213,2.48732591,1.964553,3.44558668,4.13926363,3.48747396,2.95258975,2.53515315,1.68964839,1.05146575,1.00733829,1.36812556,2.39883041,4.0587306
