framework,algorithm,phase,mode,tier,n,setting_kind,setting,error_type,message
julia,tsit5,performance,fixed,fixed,8,dt,0.05859375,ErrorException,non-finite result: 0/8 trajectories valid
julia,tsit5,performance,fixed,fixed,32,dt,0.05859375,ErrorException,non-finite result: 0/32 trajectories valid
julia,tsit5,performance,fixed,fixed,128,dt,0.05859375,ErrorException,non-finite result: 0/128 trajectories valid
julia,tsit5,performance,fixed,fixed,512,dt,0.05859375,ErrorException,non-finite result: 0/512 trajectories valid
julia,tsit5,performance,fixed,fixed,2048,dt,0.05859375,ErrorException,non-finite result: 0/2048 trajectories valid
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,ErrorException,non-finite result: 1846/2048 trajectories valid
julia,tsit5,performance,fixed,fixed,8192,dt,0.05859375,ErrorException,non-finite result: 0/8192 trajectories valid
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,ErrorException,non-finite result: 4915/8192 trajectories valid
julia,tsit5,performance,fixed,fixed,32768,dt,0.05859375,ErrorException,non-finite result: 0/32768 trajectories valid
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,ErrorException,non-finite result: 0/32768 trajectories valid
julia,tsit5,performance,fixed,fixed,131072,dt,0.05859375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,ErrorException,non-finite result: 78643/131072 trajectories valid
julia,tsit5,performance,fixed,fixed,524288,dt,0.05859375,ErrorException,non-finite result: 0/524288 trajectories valid
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,ErrorException,non-finite result: 314573/524288 trajectories valid
julia,tsit5,performance,fixed,fixed,2097152,dt,0.05859375,ErrorException,non-finite result: 0/2097152 trajectories valid
julia,tsit5,performance,fixed,fixed,8388608,dt,0.05859375,ErrorException,non-finite result: 0/8388608 trajectories valid
julia,tsit5,performance,adaptive,julia,8388608,tol,1.0e-8,ErrorException,non-finite result: 5033165/8388608 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,3.75,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.9375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.46875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.234375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.1171875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.05859375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.029296875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0146484375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.00732421875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.010000000000000002,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.001,ErrorException,non-finite result: 52426/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.0001,ErrorException,non-finite result: 85203/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-5,ErrorException,non-finite result: 39325/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-6,ErrorException,non-finite result: 85200/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,ErrorException,non-finite result: 85197/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-8,ErrorException,non-finite result: 58982/131072 trajectories valid
julia,vern7,performance,fixed,fixed,8,dt,0.05859375,ErrorException,non-finite result: 0/8 trajectories valid
julia,vern7,performance,adaptive,julia,8,tol,1.0e-8,ErrorException,non-finite result: 3/8 trajectories valid
julia,vern7,performance,fixed,fixed,32,dt,0.05859375,ErrorException,non-finite result: 0/32 trajectories valid
julia,vern7,performance,fixed,fixed,128,dt,0.05859375,ErrorException,non-finite result: 0/128 trajectories valid
julia,vern7,performance,fixed,fixed,512,dt,0.05859375,ErrorException,non-finite result: 0/512 trajectories valid
julia,vern7,performance,fixed,fixed,2048,dt,0.05859375,ErrorException,non-finite result: 0/2048 trajectories valid
julia,vern7,performance,adaptive,julia,2048,tol,1.0e-8,ErrorException,non-finite result: 1792/2048 trajectories valid
julia,vern7,performance,fixed,fixed,8192,dt,0.05859375,ErrorException,non-finite result: 0/8192 trajectories valid
julia,vern7,performance,adaptive,julia,8192,tol,1.0e-8,ErrorException,non-finite result: 0/8192 trajectories valid
julia,vern7,performance,fixed,fixed,32768,dt,0.05859375,ErrorException,non-finite result: 0/32768 trajectories valid
julia,vern7,performance,adaptive,julia,32768,tol,1.0e-8,ErrorException,non-finite result: 15094/32768 trajectories valid
julia,vern7,performance,fixed,fixed,131072,dt,0.05859375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,ErrorException,non-finite result: 98303/131072 trajectories valid
julia,vern7,performance,fixed,fixed,524288,dt,0.05859375,ErrorException,non-finite result: 0/524288 trajectories valid
julia,vern7,performance,adaptive,julia,524288,tol,1.0e-8,ErrorException,non-finite result: 235930/524288 trajectories valid
julia,vern7,performance,fixed,fixed,2097152,dt,0.05859375,ErrorException,non-finite result: 0/2097152 trajectories valid
julia,vern7,performance,adaptive,julia,2097152,tol,1.0e-8,ErrorException,non-finite result: 1258291/2097152 trajectories valid
julia,vern7,performance,fixed,fixed,8388608,dt,0.05859375,ErrorException,non-finite result: 0/8388608 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,3.75,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,1.875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.9375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.46875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.234375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.1171875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.05859375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.029296875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0146484375,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.00732421875,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,adaptive,julia,131072,tol,0.010000000000000002,ErrorException,non-finite result: 94797/131072 trajectories valid
julia,vern7,work_precision,adaptive,julia,131072,tol,0.001,ErrorException,non-finite result: 94797/131072 trajectories valid
julia,vern7,work_precision,adaptive,julia,131072,tol,0.0001,ErrorException,non-finite result: 16154/131072 trajectories valid
