algorithm,mode,cubie_tier,n,setting_kind,setting,mutual_rmse,mutual_p99_abs,mutual_max_abs,finite_pairs,failed_pairs
tsit5,fixed,fixed,1024,dt,0.125,4.218176127368163e-05,0.00020026416599113083,0.0005588498168940248,1024,0
tsit5,fixed,fixed,1024,dt,0.0625,1.3052958561895842e-05,5.271970778807141e-05,0.00011059525146528415,1024,0
tsit5,fixed,fixed,1024,dt,0.03125,5.677205420105797e-06,2.159551546621506e-05,4.57596435552432e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.015625,3.0162671917309394e-06,1.1418766320905325e-05,2.7668786621859454e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.0078125,2.552733144969835e-06,9.541034631537215e-06,2.0033557129650603e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.00390625,2.39407433431586e-06,8.89209791849587e-06,2.001743164115055e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.001953125,2.5502406201985133e-06,1.0444918701573158e-05,1.9315861816249225e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.0009765625,2.414700143840185e-06,9.508516809439981e-06,2.1935452880761375e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.00048828125,2.3530280765014456e-06,8.676945119858718e-06,1.8830468750064e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.000244140625,2.4234477489728253e-06,9.352219396800968e-06,1.883202087382685e-05,1024,0
tsit5,fixed,fixed,1024,dt,0.0001220703125,2.3522960423975796e-06,9.533755175987756e-06,1.573935913068425e-05,1024,0
tsit5,adaptive,default,1024,tol,0.01,0.04421170786826336,0.18251482691918983,0.19211391530761723,1024,0
tsit5,adaptive,default,1024,tol,0.001,0.0034107395505388817,0.00892187606042448,0.010269166162109045,1024,0
tsit5,adaptive,default,1024,tol,0.0001,9.062753606868458e-05,0.00026757293215341706,0.0003125690380860746,1024,0
tsit5,adaptive,default,1024,tol,1e-05,8.138849650961974e-06,3.0181390123997768e-05,5.4402001953945955e-05,1024,0
tsit5,adaptive,default,1024,tol,1e-06,3.443690892665924e-06,1.2158465472495994e-05,2.571287841846015e-05,1024,0
tsit5,adaptive,pi,1024,tol,0.01,0.05971447444535177,0.2127232501678468,0.2687863837646489,1024,0
tsit5,adaptive,pi,1024,tol,0.001,0.00538602954154017,0.016376138178589197,0.018313419348144677,1024,0
tsit5,adaptive,pi,1024,tol,0.0001,0.00045671210799657535,0.001543373537475627,0.0018692146850582958,1024,0
tsit5,adaptive,pi,1024,tol,1e-05,4.4257128544321346e-05,0.0001232646035581286,0.000158276843261973,1024,0
tsit5,adaptive,pi,1024,tol,1e-06,3.8687174166957245e-06,1.430289614265945e-05,2.952757568408515e-05,1024,0
vern7,fixed,fixed,1024,dt,0.125,2.2630663288576016e-05,9.727032817385073e-05,0.00016641818115203932,1024,0
vern7,fixed,fixed,1024,dt,0.0625,5.855585698969722e-06,2.2895839843606325e-05,4.193260498119855e-05,1024,0
vern7,fixed,fixed,1024,dt,0.03125,2.6368457573734435e-06,1.1410266967981641e-05,2.479066162131005e-05,1024,0
vern7,fixed,fixed,1024,dt,0.015625,1.6348675343866716e-06,5.886817566023145e-06,1.1484497070668453e-05,1024,0
vern7,fixed,fixed,1024,dt,0.0078125,1.8177457449229526e-06,7.595618897049406e-06,1.62360229492009e-05,1024,0
vern7,fixed,fixed,1024,dt,0.00390625,1.870630654132451e-06,7.593106689043338e-06,1.5214379882166895e-05,1024,0
vern7,fixed,fixed,1024,dt,0.001953125,1.8293777445468995e-06,7.583767822225695e-06,1.5258360595904463e-05,1024,0
vern7,fixed,fixed,1024,dt,0.0009765625,1.9242787960656553e-06,7.937788152929662e-06,1.907567382808395e-05,1024,0
vern7,fixed,fixed,1024,dt,0.00048828125,1.7160281209850655e-06,6.6317990720321515e-06,1.95473425295134e-05,1024,0
vern7,fixed,fixed,1024,dt,0.000244140625,1.8722516377479962e-06,7.4291290192030025e-06,1.883943542502209e-05,1024,0
vern7,fixed,fixed,1024,dt,0.0001220703125,1.9347437090062332e-06,7.936537499904075e-06,1.4347900391342705e-05,1024,0
vern7,adaptive,default,1024,tol,0.01,0.00538259810525242,0.023207659795898915,0.02952768945312556,1024,0
vern7,adaptive,default,1024,tol,0.001,6.880653911000026e-05,0.0002750738764039882,0.0006070184265132283,1024,0
vern7,adaptive,default,1024,tol,0.0001,1.3208365398149346e-05,5.893418651739858e-05,0.00016884145507845005,1024,0
vern7,adaptive,default,1024,tol,1e-05,3.711797849830401e-06,1.2438921508390877e-05,3.4369433594250154e-05,1024,0
vern7,adaptive,default,1024,tol,1e-06,2.5286871617649702e-06,9.195926031502194e-06,1.8089013671840348e-05,1024,0
vern7,adaptive,pi,1024,tol,0.01,0.004972870687230283,0.022457353525389873,0.050131789453125464,1024,0
vern7,adaptive,pi,1024,tol,0.001,0.00013528464722840122,0.0004765706213871821,0.0005865082885740946,1024,0
vern7,adaptive,pi,1024,tol,0.0001,1.73729728247492e-05,7.183294907218584e-05,0.00014404592285188755,1024,0
vern7,adaptive,pi,1024,tol,1e-05,3.7333087804208e-06,1.3826106323544528e-05,2.668217773482695e-05,1024,0
vern7,adaptive,pi,1024,tol,1e-06,2.625781070308934e-06,9.496802978823382e-06,2.19450439455926e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.125,2.2336349691203937e-06,8.535958374604745e-06,1.7189672853135107e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.0625,1.4313994809671333e-06,4.799297852056128e-06,1.2417834472699951e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.03125,1.5488587289253182e-06,5.07598781126716e-06,9.488427734183347e-06,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.015625,2.102102921903498e-06,6.6836832764849416e-06,1.717330322215105e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.0078125,3.003399268728846e-06,1.0226773438285473e-05,2.37968750003148e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.00390625,4.090800265428924e-06,1.4461608971769719e-05,2.763045654319285e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.001953125,5.8788945021728425e-06,2.158173244601434e-05,5.05418090828158e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.0009765625,8.871916874657954e-06,3.052182531655845e-05,6.487911377028865e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.00048828125,1.608377080204128e-05,5.2454183910697336e-05,9.249713134806825e-05,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.000244140625,5.244012211587986e-05,0.0001795515298099026,0.00023551007080158115,1024,0
rosenbrock23_sciml,fixed,fixed,1024,dt,0.0001220703125,0.00023576262073098653,0.0008759177792478388,0.000996593088379072,1024,0
rosenbrock23_sciml,adaptive,default,1024,tol,0.01,0.07103183129509351,0.17544308235546882,0.21061992502441385,1024,0
rosenbrock23_sciml,adaptive,default,1024,tol,0.001,0.005892219897945128,0.013777456523047122,0.01640272111572294,1024,0
rosenbrock23_sciml,adaptive,default,1024,tol,0.0001,0.0006110566254499041,0.0018325588229370115,0.0020065343225095233,1024,0
rosenbrock23_sciml,adaptive,default,1024,tol,1e-05,0.00013973224970130756,0.0003056505429688894,0.0003309299499507645,1024,0
rosenbrock23_sciml,adaptive,default,1024,tol,1e-06,3.4418848931912284e-05,6.944737830810953e-05,9.54070922851713e-05,1024,0
