framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
cubie,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
cubie,tsit5,performance,adaptive,default,131072,tol,1e-08,,131072,0,
cubie,tsit5,performance,adaptive,pi,131072,tol,1e-08,,131072,0,
cubie,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
cubie,tsit5,performance,adaptive,default,524288,tol,1e-08,,524288,0,
cubie,tsit5,performance,adaptive,pi,524288,tol,1e-08,,524288,0,
cubie,tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
cubie,tsit5,performance,adaptive,default,2097152,tol,1e-08,,2097152,0,
cubie,tsit5,performance,adaptive,pi,2097152,tol,1e-08,,2097152,0,
cubie,tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
cubie,tsit5,performance,adaptive,default,8388608,tol,1e-08,,8388608,0,
cubie,tsit5,performance,adaptive,pi,8388608,tol,1e-08,,8388608,0,
cubie,vern7,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
cubie,vern7,performance,adaptive,default,131072,tol,1e-08,,131072,0,
cubie,vern7,performance,adaptive,pi,131072,tol,1e-08,,131072,0,
cubie,vern7,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
cubie,vern7,performance,adaptive,default,524288,tol,1e-08,,524288,0,
cubie,vern7,performance,adaptive,pi,524288,tol,1e-08,,524288,0,
cubie,vern7,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
cubie,vern7,performance,adaptive,default,2097152,tol,1e-08,,2097152,0,
cubie,vern7,performance,adaptive,pi,2097152,tol,1e-08,,2097152,0,
cubie,vern7,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
cubie,vern7,performance,adaptive,default,8388608,tol,1e-08,,8388608,0,
cubie,vern7,performance,adaptive,pi,8388608,tol,1e-08,,8388608,0,
cubie,rosenbrock23_sciml,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
cubie,rosenbrock23_sciml,performance,adaptive,default,131072,tol,1e-08,,131072,0,
cubie,rosenbrock23_sciml,performance,adaptive,pi,131072,tol,1e-08,,131072,0,
cubie,rosenbrock23_sciml,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
cubie,rosenbrock23_sciml,performance,adaptive,default,524288,tol,1e-08,,524288,0,
cubie,rosenbrock23_sciml,performance,adaptive,pi,524288,tol,1e-08,,524288,0,
cubie,rosenbrock23_sciml,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
cubie,rosenbrock23_sciml,performance,adaptive,default,2097152,tol,1e-08,,2097152,0,
cubie,rosenbrock23_sciml,performance,adaptive,pi,2097152,tol,1e-08,,2097152,0,
cubie,rosenbrock23_sciml,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
cubie,rosenbrock23_sciml,performance,adaptive,default,8388608,tol,1e-08,,8388608,0,
cubie,rosenbrock23_sciml,performance,adaptive,pi,8388608,tol,1e-08,,8388608,0,
cubie,kvaerno3,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
cubie,kvaerno3,performance,adaptive,default,131072,tol,1e-08,,131072,0,
cubie,kvaerno3,performance,adaptive,pi,131072,tol,1e-08,,131072,0,
cubie,kvaerno3,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
cubie,kvaerno3,performance,adaptive,default,524288,tol,1e-08,,524288,0,
cubie,kvaerno3,performance,adaptive,pi,524288,tol,1e-08,,524288,0,
cubie,kvaerno3,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
cubie,kvaerno3,performance,adaptive,default,2097152,tol,1e-08,,2097152,0,
