framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0,0.553598
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0,0.500382
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,1,0.529981
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,1,0.44801
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,2,0.493599
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,2,0.41174
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,3,0.446473
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,3,0.439127
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,4,0.45619
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,4,0.437136
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,5,0.488897
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,5,0.443517
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,6,0.489593
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,6,0.410947
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,7,0.494464
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,7,0.41256
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,8,0.489234
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,8,0.411878
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,9,0.485816
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,9,0.443422
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,10,0.488974
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,10,0.443642
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,11,0.455056
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,11,0.441333
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,12,0.455772
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,12,0.440971
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,13,0.490463
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,13,0.443864
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,14,0.49294
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,14,0.445822
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,15,0.493233
