framework,algorithm,phase,mode,tier,n,setting_kind,setting,error_type,message
julia,tsit5,performance,fixed,fixed,8,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/8 trajectories valid
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,ErrorException,non-finite result: 4/8 trajectories valid
julia,tsit5,performance,fixed,fixed,32,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/32 trajectories valid
julia,tsit5,performance,fixed,fixed,128,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/128 trajectories valid
julia,tsit5,performance,fixed,fixed,512,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/512 trajectories valid
julia,tsit5,performance,fixed,fixed,2048,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/2048 trajectories valid
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,ErrorException,non-finite result: 1792/2048 trajectories valid
julia,tsit5,performance,fixed,fixed,8192,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/8192 trajectories valid
julia,tsit5,performance,fixed,fixed,32768,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/32768 trajectories valid
julia,tsit5,performance,fixed,fixed,131072,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,ErrorException,non-finite result: 78643/131072 trajectories valid
julia,tsit5,performance,fixed,fixed,524288,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/524288 trajectories valid
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,ErrorException,non-finite result: 332049/524288 trajectories valid
julia,tsit5,performance,fixed,fixed,2097152,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/2097152 trajectories valid
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,ErrorException,watchdog: run exceeded 120.0 s
julia,tsit5,performance,fixed,fixed,8388608,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/8388608 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,6.25000029685907e-5,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,3.125000148429535e-5,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.5625000742147677e-5,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,7.812500371073838e-6,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,3.906250185536919e-6,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.9531250927684596e-6,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,9.765625463842298e-7,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,4.882812731921149e-7,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,2.4414063659605745e-7,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.2207031829802872e-7,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.010000000000000002,ErrorException,non-finite result: 0/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.001,ErrorException,non-finite result: 122330/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.0001,ErrorException,non-finite result: 100488/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-5,ErrorException,non-finite result: 100488/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-6,ErrorException,non-finite result: 30575/131072 trajectories valid
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,ErrorException,non-finite result: 113587/131072 trajectories valid
