dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,converged
0.0005,0,1.10649596e-08,-2.61691357e-09,-0.00187902409,0.00187902083,0.00187901501,-0.00187903002,0.00642941846,4.01201628e-14,3.3168352e-13,6.5040862e-05,6.50408474e-05,-6.50409202e-05,-6.50408983e-05,2.25476998e-11,-2.19756852e-12,1
0.0005,1,-0.000591853866,0.000189529514,-0.00217361655,0.00158446829,0.00198191311,-0.00177617266,0.00642952556,3.68350878e-10,1.86048413e-10,6.49853173e-05,6.50980073e-05,-6.53765892e-05,-6.47069319e-05,6.18055722e-08,-2.8535851e-07,1
0.0005,2,-0.00118372624,0.000379110366,-0.00246825535,0.00128995907,0.00208481308,-0.00167340075,0.00642977702,7.36664341e-10,3.73272635e-10,6.49316935e-05,6.51570226e-05,-6.57139317e-05,-6.43748645e-05,1.23626677e-07,-5.70608677e-07,1
0.0005,3,-0.00177555403,0.000568643038,-0.00276293256,0.000995484996,0.00218779035,-0.00157062977,0.00643020356,1.10498843e-09,5.5959487e-10,6.48795467e-05,6.52176095e-05,-6.60530495e-05,-6.40443177e-05,1.85415971e-07,-8.55983728e-07,1
0.0005,4,-0.00236739102,0.000758300128,-0.00305765891,0.00070105819,0.00229081092,-0.00146790361,0.00643081451,1.47338652e-09,7.45761952e-10,6.48293935e-05,6.52801318e-05,-6.63940009e-05,-6.37155608e-05,2.47265035e-07,-1.14133275e-06,1
0.0005,5,-0.00295928307,0.000947919092,-0.00335241901,0.00040667376,0.00239388808,-0.00136520318,0.0064315768,1.84169702e-09,9.32465882e-10,6.47808047e-05,6.53442839e-05,-6.6736633e-05,-6.33884629e-05,3.09008811e-07,-1.42672729e-06,1
0.0005,6,-0.00355117652,0.00113748678,-0.00364722242,0.000112326787,0.00249701831,-0.00126252975,0.00643251836,2.21012253e-09,1.119007e-09,6.47339766e-05,6.54101095e-05,-6.70810186e-05,-6.30630602e-05,3.70860988e-07,-1.71216664e-06,1
0.0005,7,-0.00414299313,0.00132719625,-0.00394206727,-0.000181975367,0.00260020723,-0.00115988485,0.00643363921,2.57852095e-09,1.30501498e-09,6.46888002e-05,6.54776595e-05,-6.7427296e-05,-6.27393019e-05,4.32638046e-07,-1.99764418e-06,1
0.0005,8,-0.00473489333,0.00151681341,-0.00423694262,-0.000476231769,0.00270345225,-0.00105726568,0.0064349235,2.94668645e-09,1.49191626e-09,6.4645159e-05,6.55469339e-05,-6.77752396e-05,-6.24172681e-05,4.94322194e-07,-2.28316048e-06,1
0.0005,9,-0.00532681635,0.00170646131,-0.00453186966,-0.000770444749,0.00280677155,-0.000954654708,0.00643638754,3.3148515e-09,1.67818859e-09,6.46035551e-05,6.56181728e-05,-6.81250094e-05,-6.20967767e-05,5.56053863e-07,-2.56877456e-06,1
0.0005,10,-0.00591853168,0.00189634273,-0.00482683443,-0.00106462627,0.00291013555,-0.000852084951,0.00643802295,3.68339403e-09,1.86558724e-09,6.45633845e-05,6.56907578e-05,-6.84765837e-05,-6.17780897e-05,6.17858063e-07,-2.8543875e-06,1
0.0005,11,-0.0065104668,0.00208615884,-0.00512184482,-0.00135875156,0.00301359408,-0.000749501924,0.0064398204,4.05182021e-09,2.051878e-09,6.4525193e-05,6.57654673e-05,-6.88300352e-05,-6.14609526e-05,6.79547384e-07,-3.14014824e-06,1
