dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,converged
0.0005,0,-1.59708083e-15,1.59521366e-15,3.34917816e-10,-3.34917816e-10,-3.34917871e-10,3.34917732e-10,-1.88061122e-09,3.16716531e-21,1.6770229e-20,-1.88155221e-11,-1.88155221e-11,1.88155221e-11,1.88155221e-11,-1.00938679e-19,1.48431202e-19,1
0.0005,1,3.14279491e-10,1.52711983e-15,4.92048513e-10,-1.77787035e-10,-3.34917899e-10,3.34917732e-10,-1.88061122e-09,-1.77105645e-14,2.67677973e-20,-1.88151803e-11,-1.88158621e-11,1.88155221e-11,1.88155221e-11,4.56919082e-14,2.5420258e-19,1
0.0005,2,6.28545327e-10,-4.87230419e-15,6.49179266e-10,-2.06562267e-11,-3.34917927e-10,3.34917705e-10,-1.88061122e-09,-3.54211323e-14,2.15379979e-20,-1.88148386e-11,-1.88162003e-11,1.88155221e-11,1.88155221e-11,9.13823189e-14,1.48431202e-19,1
0.0005,3,9.42819378e-10,1.59450681e-15,8.06310074e-10,1.36474582e-10,-3.34917927e-10,3.34917677e-10,-1.88061122e-09,-5.31317137e-14,2.39218791e-20,-1.88144986e-11,-1.88165386e-11,1.88155221e-11,1.88155221e-11,1.37073404e-13,1.48282284e-19,1
0.0005,4,1.25709065e-09,-4.94039802e-15,9.63440772e-10,2.93605251e-10,-3.34917927e-10,3.34917705e-10,-1.88061122e-09,-7.08422578e-14,3.3919449e-20,-1.88141586e-11,-1.88168821e-11,1.88155221e-11,1.88155221e-11,1.82764855e-13,2.5420258e-19,1
0.0005,5,1.57147562e-09,-6.93698408e-13,1.12066978e-09,4.50789905e-10,-3.35309225e-10,3.34570732e-10,-1.88073246e-09,-8.85649518e-14,7.8000412e-17,-1.88162402e-11,-1.88172186e-11,1.88179437e-11,1.88155221e-11,2.27264564e-13,1.08405119e-15,1
0.0005,6,1.88574933e-09,-6.93600179e-13,1.27780031e-09,6.07920714e-10,-3.35309391e-10,3.34570593e-10,-1.88073246e-09,-1.06275503e-13,7.80230767e-17,-1.88158916e-11,-1.88175534e-11,1.88179455e-11,1.88155203e-11,2.72957492e-13,1.08438132e-15,1
0.0005,7,2.20002994e-09,-7.00128269e-13,1.43493151e-09,7.65051633e-10,-3.35309253e-10,3.34570704e-10,-1.88073246e-09,-1.23986094e-13,7.79975665e-17,-1.8815562e-11,-1.88178952e-11,1.88179455e-11,1.88155221e-11,3.18643739e-13,1.08350951e-15,1
0.0005,8,2.5143021e-09,-6.93668051e-13,1.59206193e-09,9.22182053e-10,-3.35309225e-10,3.34570704e-10,-1.88073246e-09,-1.41696591e-13,7.80075655e-17,-1.88152202e-11,-1.88182421e-11,1.88179437e-11,1.88155203e-11,3.64338713e-13,1.08448709e-15,1
0.0005,9,2.82857338e-09,-7.00098074e-13,1.74919257e-09,1.07931286e-09,-3.3530928e-10,3.34570704e-10,-1.88073246e-09,-1.59407169e-13,7.80023311e-17,-1.88148802e-11,-1.88185786e-11,1.88179455e-11,1.88155221e-11,4.10029432e-13,1.08394542e-15,1
0.0005,10,3.14284909e-09,-6.93599963e-13,1.90632354e-09,1.2364435e-09,-3.3530928e-10,3.34570649e-10,-1.88073246e-09,-1.77117761e-13,7.80047133e-17,-1.88145506e-11,-1.88189325e-11,1.88179437e-11,1.88155203e-11,4.55722645e-13,1.08438132e-15,1
0.0005,11,3.45711881e-09,-6.93668051e-13,2.06345518e-09,1.39357426e-09,-3.3530928e-10,3.34570649e-10,-1.88073246e-09,-1.94828406e-13,7.80147123e-17,-1.8814228e-11,-1.88192899e-11,1.88179437e-11,1.88155203e-11,5.01413472e-13,1.08448709e-15,1
0.0005,12,3.77139386e-09,-7.00165945e-13,2.22058527e-09,1.5507049e-09,-3.35309308e-10,3.34570649e-10,-1.88073246e-09,-2.1253893e-13,7.80170946e-17,-1.88138654e-11,-1.88196143e-11,1.88179455e-11,1.88155221e-11,5.4710739e-13,1.08405119e-15,1
0.0005,13,4.08588718e-09,6.96884445e-13,2.37782372e-09,1.7080326e-09,-3.3452674e-10,3.35264538e-10,-1.88048999e-09,-2.30273754e-13,-7.7916344e-17,-1.88135167e-11,-1.88150884e-11,1.88131004e-11,1.88155221e-11,5.90409774e-13,-1.08277672e-15,1
0.0005,14,4.40016379e-09,6.96884445e-13,2.53495402e-09,1.86516314e-09,-3.34526767e-10,3.35264511e-10,-1.88048999e-09,-2.47984305e-13,-7.79139683e-17,-1.88131715e-11,-1.88154266e-11,1.88131004e-11,1.88155221e-11,6.3610239e-13,-1.08277672e-15,1
0.0005,15,4.71443418e-09,6.96817062e-13,2.69208522e-09,2.02229389e-09,-3.34526767e-10,3.35264483e-10,-1.88048999e-09,-2.65694855e-13,-7.79039561e-17,-1.88128419e-11,-1.88157857e-11,1.88131004e-11,1.88155221e-11,6.81797826e-13,-1.08267084e-15,1
0.0005,16,5.02870634e-09,6.90385791e-13,2.84921575e-09,2.17942442e-09,-3.34526795e-10,3.35264483e-10,-1.88048999e-09,-2.83405406e-13,-7.79091905e-17,-1.88124967e-11,-1.88161188e-11,1.88131004e-11,1.88155221e-11,7.27488111e-13,-1.08321263e-15,1
0.0005,17,5.34298117e-09,7.25713055e-13,3.00634184e-09,2.33655362e-09,-3.34506534e-10,3.35282357e-10,-1.88049043e-09,-3.01127585e-13,-3.95941581e-18,-1.88121446e-11,-1.88164553e-11,1.88131004e-11,1.88155221e-11,7.7319119e-13,-1.1321364e-15,1
0.0005,18,5.657248e-09,7.24935736e-13,3.16347082e-09,2.49368259e-09,-3.34506756e-10,3.35282052e-10,-1.88049043e-09,-3.18837865e-13,-3.89361855e-18,-1.88118011e-11,-1.88167884e-11,1.88131004e-11,1.88155186e-11,8.18880445e-13,-1.13124628e-15,1
