traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,0,0,0,0,0,0,0,6.51687038e-13,0.00100000005,0,0,0,0,0,0
1,0,0,1.40129846e-45,6.51698476e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.51721407e-13,0.00100000005,0,0,0
3,0,0,0,0,0,1.40129846e-45,6.51732845e-13,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.51755722e-13,0.00100000005
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.40129846e-45,6.51790091e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1.40129846e-45,6.51813022e-13,0.00100000005,0,0,0,0,0
8,0,0,0,1.40129846e-45,6.5182446e-13,0.00100000005,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.51847337e-13,0.00100000005,0,0
10,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
11,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.51881706e-13
12,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
13,0,1.40129846e-45,6.51916075e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1.40129846e-45,6.51938952e-13,0.00100000005,0,0,0,0
15,0,0,0,0,1.40129846e-45,6.51950445e-13,0.00100000005,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.51973321e-13,0.00100000005,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6.5200769e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
19,0,0,0,0,0,0,0,6.52030621e-13,0.00100000005,0,0,0,0,0,0
20,0,0,1.40129846e-45,6.5204206e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52064936e-13,0.00100000005,0,0,0
22,0,0,0,0,0,1.40129846e-45,6.52076429e-13,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52099306e-13,0.00100000005
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.40129846e-45,6.52133675e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1.40129846e-45,6.52156606e-13,0.00100000005,0,0,0,0,0
27,0,0,0,1.40129846e-45,6.52168044e-13,0.00100000005,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52190975e-13,0.00100000005,0,0
29,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
30,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52225344e-13
31,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
32,0,1.40129846e-45,6.52259713e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,1.40129846e-45,6.52282644e-13,0.00100000005,0,0,0,0
34,0,0,0,0,1.40129846e-45,6.52294082e-13,0.00100000005,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52317013e-13,0.00100000005,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6.52351383e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
38,0,0,0,0,0,0,0,6.52374313e-13,0.00100000005,0,0,0,0,0,0
39,0,0,1.40129846e-45,6.52385806e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52408683e-13,0.00100000005,0,0,0
41,0,0,0,0,0,1.40129846e-45,6.52420175e-13,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52443106e-13,0.00100000005
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.40129846e-45,6.52477475e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,1.40129846e-45,6.52500406e-13,0.00100000005,0,0,0,0,0
46,0,0,0,1.40129846e-45,6.52511844e-13,0.00100000005,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52534775e-13,0.00100000005,0,0
48,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
49,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52569199e-13
50,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
51,0,1.40129846e-45,6.52603568e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,1.40129846e-45,6.52626499e-13,0.00100000005,0,0,0,0
53,0,0,0,0,1.40129846e-45,6.52637937e-13,0.00100000005,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52660868e-13,0.00100000005,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6.52695291e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
57,0,0,0,0,0,0,0,6.52718222e-13,0.00100000005,0,0,0,0,0,0
58,0,0,1.40129846e-45,6.52729715e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52752646e-13,0.00100000005,0,0,0
60,0,0,0,0,0,1.40129846e-45,6.52764084e-13,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52787015e-13,0.00100000005
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1.40129846e-45,6.52821438e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1.40129846e-45,6.52844369e-13,0.00100000005,0,0,0,0,0
65,0,0,0,1.40129846e-45,6.52855862e-13,0.00100000005,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.52878793e-13,0.00100000005,0,0
67,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
