traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96419051e-13
1,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
2,0,1.40129846e-45,6.96455751e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1.40129846e-45,6.964802e-13,0.00100000005,0,0,0,0
4,0,0,0,0,1.40129846e-45,6.96492451e-13,0.00100000005,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.965169e-13,0.00100000005,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.965536e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
8,0,0,0,0,0,0,0,6.96578103e-13,0.00100000005,0,0,0,0,0,0
9,0,0,1.40129846e-45,6.96590355e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96614804e-13,0.00100000005,0,0,0
11,0,0,0,0,0,1.40129846e-45,6.96627055e-13,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96651504e-13,0.00100000005
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.40129846e-45,6.96688258e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,1.40129846e-45,6.96712707e-13,0.00100000005,0,0,0,0,0
16,0,0,0,1.40129846e-45,6.96724959e-13,0.00100000005,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96749407e-13,0.00100000005,0,0
18,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
19,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96786162e-13
20,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
21,0,1.40129846e-45,6.96822862e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,1.40129846e-45,6.96847365e-13,0.00100000005,0,0,0,0
23,0,0,0,0,1.40129846e-45,6.96859616e-13,0.00100000005,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96884065e-13,0.00100000005,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6.9692082e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
27,0,0,0,0,0,0,0,6.96945323e-13,0.00100000005,0,0,0,0,0,0
28,0,0,1.40129846e-45,6.9695752e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.96982023e-13,0.00100000005,0,0,0
30,0,0,0,0,0,1.40129846e-45,6.96994274e-13,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.97018777e-13,0.00100000005
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.40129846e-45,6.97055478e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1.40129846e-45,6.97079981e-13,0.00100000005,0,0,0,0,0
35,0,0,0,1.40129846e-45,6.97092232e-13,0.00100000005,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.97116735e-13,0.00100000005,0,0
37,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
38,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.97153489e-13
39,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
40,0,1.40129846e-45,6.9719019e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,1.40129846e-45,6.97214693e-13,0.00100000005,0,0,0,0
42,0,0,0,0,1.40129846e-45,6.97226944e-13,0.00100000005,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,6.97251447e-13,0.00100000005,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6.97288202e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
46,0,0,0,0,0,0,0,6.97312705e-13,0.00100000005,0,0,0,0,0,0
47,0,0,1.40129846e-45,6.97324956e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
