traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,1.40129846e-45,8.49909878e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1.40129846e-45,8.49939747e-13,0.00100000005,0,0,0,0,0
2,0,0,0,1.40129846e-45,8.49954655e-13,0.00100000005,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.49984525e-13,0.00100000005,0,0
4,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
5,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50029303e-13
6,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
7,0,1.40129846e-45,8.50074134e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1.40129846e-45,8.50104004e-13,0.00100000005,0,0,0,0
9,0,0,0,0,1.40129846e-45,8.50118912e-13,0.00100000005,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50148782e-13,0.00100000005,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8.50193613e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
13,0,0,0,0,0,0,0,8.50223483e-13,0.00100000005,0,0,0,0,0,0
14,0,0,1.40129846e-45,8.50238391e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50268261e-13,0.00100000005,0,0,0
16,0,0,0,0,0,1.40129846e-45,8.50283223e-13,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50313093e-13,0.00100000005
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.40129846e-45,8.50357924e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1.40129846e-45,8.50387794e-13,0.00100000005,0,0,0,0,0
21,0,0,0,1.40129846e-45,8.50402702e-13,0.00100000005,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50432572e-13,0.00100000005,0,0
23,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
24,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50477403e-13
25,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
26,0,1.40129846e-45,8.50522235e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,1.40129846e-45,8.50552105e-13,0.00100000005,0,0,0,0
28,0,0,0,0,1.40129846e-45,8.50567067e-13,0.00100000005,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50596937e-13,0.00100000005,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,8.50641768e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
32,0,0,0,0,0,0,0,8.50671692e-13,0.00100000005,0,0,0,0,0,0
33,0,0,1.40129846e-45,8.506866e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50716524e-13,0.00100000005,0,0,0
35,0,0,0,0,0,1.40129846e-45,8.50731432e-13,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,8.50761356e-13,0.00100000005
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.40129846e-45,8.50806188e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
