traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95318943e-13,0.00100000005,0,0,0,0
1,0,0,0,0,1.40129846e-45,7.95332929e-13,0.00100000005,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95360847e-13,0.00100000005,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.95402806e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
5,0,0,0,0,0,0,0,7.95430724e-13,0.00100000005,0,0,0,0,0,0
6,0,0,1.40129846e-45,7.95444711e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95472683e-13,0.00100000005,0,0,0
8,0,0,0,0,0,1.40129846e-45,7.95486615e-13,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95514587e-13,0.00100000005
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.40129846e-45,7.95556492e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,1.40129846e-45,7.95584464e-13,0.00100000005,0,0,0,0,0
13,0,0,0,1.40129846e-45,7.9559845e-13,0.00100000005,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95626369e-13,0.00100000005,0,0
15,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
16,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95668327e-13
17,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
18,0,1.40129846e-45,7.95710232e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,1.40129846e-45,7.95738204e-13,0.00100000005,0,0,0,0
20,0,0,0,0,1.40129846e-45,7.9575219e-13,0.00100000005,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95780163e-13,0.00100000005,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7.95822067e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
24,0,0,0,0,0,0,0,7.9585004e-13,0.00100000005,0,0,0,0,0,0
25,0,0,1.40129846e-45,7.95864026e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95891998e-13,0.00100000005,0,0,0
27,0,0,0,0,0,1.40129846e-45,7.95905984e-13,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.95933957e-13,0.00100000005
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.40129846e-45,7.95975915e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1.40129846e-45,7.96003834e-13,0.00100000005,0,0,0,0,0
32,0,0,0,1.40129846e-45,7.9601782e-13,0.00100000005,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96045792e-13,0.00100000005,0,0
34,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
35,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96087751e-13
36,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
37,0,1.40129846e-45,7.96129709e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,1.40129846e-45,7.96157682e-13,0.00100000005,0,0,0,0
39,0,0,0,0,1.40129846e-45,7.96171668e-13,0.00100000005,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96199641e-13,0.00100000005,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7.96241599e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
43,0,0,0,0,0,0,0,7.96269572e-13,0.00100000005,0,0,0,0,0,0
44,0,0,1.40129846e-45,7.96283558e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96311584e-13,0.00100000005,0,0,0
46,0,0,0,0,0,1.40129846e-45,7.96325571e-13,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96353543e-13,0.00100000005
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.40129846e-45,7.96395502e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1.40129846e-45,7.96423474e-13,0.00100000005,0,0,0,0,0
51,0,0,0,1.40129846e-45,7.9643746e-13,0.00100000005,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96465433e-13,0.00100000005,0,0
53,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
54,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96507446e-13
55,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
56,0,1.40129846e-45,7.96549404e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,1.40129846e-45,7.96577377e-13,0.00100000005,0,0,0,0
58,0,0,0,0,1.40129846e-45,7.96591417e-13,0.00100000005,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96619389e-13,0.00100000005,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,7.96661348e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
62,0,0,0,0,0,0,0,7.96689375e-13,0.00100000005,0,0,0,0,0,0
63,0,0,1.40129846e-45,7.96703361e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96731333e-13,0.00100000005,0,0,0
65,0,0,0,0,0,1.40129846e-45,7.96745319e-13,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96773346e-13,0.00100000005
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.40129846e-45,7.96815305e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,1.40129846e-45,7.96843331e-13,0.00100000005,0,0,0,0,0
70,0,0,0,1.40129846e-45,7.96857318e-13,0.00100000005,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96885344e-13,0.00100000005,0,0
72,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
73,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.96927303e-13
74,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
75,0,1.40129846e-45,7.96969316e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,1.40129846e-45,7.96997342e-13,0.00100000005,0,0,0,0
