traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,0,0,0,0,0,1.40129846e-45,7.44221416e-13,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44247546e-13,0.00100000005
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.40129846e-45,7.44286794e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1.40129846e-45,7.44312923e-13,0.00100000005,0,0,0,0,0
5,0,0,0,1.40129846e-45,7.44326042e-13,0.00100000005,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44352171e-13,0.00100000005,0,0
7,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
8,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44391419e-13
9,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
10,0,1.40129846e-45,7.44430613e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1.40129846e-45,7.44456797e-13,0.00100000005,0,0,0,0
12,0,0,0,0,1.40129846e-45,7.44469861e-13,0.00100000005,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44496045e-13,0.00100000005,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7.44535239e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
16,0,0,0,0,0,0,0,7.44561422e-13,0.00100000005,0,0,0,0,0,0
17,0,0,1.40129846e-45,7.44574487e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4460067e-13,0.00100000005,0,0,0
19,0,0,0,0,0,1.40129846e-45,7.44613735e-13,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44639918e-13,0.00100000005
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.40129846e-45,7.44679166e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1.40129846e-45,7.44705296e-13,0.00100000005,0,0,0,0,0
24,0,0,0,1.40129846e-45,7.44718415e-13,0.00100000005,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44744544e-13,0.00100000005,0,0
26,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
27,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44783792e-13
28,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
29,0,1.40129846e-45,7.44823094e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,1.40129846e-45,7.44849224e-13,0.00100000005,0,0,0,0
31,0,0,0,0,1.40129846e-45,7.44862342e-13,0.00100000005,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44888472e-13,0.00100000005,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,7.44927774e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
35,0,0,0,0,0,0,0,7.44953903e-13,0.00100000005,0,0,0,0,0,0
36,0,0,1.40129846e-45,7.44967022e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.44993206e-13,0.00100000005,0,0,0
38,0,0,0,0,0,1.40129846e-45,7.4500627e-13,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45032454e-13,0.00100000005
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.40129846e-45,7.45071702e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1.40129846e-45,7.45097885e-13,0.00100000005,0,0,0,0,0
43,0,0,0,1.40129846e-45,7.45111004e-13,0.00100000005,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45137188e-13,0.00100000005,0,0
45,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
46,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45176436e-13
47,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
48,0,1.40129846e-45,7.45215684e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,1.40129846e-45,7.45241867e-13,0.00100000005,0,0,0,0
50,0,0,0,0,1.40129846e-45,7.45254986e-13,0.00100000005,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4528117e-13,0.00100000005,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7.45320472e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
54,0,0,0,0,0,0,0,7.45346655e-13,0.00100000005,0,0,0,0,0,0
55,0,0,1.40129846e-45,7.4535972e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45385904e-13,0.00100000005,0,0,0
57,0,0,0,0,0,1.40129846e-45,7.45399022e-13,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45425206e-13,0.00100000005
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.40129846e-45,7.45464508e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,1.40129846e-45,7.45490692e-13,0.00100000005,0,0,0,0,0
62,0,0,0,1.40129846e-45,7.45503756e-13,0.00100000005,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45529994e-13,0.00100000005,0,0
64,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
65,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45569242e-13
66,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
67,0,1.40129846e-45,7.45608545e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,1.40129846e-45,7.45634728e-13,0.00100000005,0,0,0,0
69,0,0,0,0,1.40129846e-45,7.45647847e-13,0.00100000005,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4567403e-13,0.00100000005,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7.45713333e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
73,0,0,0,0,0,0,0,7.4573957e-13,0.00100000005,0,0,0,0,0,0
74,0,0,1.40129846e-45,7.45752635e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45778873e-13,0.00100000005,0,0,0
76,0,0,0,0,0,1.40129846e-45,7.45791937e-13,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45818175e-13,0.00100000005
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
