traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.70607384e-13,0.00100000005,0,0
1,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
2,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.70658449e-13
3,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
4,0,1.40129846e-45,9.70709624e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1.40129846e-45,9.70743776e-13,0.00100000005,0,0,0,0
6,0,0,0,0,1.40129846e-45,9.70760798e-13,0.00100000005,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.70794951e-13,0.00100000005,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.70846125e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
10,0,0,0,0,0,0,0,9.70880169e-13,0.00100000005,0,0,0,0,0,0
11,0,0,1.40129846e-45,9.70897299e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.70931343e-13,0.00100000005,0,0,0
13,0,0,0,0,0,1.40129846e-45,9.70948474e-13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.70982517e-13,0.00100000005
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.40129846e-45,9.71033692e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1.40129846e-45,9.71067844e-13,0.00100000005,0,0,0,0,0
18,0,0,0,1.40129846e-45,9.71084866e-13,0.00100000005,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.71119019e-13,0.00100000005,0,0
20,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
21,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.71170193e-13
22,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
23,0,1.40129846e-45,9.71221367e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1.40129846e-45,9.7125552e-13,0.00100000005,0,0,0,0
25,0,0,0,0,1.40129846e-45,9.71272542e-13,0.00100000005,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.71306694e-13,0.00100000005,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9.71357868e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
29,0,0,0,0,0,0,0,9.71392021e-13,0.00100000005,0,0,0,0,0,0
30,0,0,1.40129846e-45,9.71409043e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.71443195e-13,0.00100000005,0,0,0
32,0,0,0,0,0,1.40129846e-45,9.71460217e-13,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.71494369e-13,0.00100000005
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.40129846e-45,9.71545652e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
