traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.08279799e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
2,0,0,0,0,0,0,0,9.08311729e-13,0.00100000005,0,0,0,0,0,0
3,0,0,1.40129846e-45,9.08327667e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.08359596e-13,0.00100000005,0,0,0
5,0,0,0,0,0,1.40129846e-45,9.08375534e-13,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.08407464e-13,0.00100000005
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.40129846e-45,9.08455331e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1.40129846e-45,9.08487261e-13,0.00100000005,0,0,0,0,0
10,0,0,0,1.40129846e-45,9.08503253e-13,0.00100000005,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.08535129e-13,0.00100000005,0,0
12,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.0858305e-13
14,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
15,0,1.40129846e-45,9.08630918e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1.40129846e-45,9.08662848e-13,0.00100000005,0,0,0,0
17,0,0,0,0,1.40129846e-45,9.08678785e-13,0.00100000005,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.08710715e-13,0.00100000005,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9.08758637e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
21,0,0,0,0,0,0,0,9.08790567e-13,0.00100000005,0,0,0,0,0,0
22,0,0,1.40129846e-45,9.08806504e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.08838434e-13,0.00100000005,0,0,0
24,0,0,0,0,0,1.40129846e-45,9.08854426e-13,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.08886356e-13,0.00100000005
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.40129846e-45,9.08934278e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1.40129846e-45,9.08966207e-13,0.00100000005,0,0,0,0,0
29,0,0,0,1.40129846e-45,9.08982145e-13,0.00100000005,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09014075e-13,0.00100000005,0,0
31,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
32,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09061997e-13
33,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
34,0,1.40129846e-45,9.09109918e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,1.40129846e-45,9.09141848e-13,0.00100000005,0,0,0,0
36,0,0,0,0,1.40129846e-45,9.0915784e-13,0.00100000005,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.0918977e-13,0.00100000005,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,9.09237692e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
40,0,0,0,0,0,0,0,9.09269621e-13,0.00100000005,0,0,0,0,0,0
41,0,0,1.40129846e-45,9.09285613e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09317543e-13,0.00100000005,0,0,0
43,0,0,0,0,0,1.40129846e-45,9.09333535e-13,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09365465e-13,0.00100000005
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.40129846e-45,9.09413387e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,1.40129846e-45,9.09445371e-13,0.00100000005,0,0,0,0,0
48,0,0,0,1.40129846e-45,9.09461363e-13,0.00100000005,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09493292e-13,0.00100000005,0,0
50,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
51,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09541214e-13
52,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
53,0,1.40129846e-45,9.09589136e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,1.40129846e-45,9.0962112e-13,0.00100000005,0,0,0,0
55,0,0,0,0,1.40129846e-45,9.09637058e-13,0.00100000005,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09669041e-13,0.00100000005,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,9.09716963e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
59,0,0,0,0,0,0,0,9.09748947e-13,0.00100000005,0,0,0,0,0,0
60,0,0,1.40129846e-45,9.09764993e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09796869e-13,0.00100000005,0,0,0
62,0,0,0,0,0,1.40129846e-45,9.09812915e-13,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09844899e-13,0.00100000005
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1.40129846e-45,9.09892821e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,1.40129846e-45,9.09924805e-13,0.00100000005,0,0,0,0,0
67,0,0,0,1.40129846e-45,9.09940743e-13,0.00100000005,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.09972727e-13,0.00100000005,0,0
69,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
70,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10020648e-13
71,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
72,0,1.40129846e-45,9.10068678e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,1.40129846e-45,9.10100662e-13,0.00100000005,0,0,0,0
74,0,0,0,0,1.40129846e-45,9.101166e-13,0.00100000005,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10148584e-13,0.00100000005,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,9.10196614e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
78,0,0,0,0,0,0,0,9.10228598e-13,0.00100000005,0,0,0,0,0,0
79,0,0,1.40129846e-45,9.10244536e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.1027652e-13,0.00100000005,0,0,0
81,0,0,0,0,0,1.40129846e-45,9.10292458e-13,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10324442e-13,0.00100000005
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1.40129846e-45,9.10372472e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,1.40129846e-45,9.10404456e-13,0.00100000005,0,0,0,0,0
86,0,0,0,1.40129846e-45,9.10420502e-13,0.00100000005,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10452486e-13,0.00100000005,0,0
88,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
89,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10500408e-13
90,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
91,0,1.40129846e-45,9.10548438e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,1.40129846e-45,9.10580422e-13,0.00100000005,0,0,0,0
93,0,0,0,0,1.40129846e-45,9.1059636e-13,0.00100000005,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10628344e-13,0.00100000005,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,9.10676374e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
97,0,0,0,0,0,0,0,9.10708358e-13,0.00100000005,0,0,0,0,0,0
98,0,0,1.40129846e-45,9.10724404e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10756388e-13,0.00100000005,0,0,0
100,0,0,0,0,0,1.40129846e-45,9.10772434e-13,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10804418e-13,0.00100000005
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1.40129846e-45,9.1085234e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,1.40129846e-45,9.10884432e-13,0.00100000005,0,0,0,0,0
105,0,0,0,1.40129846e-45,9.1090037e-13,0.00100000005,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10932354e-13,0.00100000005,0,0
107,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
108,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,9.10980384e-13
109,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
110,0,1.40129846e-45,9.11028414e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
