package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,samples_ms,errored_pct,error,build_s,recorded_utc
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8,3,default,both,0.736684,0.812066;0.79876;0.778702;0.781374;0.777324;0.778189;0.781111;0.778788;0.782167;0.736684;0.771529;0.740996;0.771177;0.780987;0.786312;0.78144;0.78002;0.787585;0.780307;0.781702;0.781155,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8,3,default,none,0.683221,0.851148;0.740211;0.731314;0.774517;0.73394;0.699225;0.721109;0.699182;0.71765;0.730179;0.737286;0.73301;0.730318;0.732511;0.73508;0.731612;0.695056;0.683221;0.717341;0.733998;0.732086,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32,3,default,both,0.750335,0.806303;0.796841;0.792023;0.792319;0.791514;0.791652;0.750771;0.782419;0.750335;0.783134;0.796919;0.793857;0.795;0.794235;0.794455;0.752013;0.784062;0.753841;0.782232;0.791166;0.799377,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32,3,default,none,0.709646,0.809647;0.754211;0.749423;0.727807;0.733354;0.747362;0.742917;0.745889;0.743074;0.747237;0.744827;0.744227;0.746211;0.746956;0.745603;0.710178;0.736603;0.742653;0.744811;0.746002;0.709646,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,128,3,default,both,0.790146,0.841379;0.816917;0.810003;0.80855;0.808445;0.807979;0.805773;0.809406;0.809264;0.808544;0.810406;0.810944;0.81009;0.808966;0.809663;0.832061;0.790146;0.806611;0.812674;0.816784;0.810756,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,128,3,default,none,0.709741,0.803028;0.757841;0.757468;0.753985;0.757161;0.758004;0.725438;0.709741;0.745333;0.756378;0.758405;0.72263;0.750011;0.759261;0.762181;0.758725;0.756676;0.755405;0.754477;0.721775;0.746639,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,512,3,default,both,0.754769,0.84724;0.832202;0.808757;0.819111;0.78311;0.756008;0.78699;0.795174;0.803914;0.789891;0.800667;0.841251;0.806381;0.798459;0.764233;0.754769;0.79028;0.79244;0.804315;0.822081;0.84106,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,512,3,default,none,0.744982,0.793566;0.75975;0.748437;0.747864;0.749676;0.748085;0.74893;0.748768;0.747094;0.744982;0.745313;0.749814;0.747523;0.745002;0.746619;0.750551;0.778974;0.749927;0.748646;0.784848;0.75663,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2048,3,default,both,0.776077,0.858158;0.831866;0.816589;0.829868;0.785084;0.811637;0.780336;0.808844;0.824669;0.818459;0.823084;0.816064;0.815613;0.776077;0.810761;0.818462;0.820519;0.827042;0.821149;0.825672;0.801809,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2048,3,default,none,0.699492,0.80606;0.719112;0.736224;0.713588;0.699492;0.735892;0.753671;0.74633;0.745741;0.716645;0.741482;0.748308;0.74748;0.754549;0.75173;0.751899;0.748444;0.711963;0.742643;0.713663;0.73697,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8192,3,default,both,0.959247,1.004339;1.005004;1.00238;1.023771;0.988848;0.959247;1.017836;1.02585;1.00978;0.998267;0.992664;1.007729;1.008779;1.005451;1.006495;1.04767;1.009255;0.993846;0.990377;0.99876;1.034698,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8192,3,default,none,0.835862,1.00608;0.843892;0.857772;0.846414;0.843349;0.865383;0.87664;0.863307;0.86341;0.864383;0.864317;0.864426;0.871783;0.864991;0.865852;0.863691;0.869667;0.835862;0.853895;0.873797;0.86762,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32768,3,default,both,2.456674,2.504739;2.496619;2.456674;2.494822;2.553599;2.896848;2.806774;2.787415;2.767653;2.766584;2.775222;2.834673;2.830657;2.715359;2.707587;2.71047;2.791607;2.861477;2.869284;2.835384;2.870238,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32768,3,default,none,1.98198,2.118214;2.021229;1.998872;2.013312;2.013545;2.05178;2.01485;2.012824;1.98198;2.038044;2.010923;2.018936;2.012411;2.02316;2.033755;2.017559;2.0201;2.011502;2.008383;1.995408;1.995207,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,131072,3,default,both,6.985949,7.033691;7.039944;6.989619;6.985949;8.083027;8.314365;8.110846;8.014592;8.127894;8.231422;8.084126;8.121276;8.187315;8.165315;8.000837;8.141191;8.163827;8.133749;8.303089;8.117298;8.114144,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,131072,3,default,none,5.661507,5.774096;5.708892;5.69636;5.717203;5.746307;5.78022;5.676238;5.677103;5.679884;5.682529;5.673778;5.695574;5.719006;5.712834;5.908463;5.770647;5.742038;5.714274;5.666859;5.661507;5.670246,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,524288,3,default,both,24.68619,28.902148;28.80357;53.674267;24.948121;25.074508;28.134764;29.342323;28.647748;28.76208;27.282065;25.061574;25.682383;25.338476;27.9731;24.746466;24.785265;24.741709;29.234165;24.820118;24.938162;24.68619,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,524288,3,default,none,20.63179,20.71281;20.800885;20.676391;20.820209;20.646738;20.797517;20.658565;20.814229;20.669863;20.781052;20.663119;20.778722;20.660094;20.63179;20.771759;20.673518;20.798575;20.651212;20.78686;20.663083;20.787207,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2097152,3,default,both,106.02125,265.438482;106.02125;139.968245;111.808291;107.931416;108.006799;107.915433;107.851025;107.885959;107.998701;107.882777,nan,nan,nan,2026-09-08T10:43:48Z
julia,linux_RTX-2060-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2097152,3,default,none,80.035246,80.222396;80.114437;80.0363;80.039922;80.053435;80.146332;80.07432;80.035246;80.07586;80.074031;80.052751;80.038515;80.153097;80.074159;80.077206;80.063442;80.048677;80.041032;80.054323;80.072824;80.125274,nan,nan,nan,2026-09-08T10:43:48Z
