traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.5262109,-3.29055214,-2.23261237,-0.794980049,-1.34282017,0.411162794,5.43902493,-2.4648819,2.12331557,3.19087458,6.00222158,-1.5647167,-1.01265752,1.64747465,5.77585506,-1.5929848,0.281728595,1.17578399,2.85429025,4.08823586
1,1.47978699,-3.30668736,-2.21522093,-0.802637458,-1.33986449,0.431017846,5.43368435,-2.47946596,2.13536716,3.25228453,5.99068403,-1.6232121,-0.985611856,1.65650153,5.78387499,-1.60805535,0.297848195,1.18901193,2.880795,4.10584927
2,1.432886,-3.32214975,-2.19806623,-0.810209155,-1.3369236,0.451004058,5.42798328,-2.49439692,2.14693451,3.31367016,5.97813368,-1.6818012,-0.958232999,1.66595745,5.79167747,-1.62316132,0.314055562,1.20241284,2.90741014,4.12305069
3,1.38544512,-3.33696914,-2.18111873,-0.817713857,-1.33399832,0.471120477,5.42192411,-2.50967836,2.15801311,3.37500024,5.96457338,-1.74043047,-0.930569828,1.67583871,5.79924965,-1.63830125,0.330341607,1.21598125,2.93415022,4.13985491
4,1.33762527,-3.35109615,-2.1644702,-0.825107455,-1.33108509,0.491349131,5.41552496,-2.52529645,2.16858459,3.43621397,5.95004034,-1.79906058,-0.90263927,1.68616235,5.8066144,-1.65342259,0.346698612,1.22975099,2.96098685,4.15619135
5,1.28926337,-3.3645668,-2.14803362,-0.832433641,-1.32819235,0.511716664,5.40874386,-2.54128909,2.17864847,3.4973886,5.93446207,-1.85775828,-0.874382913,1.69697928,5.81371355,-1.66866231,0.363170832,1.24369657,2.98795724,4.17212391
6,1.24048948,-3.3773706,-2.13187194,-0.839664221,-1.32531357,0.532191336,5.4016223,-2.55762124,2.18819833,3.55841303,5.91790867,-1.91640306,-0.845911145,1.70825028,5.82058048,-1.68391645,0.379713982,1.2578299,3.01502252,4.1875968
7,1.19135249,-3.38951612,-2.11600566,-0.846789718,-1.32244945,0.552785158,5.3941431,-2.57431126,2.19722056,3.61930728,5.90036678,-1.97501028,-0.817201614,1.7200191,5.82720375,-1.69919574,0.396335006,1.27216184,3.04216504,4.20258141
8,1.14168942,-3.40095925,-2.10037494,-0.853838146,-1.31960213,0.573540688,5.38625765,-2.59141755,2.2057085,3.68011045,5.88179207,-2.03364277,-0.788227439,1.73228526,5.83356285,-1.71455836,0.413051277,1.2866987,3.06947803,4.21713877
9,1.09164667,-3.41173196,-2.08503795,-0.860786617,-1.31677318,0.594392002,5.37801504,-2.60886598,2.21366477,3.74071884,5.86222935,-2.09220362,-0.759084821,1.74499166,5.83970165,-1.7299552,0.429823816,1.30141163,3.09687424,4.23121023
10,1.04121506,-3.42182922,-2.06999111,-0.867636204,-1.31396008,0.615381837,5.36939335,-2.62671256,2.22107172,3.80116773,5.84167719,-2.15068007,-0.729741871,1.75824738,5.84555483,-1.74543142,0.446692258,1.3163389,3.12437987,4.24479342
11,0.99037081,-3.43126082,-2.0552268,-0.874395072,-1.31116903,0.636463463,5.36040258,-2.64490914,2.22793674,3.86141562,5.82012701,-2.20907521,-0.700250089,1.77197194,5.85115719,-1.76098859,0.463640809,1.33145416,3.15198374,4.25788498
12,0.939152002,-3.4400003,-2.04075027,-0.88105464,-1.30838931,0.657709122,5.35100937,-2.66353846,2.23423219,3.92146611,5.79760361,-2.26736331,-0.670606971,1.78622246,5.85649395,-1.77658439,0.480643928,1.34677923,3.17970824,4.27048159
13,0.887613297,-3.44807673,-2.02659154,-0.887606978,-1.30562854,0.67906177,5.34123182,-2.68254232,2.23996758,3.98130465,5.77408695,-2.32555532,-0.640845418,1.8009547,5.86157894,-1.79222703,0.497707844,1.36230552,3.20751143,4.28254652
14,0.835671544,-3.4554615,-2.01271248,-0.894067287,-1.30288172,0.700572014,5.33102989,-2.70198369,2.24512076,4.04092836,5.74958467,-2.38361716,-0.610952675,1.81625092,5.86636114,-1.80798495,0.514867008,1.37805498,3.2354424,4.29410553
15,0.783393979,-3.46216321,-1.99914515,-0.900425553,-1.3001585,0.722196162,5.32043505,-2.72181964,2.24969172,4.1002965,5.72411013,-2.44155169,-0.580978096,1.83203375,5.87088299,-1.82380664,0.532072783,1.39399767,3.2634728,4.30513906
16,0.730816901,-3.46819115,-1.98591709,-0.906677186,-1.29746151,0.743873119,5.30950689,-2.74197865,2.25369477,4.1593194,5.69773436,-2.49924088,-0.551001251,1.84831262,5.87513638,-1.83971739,0.549357653,1.41016078,3.29159284,4.31562138
17,0.677913487,-3.47353959,-1.97298062,-0.912828147,-1.29477477,0.765734196,5.29811716,-2.7626164,2.25708389,4.21813297,5.67036057,-2.55681014,-0.520928741,1.86516714,5.87907743,-1.85571158,0.566708207,1.42655373,3.31981969,4.32555103
18,0.624696612,-3.47820616,-1.96036041,-0.91887784,-1.29210794,0.787726343,5.28630114,-2.78367949,2.25986576,4.27664185,5.64203644,-2.61421084,-0.490828276,1.88251877,5.88274384,-1.87180102,0.58410728,1.44314098,3.34814095,4.33493996
19,0.571216106,-3.48219585,-1.94807076,-0.924820304,-1.28946149,0.809831917,5.2740941,-2.80514789,2.2620337,4.33482027,5.61280823,-2.67136574,-0.460728377,1.90044975,5.88608742,-1.88799536,0.601587355,1.4599787,3.37656212,4.34374857
20,0.517464578,-3.48550606,-1.93611121,-0.930655658,-1.28683567,0.832055748,5.26145887,-2.82703137,2.26358509,4.3926878,5.58264208,-2.72832918,-0.430652231,1.91888225,5.88915014,-1.90426958,0.619113564,1.47703552,3.40507603,4.35197687
21,0.463397115,-3.48813009,-1.9244498,-0.936397791,-1.28422892,0.854418695,5.24839354,-2.84935927,2.26450586,4.45018435,5.55158854,-2.78501701,-0.400626272,1.93786943,5.89188385,-1.92067587,0.636705995,1.49431586,3.43370104,4.35963964
22,0.409138829,-3.49009967,-1.91314399,-0.942024589,-1.28164506,0.876886845,5.2349062,-2.87209296,2.26479387,4.50735426,5.5196147,-2.84150815,-0.370653182,1.95737445,5.89432144,-1.93716443,0.654351771,1.51183605,3.46239686,4.36668348
23,0.35465619,-3.49138951,-1.90216601,-0.947545886,-1.27907991,0.899494708,5.22098207,-2.89527535,2.26442909,4.56412745,5.48677254,-2.8977201,-0.340756238,1.97742975,5.89644194,-1.95377481,0.672038972,1.52957594,3.49118233,4.37314034
24,0.299909145,-3.49201727,-1.89149642,-0.952972412,-1.27653801,0.922225296,5.2066083,-2.91889405,2.26341677,4.62051535,5.45305872,-2.95365644,-0.310985297,1.99799442,5.89824057,-1.97049844,0.689778924,1.54754281,3.52005649,4.37899351
25,0.244991541,-3.49194598,-1.881199,-0.958279312,-1.27401996,0.945053756,5.19182301,-2.94291687,2.26173902,4.67647505,5.41850471,-3.0093081,-0.281310767,2.01913762,5.8996954,-1.98735988,0.707589865,1.565786,3.54903913,4.38420105
26,0.18989253,-3.49125719,-1.87120247,-0.963491201,-1.27151799,0.968035936,5.17656422,-2.96741199,2.25939798,4.73203182,5.38310432,-3.06466937,-0.251813829,2.04075217,5.90086174,-2.00429749,0.725396931,1.58421361,3.57806182,4.38880491
27,0.134593815,-3.48987031,-1.86155534,-0.968592763,-1.26904309,0.991116405,5.1608696,-2.99232006,2.25638342,4.78714657,5.34689188,-3.11971307,-0.222488031,2.06291866,5.90166616,-2.02137899,0.743278563,1.60292494,3.60720158,4.39275217
28,0.0791686997,-3.48783708,-1.85224366,-0.973587513,-1.26659048,1.01432121,5.14472294,-3.01767159,2.2526772,4.84179449,5.30989027,-3.17442989,-0.193348214,2.08561516,5.9021368,-2.03857541,0.761186957,1.6218698,3.63640428,4.39605808
29,0.0235507376,-3.48513532,-1.8432548,-0.978481352,-1.26415706,1.03768361,5.12807465,-3.04351068,2.24826574,4.89600611,5.27206755,-3.22884655,-0.164393678,2.10886288,5.90224266,-2.05594206,0.779150307,1.64106834,3.66570306,4.39871645
30,-0.0322315507,-3.48177743,-1.834584,-0.983276606,-1.26174855,1.06115437,5.11097431,-3.06977677,2.24316072,4.94971037,5.23350859,-3.28289676,-0.135705397,2.13258338,5.9020195,-2.07341576,0.797127783,1.66049612,3.69507718,4.40072155
31,-0.0880300328,-3.47778201,-1.826285,-0.987951279,-1.25936425,1.08472037,5.09343958,-3.09645271,2.23735714,5.00290918,5.19421911,-3.3365829,-0.107273281,2.15683126,5.90145063,-2.09100986,0.815139472,1.680197,3.72450686,4.40203238
32,-0.144007429,-3.47313857,-1.81829274,-0.992533982,-1.25700617,1.10842645,5.07540321,-3.12360454,2.23081231,5.05562067,5.15417147,-3.38993049,-0.0790767223,2.1816535,5.90046644,-2.1087954,0.833204806,1.70015752,3.75401759,4.40266991
33,-0.200007662,-3.46785641,-1.81065607,-0.997000039,-1.25466895,1.13224363,5.05689955,-3.15118408,2.22355485,5.10778189,5.11344337,-3.44288874,-0.0512053594,2.20692873,5.89916229,-2.12668586,0.85127598,1.72037017,3.78358698,4.40261507
34,-0.256108224,-3.46193123,-1.80332994,-1.00136733,-1.252352,1.15619826,5.03790522,-3.17922783,2.21555591,5.15940332,5.07205153,-3.4954586,-0.0236474779,2.23272729,5.8974762,-2.14471006,0.869368315,1.7408545,3.81323576,4.40186167
35,-0.312275916,-3.45538568,-1.79633129,-1.00563347,-1.25006366,1.18027306,5.01840544,-3.20772314,2.20681238,5.2104888,5.02995682,-3.54767537,0.00358356582,2.25899053,5.89543152,-2.16289496,0.887477815,1.76157391,3.84293056,4.40041685
36,-0.368517369,-3.44817805,-1.78965533,-1.00979459,-1.24779594,1.20449746,4.99839211,-3.23670125,2.19729924,5.26099873,4.987257,-3.59945369,0.030461425,2.28581572,5.8929534,-2.18125749,0.905629456,1.7826035,3.87272501,4.39824438
37,-0.424753994,-3.44037914,-1.78331161,-1.01385343,-1.24556005,1.22878385,4.97793913,-3.26604915,2.18705726,5.31090117,4.94395113,-3.65083385,0.0569526628,2.31305146,5.89014101,-2.19974041,0.923772216,1.80386603,3.90254354,4.39535809
38,-0.481013715,-3.43194652,-1.77728915,-1.01780665,-1.2433418,1.25322759,4.9569416,-3.29588723,2.17603064,5.36022472,4.90004778,-3.70181084,0.0830556899,2.34077692,5.88693142,-2.21837497,0.941928089,1.82541525,3.93243384,4.39173555
39,-0.537221849,-3.42291713,-1.771595,-1.02165306,-1.24115372,1.27775919,4.9354763,-3.32612729,2.16424608,5.40890646,4.85562134,-3.75233006,0.108730003,2.368963,5.88333559,-2.23716402,0.96009177,1.84723759,3.96236229,4.38737917
40,-0.593482852,-3.41329598,-1.76618659,-1.02540994,-1.23898864,1.30245566,4.91343307,-3.3568716,2.15163922,5.45700216,4.81056738,-3.80249119,0.134025007,2.39761758,5.87934017,-2.25613761,0.978244841,1.86928165,3.99231768,4.38230324
41,-0.649660945,-3.40304255,-1.76112473,-1.02904999,-1.23684931,1.32725251,4.89090586,-3.38803029,2.13825059,5.50444031,4.76506233,-3.8521688,0.158856019,2.42677641,5.87490273,-2.27526593,0.996424437,1.89168203,4.02236128,4.37643671
42,-0.705808282,-3.39221764,-1.75635326,-1.03259671,-1.23473322,1.35216331,4.86786175,-3.41961408,2.1240766,5.5512104,4.71910286,-3.90139246,0.183194384,2.45631003,5.87009859,-2.29452682,1.01458287,1.91433191,4.05242872,4.36982441
43,-0.76188755,-3.38081908,-1.75188124,-1.03604317,-1.23264492,1.37719774,4.8442831,-3.45164108,2.1090858,5.59731245,4.67265749,-3.9501884,0.207075015,2.48628187,5.86488867,-2.31396794,1.03272343,1.93723059,4.08251333,4.36246586
44,-0.817906618,-3.36881828,-1.74772108,-1.03938675,-1.23058355,1.4023416,4.82018423,-3.48408937,2.09328341,5.64273834,4.62579441,-3.99852705,0.230455741,2.51669121,5.85924673,-2.33357382,1.05086935,1.96045101,4.11266518,4.35431004
