traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52620089,-3.29055119,-2.23261023,-0.79498142,-1.34281766,0.411180466,5.43901491,-2.46490026,2.1233077,3.19088864,6.00222492,-1.56471598,-1.01264119,1.64750695,5.77583838,-1.59297645,0.281736374,1.17580128,2.85430408,4.08823681
1,1.47981775,-3.30668879,-2.21523643,-0.802631199,-1.33986473,0.431004316,5.43369627,-2.4794507,2.13537288,3.25226521,5.990695,-1.62320423,-0.985641241,1.65646112,5.78390265,-1.60802317,0.297823727,1.18900049,2.88077903,4.10584021
2,1.43287313,-3.32215524,-2.19805551,-0.810212791,-1.3369205,0.451008916,5.42797709,-2.49440002,2.14694285,3.3136704,5.97813368,-1.68179381,-0.958262503,1.66592705,5.7916913,-1.62313211,0.314040929,1.20241094,2.90741301,4.12305307
3,1.38547266,-3.33699059,-2.1811173,-0.817712128,-1.33399475,0.471132755,5.42191219,-2.50968933,2.1580143,3.37501907,5.96456146,-1.74046206,-0.930566132,1.6758126,5.79926682,-1.63826954,0.330313534,1.21596014,2.93412185,4.13984919
4,1.33763134,-3.35110378,-2.16447568,-0.825107634,-1.33108962,0.491333395,5.41553736,-2.52528143,2.16858697,3.43620944,5.95003843,-1.79905248,-0.902637422,1.6861707,5.80660868,-1.65344918,0.346708089,1.22974479,2.96097851,4.15619373
5,1.28928852,-3.36456656,-2.14804769,-0.832427323,-1.32819092,0.511703432,5.40875626,-2.54127192,2.17865181,3.49736857,5.93447924,-1.85772204,-0.874409854,1.6969806,5.81370926,-1.66864824,0.363177061,1.24370885,2.98794961,4.17210865
6,1.24052429,-3.37737465,-2.13188553,-0.839658022,-1.3253125,0.532189727,5.40163088,-2.55761838,2.1881969,3.55840921,5.91792059,-1.91639102,-0.84591186,1.70826745,5.82057333,-1.68390846,0.379719466,1.25783932,3.01501012,4.18758249
7,1.19130647,-3.38949323,-2.11599755,-0.846794188,-1.32245195,0.552792192,5.394135,-2.57432055,2.1972158,3.61932158,5.90035486,-1.97503388,-0.817173481,1.72003937,5.8271904,-1.6992259,0.396355927,1.27217531,3.04219723,4.20259476
8,1.14165294,-3.40095258,-2.10035634,-0.853845298,-1.31959975,0.57355988,5.38623762,-2.59143853,2.20570874,3.68012524,5.88178062,-2.03365374,-0.788224041,1.73228312,5.83355856,-1.7145685,0.413054407,1.28669751,3.06949234,4.21715021
9,1.0916115,-3.41172314,-2.08502698,-0.860792398,-1.31677401,0.59439671,5.37801361,-2.60887384,2.21366763,3.74071574,5.86223173,-2.09218836,-0.759091854,1.74499822,5.83969164,-1.729972,0.429832786,1.30141556,3.09689498,4.23122263
