traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.53332078,-3.2944994,-2.22427392,-0.787189305,-1.337309,0.390878618,5.45574713,-2.43963242,2.11888003,3.17079949,6.00727129,-1.54548168,-1.00968599,1.66130579,5.77146673,-1.60131621,0.285751343,1.18058193,2.85789323,4.0920186
1,1.48661351,-3.31258631,-2.20470452,-0.799674988,-1.33572233,0.416156501,5.44821644,-2.4575429,2.13130188,3.23743486,5.99520922,-1.60831487,-0.981350303,1.67076135,5.77884912,-1.61682856,0.301817566,1.19367266,2.884552,4.11009741
2,1.43963146,-3.3277297,-2.1877861,-0.805940688,-1.33223677,0.435298413,5.44314575,-2.47168827,2.14315867,3.29790759,5.98293591,-1.66591609,-0.95431155,1.68033862,5.78662777,-1.6320188,0.318097919,1.20723236,2.91124511,4.12724257
3,1.3922137,-3.34189892,-2.17185974,-0.81121093,-1.32868862,0.453055829,5.43845797,-2.48521638,2.15450573,3.35714841,5.96998119,-1.72257245,-0.927343249,1.69022965,5.79432774,-1.64712298,0.33446604,1.22094798,2.93799424,4.14390755
4,1.34423923,-3.35655141,-2.15474153,-0.819527268,-1.32608593,0.474364072,5.43182993,-2.50135374,2.16539216,3.41955924,5.95542526,-1.78207266,-0.899174333,1.70078599,5.80143595,-1.66248238,0.350882053,1.23476124,2.96493077,4.16039133
5,1.29576695,-3.3708837,-2.13781595,-0.828523397,-1.32399416,0.496133983,5.42462063,-2.51819444,2.17572761,3.4826498,5.9396553,-1.84232688,-0.870411158,1.71192539,5.80820894,-1.67794669,0.367378742,1.24869776,2.99192858,4.17648077
6,1.24694633,-3.38355207,-2.12190413,-0.834971428,-1.32083809,0.516007721,5.41807222,-2.53390121,2.18557358,3.5431726,5.9234066,-1.90035009,-0.842189848,1.72332561,5.81500769,-1.69330227,0.383985221,1.26293159,3.01904726,4.19194365
7,1.19772899,-3.39532995,-2.10657835,-0.840807796,-1.31756294,0.535364866,5.41144133,-2.54957509,2.19491243,3.60307932,5.90629625,-1.95794499,-0.813901246,1.73509312,5.82167006,-1.70862722,0.400646359,1.27731609,3.04621935,4.20691442
8,1.1478337,-3.40765715,-2.09031415,-0.849584281,-1.31554198,0.557568669,5.40308332,-2.56756353,2.20369601,3.66578817,5.88740921,-2.01812935,-0.784457862,1.74761772,5.82771397,-1.72423351,0.41737631,1.29186153,3.07362509,4.22165966
9,1.09779561,-3.41809392,-2.07546496,-0.855277777,-1.31223607,0.57737124,5.39563847,-2.58408093,2.21197867,3.72548294,5.86831522,-2.07570004,-0.755749702,1.76036084,5.83385277,-1.73965812,0.434193224,1.30664742,3.10102081,4.23568153
10,1.04714918,-3.42895555,-2.05998039,-0.863520265,-1.31018054,0.599388123,5.38675165,-2.60255408,2.21964812,3.78752398,5.84747553,-2.13545036,-0.725948274,1.77397108,5.83936691,-1.75539505,0.451122224,1.32163155,3.1286242,4.24941921
11,0.996230423,-3.43842769,-2.04533362,-0.869993329,-1.3073349,0.620257914,5.37812376,-2.62044168,2.22683454,3.84780812,5.82611847,-2.19367957,-0.696622908,1.78780437,5.8448596,-1.77102852,0.468103588,1.33681548,3.15627623,4.26254082
12,0.944878638,-3.44737053,-2.03087759,-0.87673074,-1.304703,0.641468167,5.36900854,-2.63888955,2.23342419,3.9082098,5.80366135,-2.25213122,-0.666974306,1.80224693,5.85001469,-1.78680325,0.485168546,1.35220301,3.18405557,4.27519131
13,0.893072188,-3.45587373,-2.01658392,-0.883971751,-1.30244982,0.663173139,5.35923958,-2.65811563,2.23940611,3.96900725,5.77993107,-2.31107855,-0.636886597,1.81730723,5.85480738,-1.80270934,0.502317369,1.36779165,3.21197367,4.28738976
14,0.841380358,-3.46172071,-2.00426698,-0.887219131,-1.29850292,0.681263804,5.35117674,-2.67485285,2.24494815,4.02559471,5.75710917,-2.36605597,-0.608425975,1.83232856,5.85989094,-1.81818378,0.519544005,1.38354456,3.23981833,4.29875994
15,0.788816631,-3.46947789,-1.98970091,-0.895197988,-1.29633701,0.705035269,5.33972788,-2.696033,2.24980617,4.08702517,5.73089123,-2.42573452,-0.577846408,1.84846652,5.86401081,-1.83434367,0.536753774,1.39961982,3.26797533,4.30993128
16,0.735919952,-3.47632957,-1.97606456,-0.902791262,-1.29446721,0.727587223,5.32852173,-2.71682596,2.25404143,4.14767408,5.70391512,-2.48482943,-0.547261834,1.86517131,5.86786938,-1.85056722,0.554101884,1.4158659,3.29621983,4.32057571
17,0.682713449,-3.48240256,-1.96297276,-0.910276055,-1.29278028,0.749821782,5.31709146,-2.73781109,2.2576561,4.20785284,5.6760602,-2.54360032,-0.516713798,1.8823514,5.87147474,-1.86686027,0.571504295,1.43226719,3.32452416,4.3306818
18,0.629444122,-3.48696232,-1.95045376,-0.91576153,-1.2898432,0.771537542,5.30572796,-2.75843883,2.26077366,4.26621008,5.64802837,-2.60064125,-0.486914098,1.89977133,5.8750391,-1.8830024,0.588925302,1.44893074,3.35287428,4.34005547
19,0.575721502,-3.49162722,-1.93815601,-0.922815204,-1.28813839,0.793731272,5.29361963,-2.78009915,2.26318312,4.32554626,5.61836863,-2.6587851,-0.456412256,1.91803801,5.878057,-1.89943707,0.606465399,1.46581984,3.38136721,4.34899759
20,0.521652579,-3.4957118,-1.92629802,-0.930137753,-1.28682446,0.815852046,5.28108215,-2.80221057,2.26489592,4.38476372,5.58764267,-2.71696162,-0.425788075,1.93689978,5.88073397,-1.91600013,0.624063551,1.48288715,3.4099555,4.35743666
21,0.467902958,-3.49631405,-1.91500068,-0.931693852,-1.28137052,0.836968362,5.26939678,-2.82265687,2.26635695,4.43923998,5.55873966,-2.77035904,-0.397640318,1.95536566,5.883811,-1.93210971,0.641659558,1.50025654,3.43855047,4.36478949
22,0.413713247,-3.49793386,-1.90401852,-0.936721623,-1.27866185,0.858615875,5.25665903,-2.84465885,2.26691937,4.49607277,5.52745056,-2.82628608,-0.368111491,1.97493219,5.8861537,-1.94859171,0.659336686,1.51775396,3.4672308,4.37187338
23,0.359108925,-3.49920535,-1.89309812,-0.94220829,-1.27624416,0.880901933,5.24316359,-2.86752319,2.26681685,4.55305481,5.49487829,-2.88252378,-0.338399738,1.99506009,5.88812113,-1.9653101,0.677037835,1.5354501,3.49602675,4.37842607
24,0.303326011,-3.50327039,-1.88202786,-0.953651726,-1.27813578,0.905054748,5.22760487,-2.89337754,2.26579404,4.61440611,5.45759916,-2.94347548,-0.305826157,2.01704741,5.88879299,-1.98296106,0.694941819,1.55369616,3.52521157,4.38473558
25,0.248437792,-3.50228453,-1.87138438,-0.956804574,-1.27388537,0.928165615,5.21327496,-2.91680026,2.26460838,4.66936731,5.42397213,-2.99778676,-0.277218014,2.03785396,5.89033699,-1.9997195,0.712708831,1.5720377,3.55421662,4.38976479
26,0.19380042,-3.499542,-1.86186302,-0.958790064,-1.26939905,0.949595034,5.19944143,-2.93953586,2.26255727,4.72254562,5.39120102,-3.05043721,-0.249495268,2.05903435,5.89173508,-2.01634312,0.730537117,1.59030735,3.58314228,4.39429092
27,0.137758493,-3.50022388,-1.85176933,-0.96682775,-1.26895821,0.973894954,5.18310595,-2.9656868,2.25984788,4.78042698,5.35261726,-3.10818195,-0.218724966,2.08195114,5.89186192,-2.03403711,0.748484612,1.60932398,3.61250067,4.39838219
28,0.082501471,-3.49720669,-1.84253883,-0.970192373,-1.26547337,0.996590257,5.16768026,-2.99025488,2.25643659,4.83417654,5.31696606,-3.16174245,-0.190576315,2.10441089,5.89236307,-2.0511055,0.766392529,1.62822354,3.64167857,4.40166521
29,0.0264828447,-3.4951396,-1.8334347,-0.976012468,-1.26381791,1.02009308,5.1511426,-3.01629162,2.2522974,4.88943529,5.2784481,-3.21706796,-0.161272943,2.12798619,5.8920927,-2.06875968,0.78439486,1.64753556,3.6710887,4.40441084
30,-0.0300228298,-3.49395347,-1.82538128,-0.984712243,-1.26491559,1.0425874,5.1342082,-3.04309535,2.24726367,4.9457221,5.23758745,-3.27377272,-0.130811557,2.15288854,5.89099741,-2.08689427,0.802539706,1.66713333,3.7006259,4.40676069
31,-0.0859286711,-3.48951292,-1.81677639,-0.988351882,-1.26171219,1.0664562,5.11697674,-3.06949782,2.24180579,4.99878073,5.19872379,-3.32706833,-0.102946401,2.17706013,5.89028883,-2.10454559,0.820561111,1.68692756,3.73010755,4.40799809
32,-0.141345441,-3.48272753,-1.80839467,-0.989613652,-1.25686824,1.090114,5.09975052,-3.09560418,2.23551559,5.04964447,5.16157913,-3.37817383,-0.0767898858,2.20107722,5.88961744,-2.1218977,0.838534474,1.70670378,3.75951529,4.40854025
33,-0.197831362,-3.47828507,-1.80073667,-0.995201826,-1.25549448,1.11400115,5.08135891,-3.12339997,2.22859478,5.10301161,5.1197238,-3.43225574,-0.0484053455,2.2267077,5.88789749,-2.14011145,0.856643319,1.72709727,3.78921437,4.40853071
34,-0.254479706,-3.47323203,-1.79355776,-1.00092125,-1.25443161,1.13766944,5.06259346,-3.15160704,2.22085357,5.15580034,5.07724428,-3.48588085,-0.0202698857,2.25306368,5.88567066,-2.15854502,0.874822438,1.7477529,3.81900477,4.40788364
35,-0.310468435,-3.46580458,-1.78630221,-1.00399065,-1.25137234,1.16164768,5.04365826,-3.17961216,2.2123003,5.20646715,5.03647757,-3.53744078,0.00605574809,2.27910995,5.88353014,-2.17667103,0.892931163,1.76844239,3.84870243,4.40645218
36,-0.36790064,-3.46223807,-1.78185272,-1.01458895,-1.25528312,1.1822741,5.02449179,-3.20886803,2.20288301,5.25981522,4.98983812,-3.59254694,0.0360737704,2.30800629,5.87983036,-2.19596291,0.911293328,1.78967965,3.87870049,4.40491104
37,-0.423504084,-3.45141292,-1.77329779,-1.01312578,-1.2479564,1.20977902,5.00379229,-3.23791337,2.19301915,5.30817699,4.94972992,-3.64169788,0.059573926,2.33357477,5.87756586,-2.21393251,0.929257274,1.81085837,3.90841746,4.40155077
38,-0.480858803,-3.44592381,-1.76929295,-1.02231967,-1.25086236,1.23084199,4.98383522,-3.26771092,2.18223548,5.35961771,4.90256357,-3.69507933,0.0882245675,2.36321354,5.8731885,-2.23342252,0.947645426,1.83271122,3.93855166,4.39838552
39,-0.536756456,-3.43486333,-1.7618767,-1.02246225,-1.24523723,1.25788093,4.9621439,-3.29787469,2.17074919,5.40764856,4.86015368,-3.74445939,0.111805402,2.3901422,5.86990547,-2.25187016,0.965656579,1.85448229,3.96843243,4.39370155
40,-0.592399418,-3.42328978,-1.75558281,-1.02410817,-1.24171269,1.28271139,4.94071245,-3.32805109,2.15796542,5.45484734,4.81834745,-3.79350638,0.135293841,2.41801262,5.86597157,-2.27051687,0.983745873,1.87621427,3.9982903,4.38877058
41,-0.64967382,-3.41530943,-1.75152743,-1.03051031,-1.2419281,1.30661082,4.9185276,-3.35947704,2.14526892,5.50411272,4.76933193,-3.84500337,0.161789894,2.44826674,5.86077404,-2.29029822,1.00202215,1.89912748,4.02858257,4.38286686
42,-0.706639171,-3.40662956,-1.74877167,-1.03797317,-1.2438786,1.32800817,4.89676237,-3.39069581,2.13141799,5.5519805,4.72110081,-3.89554858,0.188042745,2.4795289,5.85491848,-2.31029224,1.02039587,1.92202485,4.05881405,4.37665415
43,-0.762437999,-3.39311123,-1.74224675,-1.03787267,-1.23849297,1.35594988,4.8727746,-3.4228704,2.1165309,5.59786797,4.67677402,-3.94372845,0.209754273,2.50797868,5.85004759,-2.32934189,1.03834927,1.94481897,4.08886576,4.36898422
44,-0.81830126,-3.3801384,-1.7373755,-1.0401727,-1.23581505,1.3814646,4.84899616,-3.45520043,2.10068774,5.64327335,4.63144922,-3.99192405,0.232128769,2.53792191,5.84424067,-2.34888315,1.05646396,1.96795607,4.11902428,4.3609271
45,-0.875210941,-3.36982775,-1.7353462,-1.04671061,-1.23696899,1.40411139,4.82543468,-3.48779082,2.08474422,5.68923616,4.58103895,-4.04104805,0.256825835,2.57029605,5.83724022,-2.36933661,1.07474732,1.99191523,4.14941216,4.35207558
46,-0.93156898,-3.35818839,-1.73362958,-1.05273211,-1.23816562,1.42604923,4.8016386,-3.52061629,2.06769705,5.73345804,4.53231144,-4.08884716,0.280492455,2.6029048,5.82993031,-2.38982177,1.09297311,2.0158236,4.17972326,4.342803
47,-0.98617059,-3.3402257,-1.72605133,-1.0497911,-1.23084748,1.45700991,4.77460766,-3.55504084,2.04847932,5.77655125,4.48949242,-4.1353631,0.298270524,2.63132119,5.82383728,-2.40899754,1.11070967,2.03931141,4.20972061,4.33207226
48,-1.04261589,-3.32769895,-1.72438717,-1.05474579,-1.23073161,1.48097527,4.74931431,-3.58881021,2.03023815,5.82006741,4.43849659,-4.18265104,0.320735544,2.66436553,5.81576347,-2.42978764,1.1288594,2.0641768,4.24015474,4.32063866
49,-1.09712577,-3.31021476,-1.71933579,-1.05543387,-1.22773302,1.50797212,4.72234106,-3.6237042,2.0090313,5.86152697,4.39476299,-4.22857809,0.339100182,2.69497943,5.80820084,-2.44971347,1.14664626,2.08804297,4.27022886,4.30908442
50,-1.15414608,-3.29887629,-1.72058332,-1.06250334,-1.22940779,1.53003836,4.6966548,-3.65793133,1.99015605,5.90386391,4.33939934,-4.27503252,0.362404674,2.73058033,5.79863977,-2.47144389,1.16492355,2.11420155,4.30091953,4.29571199
51,-1.20888448,-3.28133273,-1.71649742,-1.06314301,-1.2260468,1.55784786,4.66846561,-3.69359899,1.96793771,5.94440222,4.29279089,-4.32048607,0.380186439,2.76206517,5.79015446,-2.49188113,1.18268406,2.13909101,4.33104563,4.28208256
52,-1.26430917,-3.26585007,-1.71551692,-1.06694293,-1.22554028,1.58241332,4.64095449,-3.72895885,1.94599366,5.9843626,4.24230051,-4.36543655,0.399689496,2.79604888,5.78051472,-2.51310158,1.20058477,2.16492128,4.36146641,4.26748657
53,-1.31932425,-3.24937344,-1.71433473,-1.07010424,-1.22464538,1.6076268,4.61259413,-3.76496291,1.92284465,6.02344275,4.19232368,-4.40989637,0.418248713,2.8301928,5.77039719,-2.5345192,1.21845365,2.19096255,4.3918457,4.25213146
